报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,
基本每股收益(元),0.47,0.47,0.02,-0.02,-0.14,-0.13,-0.02,0.24,0.08,0.07,0.02,0.21,0.15,0.12,0.08,0.2,0.18,0.17,0.09,0.18,0.19,0.12,0.13,1.38,0.01,0.03,0.02,0.17,0.02,0.01,0,0.05,-0.02,-0.01,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.81,--,1.74,1.71,1.67,1.59,1.57,1.56,1.51,1.42,1.43,2.72,2.61,2.49,1.12,1.14,1.13,1.11,1.16,1.16,1.23,1.1,0.95,0.96,1.26,1.11,1.11,1.1,1.1,1.1,1.11,1.11,1.09,1.07,-0.05,-0.05,-0.03,0.06,-0.41,-0.39,-0.35,-0.33,-0.39,-0.39,-0.52,-0.49,0.12,0.13,0.19,0.19,0.17,1.1,1.1,1.32,0.75,0.94,1.24,1.24,1.23,1.26,1.27,--,1.53,1.47,1.96,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.11,--,0.35,0.13,0.48,0.92,0.98,0.65,0.62,0.68,-0.09,0.25,0.66,9.42,7.83,5.86,2.12,-0.55,-0.9,-0.49,-0.26,-0.09,0,-0.03,-0.02,-0.15,0,--,0,-0.36,0,0,0,0.48,0,0,0,-0.66,0,0,0,0.33,0,0.12,--,0.03,--,-0.01,0.02,0.35,-1.92,-2.24,-0.26,1.58,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),8095,6499,3503,12817,9406,6515,3334,25292,17579,13056,5741,25077,19095,15356,6786,20287,16450,12999,6542,32676,25742,19090,10470,58612,8562,6867,4236,15189,6608,4301,2261,7537,4742,2604,1378,6602,4807,3013,1301,4713,2904,2007,1043,5645,4587,3730,1602,3667,2191,1326,717,3473,2897,1772,822,2700,2129,1394,2749,20677,51600,26520,3171,10558,5420,4040,6071,3127,6552,3252,5628,2721,2065,839,--,
主营业务利润(万元),1717,1342,794,412,-369,-1102,812,9416,6157,4582,2163,9345,6836,5457,2875,8348,7024,5898,2980,12618,10070,7373,3982,22634,2241,1930,1202,3713,1240,767,364,1101,814,570,--,1008,748,494,259,952,701,481,236,1137,578,391,188,677,475,281,174,769,572,376,177,697,531,350,706,2787,7991,3655,1453,1936,-490,-550,245,137,480,302,507,218,94,73,--,
营业利润(万元),8780,9083,268,-1178,-3190,-3110,-303,5947,3606,2879,1065,6095,4613,3983,2325,4916,4064,3794,2359,7420,6611,4534,2487,18697,426,557,280,1443,204,115,9,13,-218,-173,69,-11,83,33,23,-166,116,103,73,343,-73,-82,-3,-506,-421,-332,-140,-950,-343,-263,-164,-552,-524,-354,-1016,856,2232,1265,-864,92,-342,0,396,0,913,0,0,0,94,73,--,
投资收益(万元),10196,10438,20,2053,190,230,183,142,-38,-11,--,482,-1,22,17,40,-17,-31,2,-363,-47,-49,--,11,33,-7,-7,518,26,26,--,1318,674,674,0,188,0,--,0,-87,0,0,0,5518,-52,-49,-15,1904,-39,-20,-1,1115,-19,-19,-12,-1627,229,157,222,4,-55,-71,3521,3550,-1658,-247,373,26,136,140,473,269,273,128,--,
营业外收支净额(万元),47,15,12,81,-27,-18,-46,119,45,45,-11,124,110,22,-0,601,747,741,-0,28,16,16,3,816,56,28,1,--,--,--,--,--,--,--,--,-3,0,--,0,324,0,0,0,-401,0,0,0,15,18,0,0,15,15,-0,0,-2,0,--,2,0,23,0,0,0,0,1,0,-0,0,0,-0,--,0,--,--,
利润总额(万元),8827,9098,281,-1096,-3217,-3129,-349,6065,3651,2924,1054,6219,4724,4005,2325,5517,4811,4535,2359,7448,6626,4549,2491,19513,482,585,281,1452,207,119,13,22,-209,-165,78,174,77,34,23,71,149,133,73,5460,-615,-596,-483,1413,-443,-350,-141,180,-306,-267,-175,-2181,-298,-197,-792,860,2200,1193,2860,3643,-1991,-1500,899,258,1050,556,1024,488,366,189,--,
净利润(万元),6532,6600,231,-336,-1925,-1853,-347,3362,1171,954,178,2203,1606,1301,860,2094,1877,1791,931,1894,2001,1248,682,7359,70,151,122,906,108,62,23,251,-104,-69,85,111,90,53,28,166,168,129,79,5478,-591,-571,-456,1448,-408,-300,-138,166,-325,-269,-163,-2151,-292,-192,-791,83,586,55,2469,3038,-2634,-1632,60,45,517,292,514,233,304,161,--,
净利润(扣除非经常性损益后)(万元),-1520,-1601,-64,-1596,-1998,-1926,-407,1451,1072,856,--,1522,--,1287,--,1688,--,1048,--,1878,--,1238,--,6709,--,104,0,478,0,38,0,-906,0,-72,--,-121,0,52,0,-158,0,99,0,214,0,-70,0,-589,0,-303,0,-1335,-339,-268,--,-2149,--,-169,-745,106,586,--,--,--,--,--,--,--,--,--,--,--,0,--,--,
经营活动产生的现金流量净额(万元),1149,1019,1256,-3511,-4027,-4729,-4107,8113,7832,1437,1126,4497,3790,1404,5180,9833,10532,6912,6683,7225,-1016,1341,3519,50425,41881,31370,11357,-2940,-4809,-2609,-1388,-460,11,-151,-108,-781,-872,-59,-555,-1947,-2069,-1954,-1298,2563,70,1213,-921,-3530,-1144,-959,-3832,1744,0,656,--,153,--,-33,92,1891,-10289,-11962,-1386,8471,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),15179,17053,13,-1786,-4385,-3106,-4118,9278,7975,130,3266,-5940,-3527,-586,5172,2113,8430,4840,4654,-10187,-12400,-9360,-5976,13076,5347,4654,-451,3911,3803,2419,4087,-45,-314,-30,-109,-558,-822,-69,-563,-2801,-3605,-3471,-1297,1487,67,1209,-923,-1659,-2792,-1940,-3832,3850,0,403,--,-759,--,-711,-82,2738,-5524,-7983,12012,10214,--,--,--,--,--,--,--,--,--,--,--,
总资产(万元),56026,56218,53550,53166,44069,43204,42828,46601,50136,41534,45662,43703,44940,45347,51393,48569,54714,52282,53978,48937,45964,50525,55871,65379,67941,66973,61211,63531,62912,58393,58970,25904,25496,25026,14450,13541,13505,13497,14534,12493,12092,12207,12349,11986,10785,10293,9730,14747,8586,8665,8622,8862,8253,8820,7569,7583,11123,11215,16677,89467,85095,82474,30972,64719,8988,12358,12307,12435,13711,10557,8810,--,5591,3887,3435,
流动资产(万元),42239,42375,31917,32832,24051,25131,24359,29334,32996,24332,28531,26548,29721,34115,39627,36831,42629,42386,46512,41531,36556,41174,45585,54128,57349,56290,50436,52647,56523,51991,52094,18342,18419,17918,6663,6574,6718,6675,7682,5617,4758,4855,6492,6079,6567,6054,5440,10422,2742,3908,--,0,0,--,2594,0,3307,3460,0,0,0,60894,16928,40164,3354,3791,5173,5992,5024,5073,3647,--,2032,1126,2275,
总负债(万元),25515,25604,24723,25610,19913,20480,16637,19786,25479,17385,21473,20180,22092,21269,28457,27353,33814,26813,29872,26567,23431,29546,36828,48104,58957,57871,52283,54798,54443,49960,50177,20002,20227,19713,7599,7503,7491,7524,8570,6539,6096,6224,6425,6135,11008,10498,9821,14356,10777,10763,10511,10610,10358,10886,10357,10196,10512,10503,15632,83392,79726,71080,23605,53320,3953,7189,5284,5525,6698,3759,1893,--,1926,356,99,
流动负债(万元),25386,25474,23161,24410,19300,20378,16630,19784,25479,17385,21473,20180,22092,21269,28457,27353,33814,26813,29872,26567,23431,28092,34736,45904,52606,51445,48783,51298,32864,28373,28497,16322,16664,16150,3995,7503,7491,7524,8570,6539,6096,6224,6425,6135,11008,10498,9821,14356,10777,10763,--,0,0,--,10357,0,10512,10503,0,0,0,63022,13526,37198,3712,4867,5060,4862,4233,3363,1869,--,1926,353,96,
股东权益不含少数股东权益(万元),27029,27097,25413,24098,20748,19286,21483,21855,19682,19466,19361,19183,18592,18287,17846,16986,16769,16683,16145,15218,15306,14553,13987,13305,6017,6097,6068,5939,6212,6200,6585,5901,5087,5122,6761,5942,5939,5902,5891,5884,5926,5915,5854,5788,-286,-267,-154,328,-2187,-2093,-1886,-1746,-2108,-2069,-2788,-2613,618,718,1042,992,910,5894,5864,7044,4006,5007,6640,6625,6580,6729,6812,--,3639,3497,3336,
净资产收益率加权(%),24.85,23.92,0.96,-1.54,-9.28,-8.86,-1.6,16.39,5.99,4.85,0.92,12.18,9.03,7.38,4.94,13.03,11.72,11.15,5.94,13.28,13.99,8.96,4.99,76.46,--,2.5,0,14.87,0,0.96,0,4.22,0,-1.12,--,1.88,0,0.9,0,2.82,0,2.2,0,179.12,0,0,0,-141.76,0,0,0,0,0,0,--,0,--,-23.63,-81.78,0,0,--,53.34,--,--,--,0,0,0,0,0,--,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
