报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.5,0.47,0.15,1.06,0.83,0.72,0.2,0.99,0.94,0.98,
每股净资产(元),9.29,9.22,--,7.06,--,--,--,6,5.01,4.07,
每股经营活动产生的现金流量净额(元),-0.49,-0.17,--,1.12,--,0.26,--,1.54,1.37,0.66,
主营业务收入(万元),10460,7816,2779,15725,10512,8186,3006,15681,16026,12756,
主营业务利润(万元),4340,3213,1278,6639,4677,3774,1303,6282,6456,5102,
营业利润(万元),2243,1926,645,4136,3241,2782,810,3945,3663,3227,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),68,10,6,159,153,131,20,81,114,36,
利润总额(万元),2312,1936,651,4296,3393,2913,831,4026,3777,3263,
净利润(万元),1908,1596,520,3601,2829,2436,684,3382,3202,2785,
净利润(扣除非经常性损益后)(万元),--,1588,515,3468,--,2328,669,3316,3105,2754,
经营活动产生的现金流量净额(万元),-2244,-772,-438,3794,-1522,873,-264,5239,4661,1876,
现金及现金等价物净增加额(万元),-2427,13807,-2082,-133,-1694,10742,-1469,-1999,-144,3052,
总资产(万元),57491,69234,48148,50209,--,--,--,43450,36982,25398,
流动资产(万元),16434,29873,9811,12278,--,--,--,10628,10999,11381,
总负债(万元),15350,27405,23598,26180,--,--,--,23021,19936,11554,
流动负债(万元),7038,11440,7630,10208,--,--,--,18590,15996,8205,
股东权益不含少数股东权益(万元),42141,41829,24549,24029,--,--,--,20428,17046,13844,
净资产收益率加权(%),6.28,6.43,2.14,16.2,--,11.25,3.29,18.05,20.73,34.07,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
