报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),-0.16,-0.08,-0.04,0.15,0.14,0.11,0.11,0.4,0.34,0.27,0.1,0.63,0.61,0.51,0.88,0.71,0.65,--,--,
每股净资产(元),4.42,4.5,4.58,4.62,4.62,4.59,9.16,9.05,9,8.94,8.85,8.75,8.68,5.07,4.56,4.39,3.68,--,--,
每股经营活动产生的现金流量净额(元),-0.85,-0.72,-0.3,-0.29,-0.03,0.13,0.01,0.45,-0.56,-0.65,-0.37,0.26,-0.35,-0.17,0.05,0.08,-0.06,--,--,
主营业务收入(万元),103355,72101,35217,142871,105908,68960,33833,157016,117698,81362,35380,140725,109784,73863,153932,111532,123467,69531,69522,
主营业务利润(万元),4346,4455,1987,20211,15624,10586,5010,21210,16290,12108,5213,23163,17885,12795,25252,18995,21641,13845,9723,
营业利润(万元),-6953,-3028,-1836,6015,5734,4697,2461,8507,7436,5854,2219,11054,9325,7120,13020,10908,11260,8809,6618,
投资收益(万元),-141,-123,-72,-58,3,3,--,7,3,3,--,203,2,2,2,2,-1,2,1,
营业外收支净额(万元),824,-87,153,695,411,83,55,328,130,75,50,725,995,839,1206,842,-483,81,84,
利润总额(万元),-6129,-3116,-1684,6710,6144,4780,2516,8835,7566,5929,2269,11780,10320,7959,14226,11750,10776,8890,6702,
净利润(万元),-6030,-3020,-1676,5562,5219,4060,2136,7565,6431,5040,1929,9985,9113,7073,12357,9933,9150,7630,5723,
净利润(扣除非经常性损益后)(万元),--,-2967,--,4952,--,3990,--,7286,--,4976,--,9367,--,6360,11333,9218,9568,7562,5659,
经营活动产生的现金流量净额(万元),-31858,-27012,-11243,-10887,-1132,4763,224,8314,-10461,-12152,-6896,4837,-6479,-2373,737,1156,-870,-2713,1496,
现金及现金等价物净增加额(万元),-1960,-338,-2266,-1766,-18592,-1703,-2501,-3606,-2449,-5125,9732,8639,58991,-1046,-334,7794,1400,-2250,2551,
总资产(万元),245032,277036,264942,260049,239969,232959,227259,226934,226389,222600,226060,197808,184945,111755,102681,111486,80346,55902,42951,
流动资产(万元),93750,127785,127412,121528,135914,139756,146654,146202,159810,158713,170413,151630,147429,75813,65978,75286,52138,31329,23122,
总负债(万元),79979,108967,93775,87280,67540,61628,56086,57829,58269,55687,60729,34406,22812,40845,38843,50072,28866,21372,18769,
流动负债(万元),71506,99791,84603,78051,58813,52969,47752,49715,58069,47534,52981,26977,19937,38017,36018,47712,28588,21270,18719,
股东权益不含少数股东权益(万元),165058,168071,171166,172771,172430,171330,171170,169098,168121,166912,165331,163402,162132,70910,63838,61413,51480,34530,24183,
净资产收益率加权(%),-3.57,-1.76,-0.97,3.25,3.06,2.39,1.26,3.56,3.88,3.05,1.17,9.42,10.33,10.5,21.43,17.6,23.13,25.43,27.62,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
