报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.15,0.07,0.08,0.14,0.15,0.12,0.11,0.26,0.27,0.12,0.11,0.24,0.22,0.09,0.2,0.65,0.53,0.28,0.34,1.07,0.15,0.8,1.72,1.23,
每股净资产(元),2.17,2.09,2.2,2.12,2.13,3.74,3.74,3.63,3.63,3.48,3.47,3.36,3.34,3.31,6.64,6.44,6.31,6.28,2.81,2.47,0,1.61,3.35,1.61,
每股经营活动产生的现金流量净额(元),-0.03,0.04,0.01,0.13,0.03,0.07,-0,0.2,0.08,0.05,0,0.29,0.13,0.07,0.14,0.21,-0.02,-0.11,0.17,1.24,-0.08,0.81,0.95,1.05,
主营业务收入(万元),8173,4052,3294,8283,6821,3589,2590,7509,6267,3093,2180,7719,6011,3461,2404,7535,5610,2959,2312,8140,1379,6025,4247,2664,
主营业务利润(万元),5214,2855,2247,6035,5088,2625,1804,5330,4418,2210,1592,4814,3828,2106,1402,4628,3713,2028,1545,5525,893,3515,2455,1612,
营业利润(万元),2425,1027,1398,1853,2372,815,989,1752,1928,774,1039,2026,2016,855,961,2077,1737,845,1089,3419,545,2251,1183,909,
投资收益(万元),518,317,113,442,405,232,126,278,205,106,27,136,74,15,--,--,--,--,0,0,0,133,64,7,
营业外收支净额(万元),190,167,19,738,346,321,128,957,673,387,40,432,53,53,--,732,416,233,162,489,7,352,219,86,
利润总额(万元),2615,1193,1417,2591,2718,1136,1117,2709,2601,1160,1079,2458,2069,908,961,2809,2153,1078,1251,3908,552,2604,1401,995,
净利润(万元),2340,1075,1220,2252,2406,1025,977,2331,2357,1048,937,2107,1911,814,875,2495,1933,923,1112,3540,496,2394,1385,994,
净利润(扣除非经常性损益后)(万元),--,766,--,1552,--,700,--,1601,--,778,--,1854,--,814,--,2157,--,742,942,3315,482,2023,1116,991,
经营活动产生的现金流量净额(万元),-471,591,88,2064,491,623,-29,1780,748,457,18,2520,1166,641,629,918,-76,-484,557,4105,-272,2668,763,843,
现金及现金等价物净增加额(万元),-9460,-8188,-6524,-509,-1136,443,71,-9232,-10368,-3654,-2489,-3765,-4955,-2581,791,17952,16895,18721,465,3870,-349,2860,-207,1040,
总资产(万元),37703,34677,37495,35475,36648,34171,34769,33464,34171,31573,31903,30752,30766,30008,30585,29163,29160,29519,11190,9662,0,5949,3869,2381,
流动资产(万元),26911,24138,26952,24932,25982,23525,24778,23424,24091,28696,29071,29374,29697,29042,29632,28214,28255,28884,10568,9046,--,5385,3605,2320,
总负债(万元),3322,1562,2651,1851,2870,1246,1892,1564,2245,957,1397,1183,1393,852,1368,821,1380,1869,1914,1498,--,626,1172,1087,
流动负债(万元),2811,1030,2103,1291,2364,839,1470,1102,1676,496,1055,931,1183,642,1208,741,1380,1869,1914,1498,--,626,1172,1087,
股东权益不含少数股东权益(万元),34380,33115,34845,33624,33778,32925,32877,31900,31925,30616,30506,29569,29372,29156,29216,28342,27780,27650,9275,8164,0,5323,2697,1294,
净资产收益率加权(%),6.83,3.15,3.56,6.87,7.29,3.16,3.02,7.58,7.38,3.48,--,7.26,6.57,2.83,3.04,13.51,21.17,10.7,0,53.42,0,59.71,69.08,123.95,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
