报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
基本每股收益(元),0.09,0.08,0.1,0.49,0.19,0.18,0.19,--,0.17,0.32,0.17,0.38,0.3,0.31,0.16,0.74,0.43,0.44,0.21,1.06,0.81,0.54,0.32,1.89,0.69,0.13,1.07,0.98,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,7.31,7.31,7.36,7.2,6.89,11.28,11.05,10.84,10.26,15.92,3.57,4.47,0,0,3.43,2.78,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-1,-0.72,-0.61,0.59,-0.48,-0.74,-0.82,-0.92,-1.46,-1.61,0.06,1.52,0,0.22,1.72,1.04,
主营业务收入(万元),88214,60017,26197,156605,98504,71509,31845,142267,92939,65934,33218,120003,80648,56613,26881,125191,81131,55451,29846,85514,49513,34742,18861,63094,38192,14273,62153,50183,
主营业务利润(万元),40898,27990,12494,69838,42712,29977,13887,61776,40225,28598,14698,51261,34900,24618,11229,54426,34487,23894,12476,34335,20300,13160,6994,22389,13680,4304,20140,16615,
营业利润(万元),7477,6479,3634,18181,7538,7009,3767,11654,5865,5394,2840,6607,5254,5296,2535,13254,8475,5548,2557,10266,5090,3431,1630,7308,3078,697,6102,5382,
投资收益(万元),--,--,--,--,--,--,--,827,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,3,4,0,-0,0,
营业外收支净额(万元),326,303,199,291,239,214,8,114,240,249,190,168,205,212,200,233,-0,-78,116,233,39,-3,175,3339,753,40,--,-64,
利润总额(万元),7803,6782,3833,18473,7777,7224,3775,11769,6105,5644,3029,6775,5459,5508,2735,13487,8475,5469,2672,10499,5129,3428,1804,10647,3831,737,5923,5318,
净利润(万元),6161,5635,3195,14830,5754,5344,2845,9868,5031,4765,2561,5774,4607,4634,2350,11184,6459,4164,1997,9175,4511,2836,1483,8861,3238,602,5043,4583,
净利润(扣除非经常性损益后)(万元),5892,5386,3035,13712,5575,5183,2839,--,--,4552,2399,5631,--,4453,--,10987,--,4223,--,9345,--,2838,1334,--,0,568,--,0,
经营活动产生的现金流量净额(万元),-11864,-10211,-6987,22486,1304,-1180,-3545,13250,-3798,-3466,-575,88,-15083,-10938,-9223,8906,-7314,-7030,-7749,-8729,-13822,-10161,362,7146,721,1370,8079,4878,
现金及现金等价物净增加额(万元),-22507,-19946,-6415,4625,-12613,-11104,-8553,-1191,-16167,-15928,-5726,-9524,-20053,-14734,-8982,-5249,-15955,-10851,-12518,31272,33485,51418,-2004,517,-5780,-5213,7922,103,
总资产(万元),183406,177229,180079,187631,175631,169617,164221,174470,168219,160340,156146,160878,162608,159327,156517,156465,148252,144385,135028,136489,126600,134260,68556,65825,0,0,57285,41140,
流动资产(万元),110968,107943,110864,119022,108155,104763,100522,111895,108682,100158,97869,102603,107274,105083,104427,104174,101610,97700,93084,97291,92329,101153,43219,41341,--,--,36356,26238,
总负债(万元),53771,48615,48495,60330,58818,53610,43758,57469,56245,48638,42101,49402,52257,48901,45323,47578,44108,37764,30477,33945,29584,33895,45998,44760,--,--,41123,28020,
流动负债(万元),51231,46048,45893,57873,56487,52706,42808,56498,55342,47724,41187,48488,52136,48780,45202,47458,43787,37443,30156,33624,29263,33524,45627,44389,--,--,40451,27898,
股东权益不含少数股东权益(万元),129815,128793,131758,127495,117011,116215,120680,117203,112175,111903,114230,111668,110496,110512,111263,108917,104178,106612,104462,102460,96917,100282,22479,20996,0,0,16130,13085,
净资产收益率加权(%),4.75,4.29,2.48,12.17,4.93,4.51,2.4,--,--,4.21,2.27,5.24,4.19,4.18,2.13,10.58,6.2,3.98,1.93,12.09,6.86,5.92,0,51.42,0,0,35.75,41.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
