报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,1991-12-31,1991-06-30,1990-06-30,1989-12-31,
基本每股收益(元),0.05,0.03,0.01,0.09,0.05,0.04,0.02,0.1,0.04,0.03,0.01,0.09,0.05,0.03,0.01,0.13,0.12,0.09,0.04,0.13,0.11,0.08,0.01,0.05,-0.18,-0.16,-0.08,-0.73,-0.1,-0.03,-0.14,0.02,0.01,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.05,--,2.01,1.99,1.97,1.96,1.96,1.93,1.88,1.84,1.75,1.72,1.65,1.65,1.42,1.44,1.51,1.59,2.22,2.29,2.31,2.33,2.48,2.48,2.72,2.72,2.72,2.71,3.13,3.13,2.81,2.97,3.17,3.17,3.16,3.14,3.14,3.09,3.06,3.04,2.99,2.96,3,2.98,3.24,3.19,3.25,3.4,3.41,3.51,2.23,1.93,2.4,2.28,2.04,2.04,2.04,2.13,2.14,2.41,2.3,2.5,2.4,2.58,2.44,2.52,1.46,0.36,1.35,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.03,--,-0.11,-0.06,-0.05,-0.03,-0.03,-0.03,-0.03,-0.06,-0.02,-0.03,-0.02,-0.08,-0,-0.01,0,-0.01,-0.04,-0.06,-0.1,0.28,-0.01,0.12,0.23,-0.21,0,0,0,0.27,0,0,0,0.4,0,0,0,0.79,0,0,0,0.61,0,0.28,--,0.51,0.32,0.45,0.15,0.81,0.61,0.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),77587,49057,25741,125632,86068,47962,21675,113838,84073,51958,25975,120573,88414,59091,21477,93674,37633,26923,12354,52483,35070,22958,11358,56742,47703,31579,16659,81695,79900,54941,29645,168272,162652,102282,54146,104842,72021,44523,18542,318825,216080,130714,72831,505430,365926,238274,110347,517326,365426,252240,120566,465630,316358,211847,94467,405871,138019,505565,263165,437400,189688,335911,112588,311427,144819,270347,107734,268821,38320,226123,34511,158353,22935,102404,26397,--,24166,26310,--,
主营业务利润(万元),12460,7365,3284,19931,13051,8041,3553,16571,9737,6781,3158,17601,11307,9831,3742,15640,6067,4182,1917,6791,5777,3883,2042,8059,-3263,1885,1483,6090,7116,5196,2887,-10302,-9660,-2063,--,5393,3419,2240,787,-15458,-9788,8128,7392,68531,47371,33456,15594,70907,48493,36161,17887,59128,39721,28170,14083,36588,15083,88474,48637,71743,32128,43713,12177,14595,5042,7353,4385,32482,4218,24519,2409,2708,1069,491,214,--,1699,5897,--,
营业利润(万元),4044,2137,-271,5324,231,-1833,-1566,3265,3430,2017,-61,7448,5067,3860,689,13736,13902,10194,4845,15187,12462,9551,527,-4570,-22152,-19503,-10621,-102198,-12609,-4567,-2000,-71614,-26006,-23962,-1129,-8828,-3059,-548,-2598,-65836,-40141,-12549,-1402,16179,10657,7361,2683,20173,14509,10486,4694,11956,7051,5853,2793,7209,2080,42968,27408,32061,12462,11827,-1739,17109,0,8541,0,33684,0,0,2540,12612,1158,886,301,--,1668,5936,--,
投资收益(万元),7443,5097,1801,10073,4287,1774,1290,8316,7564,4213,1531,13311,7489,4964,1254,20829,14407,9620,5303,20399,15125,12196,974,14652,-10655,-10935,-6532,-20274,-590,2574,638,6330,2525,-2960,5244,9512,3063,496,2512,29360,-7567,-5893,2228,11005,10971,9051,5286,8616,6790,6054,2669,10809,11103,7771,4535,13350,11972,21485,10974,22257,15672,12091,11410,-5991,73,3897,1653,-4491,3919,-2540,3150,1187,2377,11327,0,--,0,0,--,
营业外收支净额(万元),2847,1856,1754,9193,7330,6995,3754,9320,1850,1608,1269,4295,1875,641,218,1429,329,23,1,461,-60,-67,6,8078,90,38,21,-1241,--,-524,--,--,--,--,--,-7,0,0,0,5632,0,0,0,-541,0,0,0,-486,0,0,0,-1153,-581,-57,0,-548,0,-1961,0,-399,0,0,0,0,-1183,0,-1964,0,-2352,-4015,0,0,--,0,--,--,--,--,--,
利润总额(万元),6891,3993,1482,14517,7561,5162,2188,12585,5280,3626,1208,11743,6942,4500,907,15165,14232,10217,4846,15648,12401,9484,533,3508,-22063,-19465,-10599,-103439,-13124,-5091,-2341,-17200,-4146,-2877,-1129,705,47,-52,-86,-29994,-47702,-18476,785,26774,21480,16269,7923,28333,21041,16370,7377,21674,17651,13623,7317,20260,13979,62528,38500,55233,28556,24381,8970,33635,9933,16626,5091,26188,6175,18205,5020,11899,3836,11092,3257,--,3022,4807,--,
净利润(万元),5835,3604,1299,10879,5919,4393,2040,11407,4786,3348,1087,10722,5904,3942,934,15203,13931,10118,4980,15173,12354,9663,836,5772,-20548,-18216,-9872,-85579,-11565,-3971,-1677,2660,1204,887,523,1865,1087,742,430,1042,-28355,-13664,510,12501,11063,8582,4205,13511,10002,7507,3194,10392,9050,7431,4126,17044,13067,30088,18154,32327,19262,13706,6451,15707,267,1751,371,11833,6078,9112,4740,8450,3617,10304,3191,--,2515,2112,--,
