报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.1,0.07,0.06,0.34,0.25,0.36,0.13,0.58,0.45,0.31,0.15,0.55,0.43,0.28,0.19,0.83,0.69,0.64,0.35,1.69,1.33,0.53,1.38,0.55,0.65,
每股净资产(元),1.72,1.69,3.13,3.07,2.98,6.12,5.89,5.76,5.63,5.5,7.19,7.03,6.91,6.76,10.4,10.21,10.06,10.28,4.64,4.23,3.87,0,3.25,2.29,2.03,
每股经营活动产生的现金流量净额(元),0.03,0.02,-0.01,0.36,0.25,0.29,0.32,0.29,0.21,0.17,0.17,1.22,0.96,0.82,0.6,0.19,-0.05,0.28,-0.1,1.12,0.82,0.3,0.95,0.57,0.4,
主营业务收入(万元),49662,32671,14638,69336,51296,35799,15362,63316,45176,30053,12676,50837,36928,24875,12381,51732,38931,27349,14617,51811,38364,13188,35448,26739,27406,
主营业务利润(万元),13644,9381,4436,19880,14838,10418,4505,18283,13298,8734,3832,13931,10023,6655,3395,12977,9874,7202,3976,16889,12922,4912,13800,7541,8125,
营业利润(万元),4784,3611,1886,9360,7052,5020,1789,8283,6570,4461,1786,6164,4722,3009,1488,4894,3781,3110,2061,9305,7287,3128,8059,3162,3731,
投资收益(万元),55,55,--,114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,8,0,0,
营业外收支净额(万元),147,98,47,855,450,413,252,440,284,185,-21,245,224,205,23,893,807,800,384,517,491,3,33,-55,-42,
利润总额(万元),4931,3708,1932,10216,7502,5433,2040,8723,6854,4646,1765,6410,4946,3214,1512,5787,4588,3909,2445,9822,7778,3131,8092,3107,3689,
净利润(万元),4625,3401,1622,8777,6390,4639,1762,7512,5819,4057,1486,5546,4289,2824,1259,4948,3952,3382,2065,8454,6660,2645,6886,2741,3244,
净利润(扣除非经常性损益后)(万元),--,3317,--,8050,--,4288,--,7138,--,3900,--,5338,--,2650,--,4189,--,2702,1739,8015,6243,2642,6854,2789,3280,
经营活动产生的现金流量净额(万元),1250,1078,-153,9293,6650,3840,4217,3828,2696,2196,1717,12223,9610,8226,4053,1247,-312,1905,-503,5598,4112,1476,4732,2849,2001,
现金及现金等价物净增加额(万元),-14243,-13467,-1882,-1309,-2182,1406,2398,-5053,-5274,-2436,-425,-3779,-2898,-2522,1665,29121,35878,39514,646,516,989,919,582,-665,447,
总资产(万元),102116,100696,101886,102395,97267,103516,99876,97965,88040,87763,85759,81706,79295,76974,79827,76944,78998,81942,39253,35871,33427,0,24970,19103,19091,
流动资产(万元),62064,60111,59907,63122,58878,65199,61560,59065,56017,57069,56128,54106,54981,54184,62044,61200,68695,71640,29695,27168,24940,--,18875,13568,13673,
总负债(万元),18553,18225,18148,22251,19473,23591,22866,22727,14479,15960,13540,11035,9870,9049,10141,8551,11573,13046,16038,14722,14061,--,8705,7630,8936,
流动负债(万元),16882,16504,16376,20428,17448,21566,20841,20702,12796,14277,11857,9352,8213,7391,8191,6601,9773,11246,16038,14722,14061,--,8705,7630,8936,
股东权益不含少数股东权益(万元),80901,79657,81817,80145,77795,79925,77010,75238,73560,71803,72219,70671,69425,67926,69686,68393,67425,68896,23215,21149,19366,0,16265,11473,10155,
净资产收益率加权(%),5.7,4.16,2,11.25,8.23,5.98,2.32,10.3,8.01,5.58,2.08,7.98,6.17,4.04,1.82,10.14,9.27,11.17,9.31,47.37,38.88,15.04,51.33,26.35,35.56,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
