报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2001-12-31,
基本每股收益(元),1.73,1.43,0.44,0.61,0.26,0.11,0.07,0.06,0.15,0.24,0.16,0.29,0.28,0.24,0.1,0.45,0.4,0.33,0.16,0.64,0.41,0.24,0.1,0.92,0.63,0.42,0.47,0.44,--,1.68,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.61,--,6.33,6.39,6.46,6.28,6.34,6.49,6.81,6.65,6.45,6.28,6.67,6.57,6.28,4.14,3.64,--,--,3.45,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.2,--,0.67,0.24,0.66,-5.31,-4.55,-3.39,-1.08,-1.24,-2.2,-0.02,1.11,2.85,3.44,-0.72,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,
主营业务收入(万元),1235023,952070,318913,660142,345941,192214,91421,401954,296718,239242,137495,365170,284198,211261,96937,449848,351995,264993,134075,505408,322417,194821,83927,559413,417517,262264,369102,299134,187995,982440,313014,177182,94476,60727,17860,39930,24814,11563,3407,55473,26825,46084,24604,57954,94624,
主营业务利润(万元),768944,621475,194969,283467,113219,43729,32441,80029,62067,109027,71653,126531,115986,96952,44102,198780,172737,144867,76478,285352,175148,97907,39914,391702,254291,167899,166644,166013,107198,717753,300850,110493,0,39742,0,4309,0,-9291,0,-1105,-3924,-7522,1858,-7315,4336,
营业利润(万元),768944,621475,194969,283467,113219,43729,32441,80029,62067,109027,71653,126531,115986,96952,44102,198780,172737,144867,76478,285352,175148,97907,39914,391702,254291,167899,166644,166013,107198,717753,300850,110493,0,39742,0,4309,0,-9291,0,-1105,-3924,-7522,1858,-7315,4336,
投资收益(万元),263938,199403,47697,70904,-4148,13659,8511,-11361,-6951,62031,40419,44149,49643,38286,7275,60935,41066,35557,13521,39525,3485,-10585,-12772,49335,27712,20096,111307,124493,127976,341850,89013,24399,0,11676,0,18122,0,905,0,-130,1535,14764,1715,7531,5910,
营业外收支净额(万元),8776,8763,405,1477,1118,1027,263,-31394,7038,1565,902,9510,9710,9317,215,10571,8713,3861,161,13294,13145,13177,7064,514,685,886,6296,-1027,-680,-21562,-23816,604,0,83,0,-196,0,-244,0,-9215,-126,-3810,-742,1615,-75,
利润总额(万元),777720,630238,195374,284943,114337,44756,32704,48635,69105,110592,72555,136041,125696,106269,44316,209350,181451,148728,76639,298645,188294,111084,46978,392216,254976,168785,172940,164986,106518,696191,274170,107708,53290,32823,7835,5748,1276,-3119,-1354,-8080,-2515,3432,2831,1832,10172,
净利润(万元),599969,487803,151275,206831,89858,38108,22993,20578,50991,81095,53698,100297,95885,82940,34058,154447,137494,113026,56325,220006,139070,82925,34295,282666,185635,121901,136754,128391,92976,468636,210449,78783,40185,21263,5249,6199,1249,-3119,-1354,-8080,-2515,2373,2930,196,4003,
净利润(扣除非经常性损益后)(万元),590095,478767,150970,206049,89341,37641,22795,55440,46015,80195,--,90680,89101,76451,33893,147080,130931,110112,56200,210405,129435,73266,28996,282783,0,121503,123208,--,--,489246,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),2273352,4322421,98348,1750547,465043,-453533,135777,135967,-126496,-573232,66714,124771,227563,83725,223954,-1814371,-1553751,-1158182,-369540,-422273,-750818,-5436,380009,975470,1018199,-207633,-1304629,-1260732,1107478,3210148,0,661468,0,--,0,67657,0,--,0,--,-14720,-162680,--,-257700,--,
现金及现金等价物净增加额(万元),5840167,7791347,1565068,2347487,1106499,437896,124463,-200396,-29565,256594,467115,21748,128819,23699,219539,-2130910,-1774325,-1361553,-373752,-678590,-1005602,-197247,307348,1899486,2081542,-217557,-1320736,-1269758,1102379,3263553,--,636899,0,--,0,78523,0,--,0,--,-70789,-103295,--,-156120,--,
总资产(万元),20411361,24089416,15836634,11494479,8525618,7219863,6038874,5384574,5313384,5922824,5731873,5835802,5047875,5117689,5123717,4332914,4946957,5228286,5700774,5957885,5372279,5755711,6518970,6202148,5952978,3633614,3327568,--,5826931,5386942,3097027,1354091,1029000,1078852,684100,586790,591300,691775,700100,598516,852514,956410,1027998,982503,1038770,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,3031120,1288043,0,1017454,0,523589,0,636454,0,539554,777204,858463,915261,826591,956290,
总负债(万元),16458719,20938636,12998268,8832447,6004326,4793234,3664206,3023971,2954660,3635217,3397010,3544849,2812283,2861670,2845062,2112314,2714100,2944100,3354729,3667773,3149144,3593531,4220687,3939243,3790535,2420524,2257211,--,4808359,4318728,2426378,1029345,742900,805771,427000,331209,351600,456464,463800,372086,574432,681874,744386,703564,871560,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,2426378,1029195,0,805621,0,331059,0,446514,0,362136,574432,681874,744386,703564,871560,
股东权益不含少数股东权益(万元),3763157,2967407,2754460,2580906,2441649,2348931,2296167,2283623,2285006,2214041,2260075,2217248,2163199,2184093,2207233,2147624,2166292,2217540,2326401,2271601,2206074,2147440,2279584,2245655,2147219,1200164,1054772,--,1018572,1001120,670649,324747,286100,273081,257000,251818,239700,235311,236300,226430,278082,274536,283611,278939,167210,
净资产收益率加权(%),20.16,17.2,5.87,8.57,3.84,1.66,1,0.93,2.29,3.59,2.37,4.56,4.36,3.75,1.55,6.85,6.07,4.9,2.45,9.76,6.21,3.68,1.52,18.74,0,10.93,13.3,--,--,70.89,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
