报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.22,0.14,0.04,0.52,0.34,0.23,0.03,0.64,0.62,0.57,
每股净资产(元),4.87,4.79,4.81,4.18,4,3.88,--,3.66,3.15,2.66,
每股经营活动产生的现金流量净额(元),0.24,-0.04,-0.06,0.13,0.08,0.19,-0.26,0.49,0.46,0.3,
主营业务收入(万元),13164,8130,3198,18986,12616,7844,2989,18464,18759,16168,
主营业务利润(万元),5057,3289,1190,7998,5501,3516,1219,8294,8461,7263,
营业利润(万元),1607,1072,276,3418,2282,1510,251,4027,4312,3885,
投资收益(万元),1,1,1,1,1,1,1,7,--,--,
营业外收支净额(万元),435,83,0,297,146,117,0,369,92,120,
利润总额(万元),2042,1155,276,3715,2428,1627,251,4396,4404,4004,
净利润(万元),1660,993,238,3098,2043,1352,194,3835,3708,3415,
净利润(扣除非经常性损益后)(万元),--,923,--,2922,1982,1316,--,3443,3621,3373,
经营活动产生的现金流量净额(万元),1902,-337,-472,787,490,1149,-1568,2964,2746,1824,
现金及现金等价物净增加额(万元),14075,12748,13242,-247,528,700,-1689,-83,409,3707,
总资产(万元),47561,46805,47493,32937,31898,29584,--,28080,25576,22732,
流动资产(万元),36168,35870,36403,22256,22427,20194,--,18655,17327,17272,
总负债(万元),8609,8521,9015,7883,7899,6277,--,6124,6655,6667,
流动负债(万元),6609,6521,9015,7883,7749,6127,--,5974,6655,6667,
股东权益不含少数股东权益(万元),38952,38284,38478,25054,23999,23308,--,21956,18921,15960,
净资产收益率加权(%),4.65,2.92,0.91,13.18,8.89,5.97,0.88,18.52,21.57,27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
