报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),1.3,0.87,0.46,2.02,1.48,0.97,0.42,1.74,1.25,0.82,0.43,1.87,1.34,0.89,0.34,1.48,1.09,0.76,0.34,1.2,0.91,0.6,0.26,0.75,0.53,0.33,0.14,0.7,0.74,0.46,0.2,0.5,0.39,0.24,0.11,--,--,0.18,--,0.31,--,0.15,0.07,0.24,--,--,--,0.29,--,--,0.32,--,--,
每股净资产(元),10.5,10.4,11.83,11.39,10.81,10.27,10.07,9.59,9.2,9.22,11.37,10.9,10.39,10.01,9.68,9.33,8.9,8.59,7.45,7.11,6.85,6.54,6.33,6.06,5.83,5.64,5.61,5.49,3.75,3.45,3.3,3.11,3.01,2.86,2.85,2.77,2.68,2.56,2.58,2.49,2.45,2.34,2.36,2.29,2.23,--,2.54,2.46,2.78,1.6,--,0.84,--,
每股经营活动产生的现金流量净额(元),7.13,-1.53,-2.94,1.45,-5.06,-11.04,-6.08,9.07,2.58,10.89,-2.27,13.85,9.23,2,-1.08,11.54,3.16,-1.1,-0.3,4.66,-3.83,-2.51,0.06,-8.03,1.52,-13.44,-12.52,9.99,-1.25,2.36,-0.84,-6.13,-8.52,-5.28,-7.8,9.02,--,3.48,--,-1.57,--,-2.71,--,3.95,0,--,0,-2.35,0,--,--,--,--,
主营业务收入(万元),4317200,2832800,1287600,5488500,4081900,2637700,1226200,4521900,3336500,2220700,1063856,3977695,2937229,1945218,903674,3354380,2457724,1586642,739942,2447889,1771882,1156128,560111,1712963,1230442,774243,361839,1761137,1318165,872451,434868,1426028,1021761,654188,315309,1007048,1293914,822887,404506,1379447,995576,640748,300073,1082680,778794,500455,233316,847882,601419,383573,622461,532992,372377,
主营业务利润(万元),1858700,1238600,552700,2389100,1750000,1150100,497800,2066000,1482000,973100,398832,1720114,1222144,807630,315704,1252351,869450,567079,227486,802784,602556,401379,173917,481126,344652,214492,86998,403389,386535,268555,116737,385577,278067,177544,75202,257045,215794,127299,63004,218427,177934,103936,55847,181744,141335,87704,46731,152849,119433,74281,127544,121460,59040,
营业利润(万元),1858700,1238600,552700,2389100,1750000,1150100,497800,2066000,1482000,973100,398832,1720114,1222144,807630,315704,1252351,869450,567079,227486,802784,602556,401379,173917,481126,344652,214492,86998,403389,386535,268555,116737,385577,278067,177544,75202,257045,215794,127299,63004,218427,177934,103936,55847,181744,141335,87704,46731,152849,119433,74281,127544,121460,59040,
投资收益(万元),-24100,-27500,-23900,58000,44700,32600,21000,-11600,1200,1000,772,-1746,5419,-885,1278,-2205,-6993,-7732,-598,-1920,126,27,7998,10130,217340,153239,85669,294975,217195,142781,70573,242577,181576,127337,71569,224512,161994,103836,51019,169265,121820,78300,37332,132751,95126,56941,27263,120874,86826,58276,88885,57630,36401,
营业外收支净额(万元),5100,3000,1300,11200,11900,9900,1200,4500,1700,700,638,5034,1757,1694,335,389,426,124,61,-1989,-417,-179,173,1632,-876,315,303,-2735,--,-2860,-1479,-3497,-10496,-10726,-3230,-15922,-24579,-16052,-6999,-18154,-12907,-8304,-3947,-15676,-11836,-7808,-3678,-15329,-10097,-7299,-12420,-11817,-200,
利润总额(万元),1863800,1241600,554000,2400300,1761900,1160000,499000,2070500,1483700,973800,399470,1725148,1223901,809324,316039,1252740,869876,567203,227547,800795,602139,401201,174090,482759,343776,214807,87301,400654,383626,265694,115258,382079,267571,166818,71972,241123,191215,111247,56006,200273,165027,95631,51900,166068,129499,79895,43052,137520,109336,66981,115124,109643,58839,
净利润(万元),1391200,926300,413600,1798100,1317700,867000,372200,1550600,1113000,730000,295012,1279628,918039,607524,235125,922193,653839,426742,170775,598958,452726,300754,130663,376023,264252,166559,70213,307084,310635,192793,82161,210119,163218,101002,45537,145704,126565,74536,37524,128868,110568,63984,31207,101692,79115,49535,26692,80159,66084,39519,70553,64026,38356,
净利润(扣除非经常性损益后)(万元),1387700,924300,412800,1791200,1309600,859900,371400,1547700,1111700,729500,--,1272821,--,592133,--,925458,--,432498,--,599953,--,300246,--,369809,--,163912,0,306030,0,194960,--,210233,--,111169,0,158578,--,85477,--,144647,--,69652,--,111950,0,--,0,94582,0,--,--,--,--,
经营活动产生的现金流量净额(万元),7623300,-1639000,-2620300,1288200,-4507000,-9832600,-5417400,8073100,2300500,9696700,-1554635,9484394,6324014,1372386,-738578,7902715,2162652,-751207,-149413,2327534,-1910816,-1252289,27534,-4007136,756183,-6709103,-6246936,4986663,-527045,992571,-352029,-2572857,-3578029,-2217122,-3274599,3789374,1023507,1462411,497679,-658616,-287308,-1140128,-1548242,1660241,-561883,--,-602570,-823045,-2545430,-1658182,2207528,--,--,
现金及现金等价物净增加额(万元),4722600,1359000,-4052300,388100,-5341000,-9441000,-4058200,7118200,2174700,9916700,-1872486,1929807,606006,-2357873,-2571681,4743509,1429922,-500015,-27544,1944214,-2535718,-1571635,316859,-3329099,1085164,-5471765,-4773508,3921065,-1187691,443597,-1745847,275003,-814796,-453963,-1964849,2517162,-31974,811136,0,-2625162,-1759737,-1746589,-1929050,1285014,-1052684,--,-705957,-337871,-2152390,-1517235,262786,--,--,
总资产(万元),195011500,191723200,182108400,185162800,178409200,177856000,173419300,167244700,155180900,150715200,151906137,148886006,144644192,135451513,125006399,124414118,107977816,114076849,112244256,104023044,101079066,94169575,89150995,84545643,82363167,80053038,75772713,73163719,65262336,62814610,59796804,59233827,52961929,48102126,42411285,44505342,39719997,39168407,36237067,35612842,33349170,32393698,29841979,30432574,27615341,--,24113860,24682879,21706668,20365390,17814649,13504967,9983324,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,0,0,0,0,0,--,0,--,0,0,--,--,--,--,23598908,22194657,22043532,20044263,21236592,18598686,--,16706778,17661270,14791808,13224940,12650428,10212516,7891482,
