报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.3,0.19,0.08,0.36,0.24,0.16,0.07,0.3,0.21,0.13,0.06,0.29,0.19,0.12,0.06,0.27,0.19,0.23,0.1,0.46,0.3,0.19,0.08,0.35,0.25,0.18,0.1,0.45,0.34,0.19,0.15,0.64,0.43,0.26,0.11,--,--,--,0.18,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.47,3.4,3.4,3.35,3.29,3.76,3.79,3.68,3.52,3.42,3,2.92,2.82,2.75,2.82,2.72,2.6,2.46,4.21,4.06,3.83,3.66,3.62,1.98,1.8,1.66,--,2.08,1.59,1.52,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.21,-0.04,-0.12,0.21,-0.12,-0.1,-0.19,0.21,-0.23,-0.06,0.01,0.28,0.26,0.32,0.06,0.17,0,-0.13,-0.09,-0.64,-0.81,-0.55,-0.43,0.4,0,0.24,--,0.16,0.05,0.33,
主营业务收入(万元),90784,53957,24821,101511,70094,48795,21398,88530,61462,40543,18380,81076,58454,36772,16867,63103,47416,30364,13593,50595,34688,20249,9273,38963,29422,19698,10865,43949,33244,20707,9597,33466,22860,14484,6548,24098,17219,11161,4827,15833,9988,6809,
主营业务利润(万元),30710,17687,8481,34541,22801,14521,6844,27178,18640,12203,5439,23955,16915,10601,4614,19631,15082,9601,4219,16117,10305,6480,3102,12221,9463,6347,3261,14811,10942,6692,3005,10756,7216,4329,--,7880,5353,3573,1553,5099,3435,2266,
营业利润(万元),11441,6263,2741,11769,8040,5149,2323,8678,5754,4051,1892,8466,6305,3896,1829,6444,5537,3693,1661,6721,4252,2758,1225,5475,4097,2887,1603,7357,5647,3293,1491,5748,3924,2243,968,4152,2896,1865,912,2720,1959,1093,
投资收益(万元),534,534,--,423,194,194,--,222,186,115,--,118,108,108,108,53,40,31,-4,102,77,125,24,138,51,72,34,-52,21,3,-11,3,8,-1,-8,4,0,18,--,-43,0,0,
营业外收支净额(万元),966,389,190,803,585,458,261,1817,1625,372,208,1818,382,236,146,2384,565,242,113,912,665,337,63,168,-23,9,6,136,--,-51,--,191,--,28,--,32,0,0,8,0,0,0,
利润总额(万元),12407,6651,2931,12572,8625,5607,2583,10495,7379,4423,2100,10284,6687,4132,1974,8828,6101,3935,1773,7633,4917,3096,1288,5643,4074,2896,1610,7493,5660,3242,1493,5940,3927,2271,969,4188,2911,1891,920,2683,1940,1113,
净利润(万元),9881,5780,2515,11112,7378,4812,2165,9361,6396,3841,1795,8888,5770,3602,1705,7548,5194,3388,1548,6696,4328,2783,1185,5025,3597,2575,1387,6537,4838,2757,1285,5286,3541,2134,821,3504,2474,1548,760,2482,1713,939,
净利润(扣除非经常性损益后)(万元),9108,5449,2353,10427,6881,4421,1943,7814,5010,3522,1617,7353,--,3376,--,5537,--,3179,--,5874,--,2448,--,4863,--,2568,0,6425,0,2802,--,5262,0,2113,--,3479,2474,1541,--,2477,1710,920,
经营活动产生的现金流量净额(万元),-6931,-7203,1972,4845,5073,-1332,-3540,-2713,-8573,-4089,-2188,1457,-6343,-1267,-3605,6588,-3608,-1544,-2782,3067,-3358,-947,76,3985,3699,4642,909,2479,-3,-1889,-741,-5447,-6833,-4656,-3670,2547,673,1511,942,678,210,898,
现金及现金等价物净增加额(万元),9417,2211,13085,2010,15942,15278,9570,-6084,-12594,-7276,10259,-2438,9255,-6137,13472,18598,26187,-2372,-1650,2795,-1603,-1490,-2215,-1545,-3124,-4707,-1235,-1287,-2335,-4471,-960,7688,8125,5700,7971,-1684,-614,-427,-388,1256,755,510,
总资产(万元),325327,302815,250652,250577,249925,237913,227029,209072,201793,194203,201488,182002,191838,162576,179778,158984,164414,126005,126426,120645,107070,103029,83726,85252,79693,70797,73912,71759,69522,60130,58197,56228,49735,41808,39887,26651,26528,25690,--,24558,16411,9981,
流动资产(万元),194004,171356,169054,169881,171038,160277,149346,131670,128688,119258,128201,111940,128907,102490,122475,101737,110863,72576,76736,70356,62007,58898,49186,50942,48878,42586,49136,48128,48857,41636,45246,43401,40211,32774,31666,19110,21376,19263,--,19538,12046,6837,
总负债(万元),127530,109626,122728,125167,128249,118803,108108,92316,88010,82835,89706,72014,84966,57866,75121,56031,61371,68774,68839,64576,53316,50800,38580,41219,36937,29700,32970,32166,30411,24714,22560,21876,17291,10772,9201,14074,15095,15130,--,15830,9746,5821,
流动负债(万元),118763,100630,114828,117106,120541,111080,100244,84309,81003,76072,81119,63074,73607,46407,63550,41319,41411,52128,49809,46678,37289,35085,26474,32095,28775,22538,25808,28210,27028,21346,19028,18344,13369,8350,8779,11152,11273,12147,--,13330,7706,3761,
股东权益不含少数股东权益(万元),192755,188654,127925,125410,121676,119110,118921,116756,113783,111237,111649,109853,106735,104567,104514,102809,101235,55470,55836,54294,51925,50371,43245,42061,40633,39611,40583,39196,37497,35416,35637,34352,32443,31037,30686,12577,11433,10560,--,8727,6665,4161,
净资产收益率加权(%),6.62,4.52,1.99,9.18,6.2,4.07,1.84,8.28,5.71,3.45,1.62,8.36,5.5,3.45,1.65,10.58,8.55,6.05,2.72,13.9,9.2,6.4,2.66,12.48,--,6.48,0,17.91,0,7.84,--,17.29,0,7.74,--,32.83,0,16.13,--,32.55,30.58,25.43,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
