报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.21,0.05,0.02,-0.51,-0.26,-0.15,0,0.15,0.16,0.16,0,0.23,0.35,0.22,0.08,0.56,0.44,0.25,0.19,0.8,0.54,0.29,0.23,0.87,0.62,0.33,0.17,1.02,0.72,0.37,0.32,1.39,1.01,0.52,0.27,--,--,0.36,0.08,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.26,4.15,3.98,3.87,3.77,3.58,4.9,4.71,4.45,4.2,6.05,5.82,5.57,3.36,5.1,5.04,4.74,4.39,8.42,8.1,7.72,7.24,6.99,3.09,2.72,--,--,2.32,1.83,1.5,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.04,-0.31,-0.31,-0.31,-0.26,-0.18,0.08,0.08,-0.39,-0.3,-0.35,-0.1,-0.39,-0.49,-0.4,0.04,0.05,-0.06,-0.62,0.2,-0.44,-0.21,-0.33,0,0.67,0.21,--,0.6,0.42,-0.17,
主营业务收入(万元),108231,75731,30752,92780,68053,52276,27156,149753,117944,73010,23453,128713,103647,72427,31417,163082,122463,85379,42118,133689,100417,63649,30029,92220,65399,41594,20399,58264,43173,25773,12787,36716,25898,16163,8509,23449,16441,10051,3667,16411,8019,6068,
主营业务利润(万元),39821,26845,12662,35399,28502,19495,11828,59050,43806,29495,11841,60843,50536,35143,16127,81013,60473,41443,18168,60708,45265,26837,12613,42510,29405,19040,9790,28316,20399,10986,5862,18632,13619,8248,4332,13230,9420,4740,1448,8879,4530,2834,
营业利润(万元),1211,-1439,-1245,-31582,-17079,-11297,-1713,3099,4855,6511,-2889,5302,13675,6957,2481,23323,19719,14005,6844,20262,15367,8110,4249,14866,10013,4848,2204,9468,7433,2809,1255,5111,4509,2833,1495,3760,3179,1290,-84,2676,902,573,
投资收益(万元),26,-627,-400,-628,89,-299,-119,15330,12097,8418,-42,579,613,154,-438,-507,-170,-113,-65,-24,98,0,--,--,--,--,--,--,0,--,--,--,0,0,0,-1,-1,--,--,0,0,0,
营业外收支净额(万元),10374,4438,2675,4935,3706,3992,1515,6797,4861,2984,2527,7607,5439,4254,1030,10618,6474,1534,1267,11733,7423,3852,1390,6152,4535,2670,1377,4619,--,--,--,3514,--,--,--,0,0,483,459,0,0,0,
利润总额(万元),11585,2999,1430,-26647,-13373,-7306,-197,9895,9716,9496,-362,12909,19114,11211,3512,33940,26193,15539,8111,31996,22790,11962,5639,21019,14548,7518,3581,14087,10485,5269,2282,8625,6525,3327,1501,5374,3798,1773,375,3849,1264,942,
净利润(万元),11253,2662,1042,-25768,-13026,-7657,193,7584,8088,7837,101,11533,17758,11006,4017,28378,22006,12631,6424,26737,18258,9581,5249,18541,13002,6761,3381,13022,9188,4710,2056,8332,5932,2887,1276,5041,3291,1706,375,3543,1131,810,
净利润(扣除非经常性损益后)(万元),4492,1521,133,-27206,-13803,-8402,-63,-7551,-3820,-831,-1325,10438,--,10912,--,26691,--,12265,--,22330,0,8909,--,16602,--,6007,0,11642,0,4041,0,7293,0,2821,--,5034,3275,1638,--,3561,1047,808,
经营活动产生的现金流量净额(万元),188,-5583,-7529,-11248,-28126,-27663,-18042,-16037,-22348,-24826,-23049,-17636,-1890,-15692,-15708,-15778,-13271,-9186,2774,2601,-13098,-9921,-7933,-2189,-8724,-10123,-5157,474,669,-723,-3939,1272,-2845,-1353,-2094,4230,3207,1006,543,2878,1441,-571,
现金及现金等价物净增加额(万元),24867,-1704,-8427,-25023,-23779,-27001,-8617,14068,3209,-2523,-25453,-509,5559,-4071,-8567,-22019,-7496,-1184,-7097,16095,-16616,-7684,-3079,40763,40540,6380,9737,-13659,-7378,-3682,-8762,24371,22496,24926,26492,503,436,-963,-631,3074,665,139,
总资产(万元),704631,368365,348598,351568,379803,423191,457280,441448,450996,428336,422946,421403,397823,376783,364374,345051,352698,341141,294658,290916,263855,253304,238316,204452,191142,142697,127481,106055,101292,102110,80910,73044,67717,60362,58197,26093,25128,--,--,21712,13078,9818,
流动资产(万元),351000,271417,253759,254298,280802,326436,360499,345256,361780,334623,319002,318678,308501,291523,279284,263338,267431,257253,222839,217766,198265,192187,180181,152075,141444,104621,92581,76111,77639,84866,71800,65291,62146,55274,53691,21714,21964,--,--,18590,10111,7275,
