报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.39,0.51,0.15,0.68,0.49,0.36,0.17,0.52,0.38,0.25,0.13,0.42,0.25,0.18,0.07,0.4,0.33,0.23,0.32,0.56,0.4,0.3,0.11,0.31,0.2,0.12,0.06,0.28,0.28,0.19,0.13,0.63,0.47,0.22,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.71,--,2.11,2.04,2.07,2.02,1.95,2.37,4.7,4.37,3.33,3.23,3.18,3.08,2.91,2.82,2.87,2.81,2.81,2.72,4.83,4.7,4.49,4.02,3.92,4.1,3.94,3.83,3.99,3.89,3.76,3.72,3.86,3.78,3.69,3.64,2.57,2.44,0,2.03,1.83,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.15,--,0.17,0.15,0.02,0.27,0.12,0.13,0.14,0.36,0.21,0.2,0.01,0.47,0.29,0.24,-0.09,0.3,0.2,0.15,-0.01,0.44,0.28,0.16,-0.18,0.52,0,0,0,0.86,0,0,0,0.48,0,0,0,0,0,0.48,0,0,
主营业务收入(万元),374785,221139,89683,358162,257186,167943,73263,292416,209778,139112,67130,273369,187950,122341,61049,212282,155420,95270,49197,179943,130919,87862,43827,140654,95902,56795,29422,109492,79457,56949,30010,123759,91356,42251,21012,82992,56470,35060,20174,86641,60818,39384,18229,60310,42808,26486,13255,46879,12337,44081,38675,19441,
主营业务利润(万元),204398,136572,61032,243227,175249,113763,48232,194224,139373,92841,44533,178410,124269,81810,40578,136901,99200,59466,30077,108682,78113,52249,25524,78288,52684,30156,15672,56572,40659,29486,15509,66456,48157,22091,--,43486,27948,16890,10037,40875,28571,17981,8123,27549,19902,12187,6293,24341,7292,25097,23013,14016,
营业利润(万元),76858,57145,18928,80036,58351,38272,16813,48011,35664,22521,9958,37270,21423,15196,5812,33430,27398,18451,12379,18050,12362,8477,3930,10458,6673,3930,1921,4365,1315,2774,2235,12346,6815,2881,1645,4391,3077,1993,1597,5299,3297,2420,1529,3080,2571,1672,1339,4501,1610,5167,4618,4842,
投资收益(万元),20157,16426,4232,23025,12775,8946,8628,12295,11429,4169,2847,7281,2104,1280,574,9064,8300,7838,7104,1623,1190,682,278,1589,1110,599,134,-509,-562,-332,-31,3164,2300,837,214,10,-30,15,-66,-436,-174,-90,-33,-192,-55,-30,-14,118,-12,350,18,-449,
营业外收支净额(万元),2675,1848,658,5113,3611,3180,506,7311,5516,4660,3275,3751,2166,1736,822,1509,1257,812,499,4844,3812,3386,343,1753,1313,771,329,6411,--,4881,--,--,--,--,--,-109,0,0,0,-63,0,0,0,281,0,0,16,-272,0,0,0,0,
利润总额(万元),79533,58993,19586,85149,61962,41451,17320,55322,41181,27181,13232,41021,23589,16932,6634,34939,28654,19262,12878,22895,16174,11863,4273,12212,7987,4701,2250,10776,9732,7654,3143,15789,9427,4714,2234,7806,4457,2565,1924,6888,3841,2781,1765,4868,3235,2214,1640,5695,1645,6335,6271,5647,
净利润(万元),61529,43980,12520,55235,39723,28821,13850,41737,30512,20643,10440,29571,17786,12807,4649,28023,23116,16182,11390,18553,13018,9719,3452,10122,6347,3997,1951,9197,9010,6123,2404,10613,6658,3043,1579,5676,3425,1912,1343,4363,2532,1899,1213,2863,2185,1476,1203,4007,1205,4183,4233,3593,
