报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.3,0.51,0.3,1.28,1.07,0.66,0.28,1.26,0.96,1.09,0.89,
每股净资产(元),--,--,--,--,--,5.44,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.42,--,1.65,--,1.09,1.44,
主营业务收入(万元),55236,36968,15905,64485,47246,28840,13055,55828,40776,44466,39745,
主营业务利润(万元),16866,11476,4584,17767,13020,8661,3703,15326,11200,12528,11592,
营业利润(万元),10855,7159,2651,9456,7576,4597,2191,9005,6805,8195,6389,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),706,697,44,685,737,539,2,975,777,490,305,
利润总额(万元),11561,7856,2695,10141,8313,5137,2193,9980,7583,8686,6694,
净利润(万元),8795,5997,2014,7703,6398,3947,1653,7544,5784,6531,5142,
净利润(扣除非经常性损益后)(万元),8264,5454,2005,7484,6063,3878,1651,6712,5183,5589,5599,
经营活动产生的现金流量净额(万元),9617,3270,670,10244,7142,2533,2681,9885,8114,6526,8642,
现金及现金等价物净增加额(万元),10207,14648,22584,1831,722,-145,3153,177,4103,-27,1080,
总资产(万元),114858,116471,107934,80088,76446,75004,--,66092,--,52420,42635,
流动资产(万元),54316,57682,59154,33566,30843,31249,--,25626,--,21587,16870,
总负债(万元),38896,43252,35034,43705,41378,42384,--,37317,--,28078,24703,
流动负债(万元),37949,42079,33634,42078,39695,34879,--,30329,--,18186,18903,
股东权益不含少数股东权益(万元),75962,73218,72900,36383,35068,32619,--,28774,--,24342,17932,
净资产收益率加权(%),12.59,8.88,4.67,23.6,--,12.82,5.58,26.84,--,31.04,34.04,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
