报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),-0.53,-0.16,-0.04,0.01,0.02,0.02,0.02,0.02,-0.16,-0.25,-0.16,-1.46,-1.03,-0.61,-0.15,0.02,0.04,0.03,0.01,0.03,0.03,0.02,0.01,0.05,-0.11,-0.16,-0.13,0.05,0.3,0.25,0.1,0.54,0.32,0.21,0.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.84,--,2.83,--,3.38,3.81,4.26,4.41,4.44,4.44,4.42,4.41,4.4,4.39,4.38,4.37,4.21,4.15,4.18,4.31,4.55,4.5,4.44,3.71,3.47,3.36,3.38,3.16,3.1,2.99,3,2.99,3,3.06,2.98,2.87,2.8,2.74,4.2,4.02,3.85,3.71,3.55,3.4,3.48,3.36,3.27,3.2,2.42,2.2,2.02,2.21,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.45,--,0.51,--,0.43,0.21,0.27,1.84,0.71,0.64,0.41,-0.38,-0.22,-0.26,-0.33,0.19,0.03,-0.37,-0.37,0.29,0.34,0.66,0.39,0.43,0.43,0.32,0.18,0.93,0,0,0,0.31,0,0,0,0.62,0,0,0,0.92,0,0,0,0.76,0,0.31,--,0.43,0.31,1.33,--,--,
主营业务收入(万元),1667539,1117321,572618,2685176,2077963,1375904,644419,2613773,1938344,1212050,490705,2095099,1589931,1122098,605383,2976814,2583626,1723645,857936,2829673,2083280,1349183,590442,2291297,1673697,1050182,485348,3711393,3096520,2006824,881674,2567159,1731189,1045583,493339,1653688,1204173,769268,339994,1459895,1147604,807692,451265,1291802,1005379,670401,364186,929575,715582,469740,228050,671739,499244,321037,146491,594748,311819,526468,433143,414135,
主营业务利润(万元),19321,61056,40647,203313,159466,109079,55107,170209,82193,17669,-2998,-176437,-127917,-62392,-11302,187795,136974,99873,48224,174415,133594,91505,36871,152496,67532,13147,1098,188319,213027,154504,63374,205054,171622,112451,--,168720,127295,70781,20531,111920,108498,89293,51558,159141,135079,94747,52914,175515,153864,92512,42631,109115,78113,43141,15590,103173,58711,123622,83490,78840,
营业利润(万元),-127578,-39184,-10287,2743,4488,4152,3251,1084,-40481,-59488,-39698,-352745,-247617,-145821,-46965,34860,11335,8378,2849,12758,8848,6753,1312,16075,-30371,-49768,-33090,14835,96583,79478,32311,114057,96654,63644,29930,85157,64390,32708,4119,56588,66499,56783,34362,108038,91358,71091,36938,128973,94530,64529,30157,71857,48375,24669,6948,70333,36333,75930,50043,48196,
投资收益(万元),-50,--,--,-23,--,0,--,75,10,0,--,46,118,21,--,178,--,--,--,318,263,--,--,187,--,--,--,102,0,0,0,270,270,--,0,-11531,209,-3,0,-2176,3214,3214,0,-648,-1398,-1398,0,-205,-221,-221,0,717,29,29,0,449,-327,425,55,95,
营业外收支净额(万元),550,495,397,1209,955,436,101,3612,2277,-1394,74,3113,1037,630,121,2450,2163,584,226,-2272,350,315,716,-1502,-490,434,387,719,--,--,--,487,--,--,--,971,0,0,0,8126,0,0,0,29,0,0,0,-2346,-1409,0,2,-14,-16,0,0,-430,0,0,0,-508,
利润总额(万元),-127028,-38689,-9890,3952,5443,4588,3352,4696,-38205,-60882,-39624,-349631,-246580,-145191,-46844,37311,13498,8962,3075,10486,9198,7068,2028,14573,-30860,-49334,-32704,15555,96898,79645,32891,114545,96787,63758,29956,74596,65971,32781,4197,62539,70030,60174,34369,107419,90450,70178,37120,126422,92900,62804,30159,72560,48388,24693,6946,70352,35918,74140,48668,47783,
净利润(万元),-127524,-39331,-10343,2853,5313,4726,3676,5205,-37263,-59920,-39223,-349784,-246026,-144863,-35250,3786,10058,7149,2085,6944,6419,5037,1469,12741,-25665,-38186,-32199,12370,70045,57967,23514,109053,65212,43102,20026,55668,43713,21777,2442,43309,46533,38473,22980,73202,58685,45681,24257,82439,61310,41722,20273,53730,37598,21697,9757,47073,24064,49226,31460,29636,
