报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.15,0.22,0.11,0.53,0.4,0.29,0.13,0.37,0.23,0.11,0.03,0.02,0.03,-0.04,-0.04,0.07,0.11,0.13,0.1,0.43,0.32,0.24,0.21,0.29,0.18,0.02,-0.07,0.44,0.52,0.42,0.28,2.06,1.53,1.01,0.53,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.25,2.18,2.18,2.22,2.26,2.28,2.35,2.25,2.14,2.06,3.95,3.73,3.62,3.47,3.47,3.54,3.62,3.52,6.58,6.29,5.77,5.24,6.13,5.58,5.4,4.95,4.82,4.35,3.37,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.18,0.07,0.07,0.36,0.2,0.14,0.02,0.24,0.2,0.14,0.26,0.7,0.67,0.42,0.14,0.65,0.49,0.47,0.22,1.68,1.07,0.93,0.58,1.02,0,0,0.79,0.8,1.47,
主营业务收入(万元),188987,121927,51879,236154,174600,118680,53777,237244,179290,113838,48790,172731,122472,76419,34399,141413,105268,69762,39980,162785,118396,82529,41859,119588,85496,51486,19259,101568,82357,53971,26314,143351,106419,70795,33240,76303,51881,29473,54009,61970,53501,
主营业务利润(万元),53471,36394,17114,72985,52987,36228,16585,52960,35220,18565,7013,16948,10762,5506,892,20974,19814,18075,11793,51523,37751,27239,11790,22324,11788,3058,-1574,17682,18214,15777,8686,62987,47496,31246,--,12881,7861,3858,9973,21722,21971,
营业利润(万元),29766,21944,10920,46498,35170,24451,10713,30072,18743,8380,1931,-2266,-3070,-3589,-2889,4650,8985,10815,8483,35817,27351,20335,8466,10583,5882,85,-2914,7011,13038,12442,7134,54276,42196,27770,11376,8199,4910,1940,6511,18004,17419,
投资收益(万元),97,60,149,95,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,
营业外收支净额(万元),50,-31,94,943,332,447,251,1131,646,671,336,4916,5051,489,153,992,740,560,-21,1315,661,649,698,1778,1313,914,324,598,--,--,--,--,--,--,--,207,0,0,146,-51,-3,
利润总额(万元),29817,21913,11014,47441,35502,24898,10964,31203,19389,9051,2268,2650,1981,-3100,-2735,5642,9725,11374,8462,37132,28012,20985,9163,12362,7195,999,-2590,7608,13301,12446,6984,55479,42253,27797,11274,8509,5015,2040,6657,17954,17539,
净利润(万元),25375,18705,9452,41067,30169,21054,9304,27676,16751,8021,1886,1840,2009,-3072,-2736,5079,8018,9668,7192,31981,23810,17837,7789,10737,6571,849,-2590,16364,19157,15612,5243,38046,28291,18605,7539,5942,3393,1400,5008,12487,13387,
净利润(扣除非经常性损益后)(万元),25076,18518,9184,39940,29710,20525,9044,26562,16047,7352,1560,-2087,--,-3638,--,4115,--,9133,--,30796,--,17285,--,9059,--,72,0,15851,0,15571,--,36927,0,18545,--,5632,0,1300,3546,11662,13904,
经营活动产生的现金流量净额(万元),-28749,-9036,-14480,71287,30491,41622,8311,22149,23032,19392,8896,9483,13073,4995,4876,26608,14511,10275,1818,17836,14629,10075,9485,25870,24850,15555,5338,24078,18158,17278,3991,31070,19818,17132,8252,14456,7127,4182,8400,8545,15672,
现金及现金等价物净增加额(万元),-32512,-39769,-24349,43601,87001,12407,3893,1347,3749,-2070,455,3150,5359,2255,1746,-94,2359,5683,690,-1192,-935,-812,-179,1194,2289,483,1861,-5399,-5185,-5357,-2044,5518,555,-875,2514,-4292,-4638,-3456,3966,1782,472,
总资产(万元),513153,469355,460758,443268,422360,307291,282145,277736,269575,242865,244303,242557,237462,221849,221347,214272,219171,214483,198535,194460,180944,179657,175737,172481,178231,173563,169753,173193,183860,175167,178258,178573,137829,115887,112104,105236,101274,102072,97409,71793,58373,
流动资产(万元),209732,175109,157920,192256,207850,123401,123981,127660,135611,107899,106012,110836,112561,94388,94764,86169,96344,106729,96503,91626,75748,71657,64249,58039,60236,52175,45091,46469,58145,48860,56736,65049,47196,36702,35616,30643,29501,30928,31663,27495,15743,
总负债(万元),177839,140640,137103,129066,119055,103939,86851,91746,94510,76530,76720,76859,71596,61063,60225,50414,52373,46035,25179,28297,22952,27638,30073,34607,44572,45626,41563,42414,50367,45218,56833,62390,31402,19146,25008,25978,24565,49305,46042,25459,22496,
流动负债(万元),123862,89163,83286,83769,73954,61901,56044,69108,78620,75939,76129,76269,70966,60723,59885,50074,52273,45935,25079,28197,22852,27638,30073,34607,44522,45576,38513,37364,30237,25088,41703,47260,26272,19016,24853,25848,24457,44141,40961,25369,13990,
股东权益不含少数股东权益(万元),335314,328715,323655,314202,303304,203352,195294,185990,175065,166335,167584,165698,165866,160786,161122,163858,166798,168447,173356,166163,157992,152020,145663,137875,133659,127937,128190,130780,133493,129948,121425,116182,106427,96741,87095,79258,76708,52767,51367,46334,35877,
净资产收益率加权(%),7.74,5.78,2.96,17.48,14.43,10.78,4.88,15.74,9.76,4.73,1.13,1.12,1.22,-1.89,-1.68,3.07,4.8,5.69,4.24,21.08,16.07,12.2,5.49,7.99,--,0.66,0,13.29,0,12.65,--,38.78,0,20.99,--,9.64,0,2.65,10.25,29.82,45.89,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
