报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.46,0.15,0.1,0.19,0.13,0.05,0.01,0.06,0.05,-0.27,-0.17,-0.65,-0.46,-0.27,-0.08,0.02,0.08,0.01,-0.01,0.03,-0.25,-0.14,-0.05,-0.65,-0.31,-0.24,-0.14,0.11,0.25,0.22,0.08,0.19,0.14,0.1,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.48,--,2.84,3.03,3.22,3.3,3.35,3.28,3.26,3.27,3.01,3.1,3.19,3.24,3.54,3.61,3.34,3.48,3.63,3.6,3.48,3.46,3.4,3.36,3.28,3.16,3.15,3.13,3.07,3.03,3.05,3.03,3,2.96,2.94,2.92,3.02,2.98,2.94,2.92,2.87,2.83,2.96,2.91,2.86,2.83,3.05,3.01,2.93,3.03,2.64,2.3,2.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.06,--,-0.07,-0.1,0,0.25,-0.1,-0.09,-0.08,-0.26,-0.47,-0.41,-0.26,0.63,0.36,0.39,0.22,1.15,0.61,0.35,0.13,0.37,0.29,0.21,0.07,0.75,0,--,0,0.43,0,0,0,0.45,0,0,0,0.37,0,0,0,0.35,0,0.01,--,0.39,--,0.16,0.44,0.11,0.38,--,--,
主营业务收入(万元),104915,90185,45295,183337,136750,90272,45147,181622,137107,96639,52456,191916,152229,109356,54565,231549,180556,122184,66730,216858,149012,98281,50722,165944,119299,82088,40865,219481,182704,125618,61000,194650,140887,98268,47964,152522,97772,66115,33730,136424,103345,71493,35429,117058,83343,54769,25203,94664,73481,49406,23414,95977,71575,48512,22700,93612,73024,51066,78792,39175,61322,51739,55100,
主营业务利润(万元),36779,21927,10554,36046,27944,18053,8492,17177,9646,6581,2318,6417,8816,8701,4687,29712,24983,14642,4950,20876,10118,7481,4523,232,2827,2548,987,32296,34539,27651,13087,36544,28113,20131,9689,28240,15984,10146,5018,22871,16445,11470,6148,18470,13912,9675,5601,19310,15024,10299,5115,20770,15583,10285,4508,21161,16647,11597,17740,8046,12898,9457,14067,
营业利润(万元),10919,4947,1526,2482,4308,3363,610,-12214,-12736,-8368,-5928,-24132,-16050,-8397,-2733,2116,3659,1245,189,4123,-7301,-3760,-1009,-30254,-12451,-7381,-4557,4582,10485,9187,3179,9977,6560,4959,1855,5665,3539,2455,1276,4577,3222,2451,1885,2948,2732,2193,1562,5168,4316,3133,1627,6543,5023,3160,1069,7890,6234,4325,7433,3835,6243,4767,4772,
投资收益(万元),3,112,--,242,328,247,0,414,197,197,53,482,64,64,68,3308,2960,2960,2769,6850,342,314,21,670,552,544,102,307,154,154,34,334,536,536,89,90,296,296,0,-253,477,477,12,1051,708,509,0,400,30,0,0,86,116,116,116,266,146,74,262,0,3,21,16,
营业外收支净额(万元),1872,3214,2478,6194,1450,-281,89,14920,16202,-610,72,-8014,-1676,-1930,76,619,658,-9,-7,368,115,14,-12,2754,3014,183,34,-197,--,-339,--,--,--,-13,--,-93,0,--,0,-371,0,0,0,-67,0,0,0,-85,-79,-58,-20,-91,-12,-6,0,144,0,0,19,0,-38,-12,-186,
利润总额(万元),12791,8161,4004,8676,5759,3082,699,2706,3466,-8978,-5856,-32146,-17727,-10327,-2657,2736,4317,1236,182,4490,-7187,-3746,-1021,-27501,-9437,-7199,-4523,4385,10391,8847,3082,9728,6589,4946,1855,5670,3769,2725,1266,4433,3929,3078,2015,4170,3387,2651,1562,5483,4300,3075,1607,6821,5264,3271,1181,8300,5760,3761,7714,4030,7373,5716,5394,
净利润(万元),12787,5842,3843,7679,4948,2093,331,2429,1784,-10662,-6675,-25529,-18097,-10842,-3253,856,3147,439,-284,1142,-9755,-5450,-1785,-22353,-9863,-7065,-4187,3109,7441,6510,2326,5509,4051,3037,1175,3440,2604,1905,848,2518,2789,2219,1354,3058,2503,1944,1047,3903,3253,2432,1077,4864,3631,2297,791,6795,3562,2223,6476,2700,5237,4183,3422,
净利润(扣除非经常性损益后)(万元),12234,3187,2095,684,3569,2293,346,-9120,-10581,-10213,--,-21081,--,-10025,--,-1213,--,759,--,-4628,--,-5458,--,-24326,--,-7182,0,3262,0,6765,--,5458,0,3046,--,3466,0,1922,0,2784,0,2200,0,3088,0,1978,0,3987,0,2471,0,4221,3368,2120,--,5222,--,2035,5122,2569,4110,--,--,
经营活动产生的现金流量净额(万元),3399,-14135,-3681,14825,7849,78,-2873,33139,18409,-4360,-2358,4097,-2960,-3821,59,9968,-4014,-3434,-3282,-10264,-18472,-16358,-10468,24946,14235,15588,6574,34029,18128,10416,3733,11034,8455,6133,2182,22097,10073,4806,3570,12592,8974,3971,3183,13168,5884,3935,2907,10933,9779,6538,-2016,10236,0,416,--,11523,--,4780,12954,3382,7850,--,--,
