报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.27,0.1,-0.01,0.12,0.09,-0,-0.04,0.01,0.07,0.04,-0.02,-0.08,0.13,0.05,0,0.15,0.12,0.06,0,0.14,0.08,0.04,-0.01,0.17,0.13,0.04,0,0.02,0.03,0.02,0,0.24,0.07,0.04,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.28,--,--,--,2.04,--,1.91,--,2.01,--,1.92,--,2.22,2.14,2.09,2.09,2.06,2,1.94,1.94,1.9,1.86,2.18,2.19,2.12,2.04,2.02,2.02,2.02,2.01,4.02,4.01,3.85,2.65,2.63,2.59,2.49,2.49,2.48,2.45,2.33,2.32,2.29,2.27,2.18,2.31,2.28,2.27,2.15,2.13,2.11,2.1,2.22,2.14,2.09,3.74,3.65,1.61,0.26,--,--,
每股经营活动产生的现金流量净额(元),0.12,--,--,--,0.06,--,-0.27,--,0.18,--,-0.3,--,-0.1,-0.03,-0.16,0.35,0.05,-0.04,-0.17,0.26,0.21,-0.02,-0.14,0.32,0.05,0.05,-0.19,-0.05,-0.17,-0.22,-0.33,0.05,-0.2,-0.44,-0.32,0.1,0,0,0,0.11,0,0,0,-0.13,0,0,0,-0.31,0,0,0,0.29,0,-0.53,--,0.38,-0.3,0.87,0,--,--,
主营业务收入(万元),162898,89778,15627,141583,101340,48088,5027,174537,103345,64015,16863,164026,117833,69226,18800,131950,89702,50055,13057,113087,68753,38066,8600,104077,75018,38115,11603,61972,41151,21986,9268,68083,23611,13832,8877,48907,20180,12653,7256,38773,18019,10232,3939,34828,18248,10016,3833,34690,18151,10576,3129,50902,32069,18815,5839,34257,13642,25508,21243,18760,17519,
主营业务利润(万元),36587,18068,4032,34308,21850,9362,-263,23316,18630,10691,961,14495,18481,9348,1590,23926,16641,8961,1971,19111,12303,6863,636,20591,14358,6416,1319,8555,6227,3868,1374,8366,3217,1857,--,3865,2279,1797,1038,5477,2792,1715,721,5443,2584,1660,755,5114,2674,1708,662,7367,4754,2602,919,6166,1868,3878,4181,4214,4259,
营业利润(万元),22998,9848,334,14706,12150,2675,-2518,5555,9802,4995,-1403,-1,11619,4786,206,13892,10847,5268,211,10555,7118,3456,-623,12447,9112,3371,-32,877,1343,676,-4,1967,1531,777,444,791,352,547,572,3001,647,424,75,2239,483,388,59,2823,907,511,47,3655,2636,1172,358,3532,644,1491,1965,1838,1690,
投资收益(万元),566,566,-3,14,328,-69,-3,224,22,27,-2,-149,-75,-70,-5,-182,-13,-10,-3,-107,-8,-5,-3,55,-7,-5,0,-37,-2,-2,--,-62,733,385,-0,687,560,290,143,667,637,503,171,735,808,540,179,793,513,414,217,448,475,177,17,-188,106,128,-21,53,16,
营业外收支净额(万元),-95,-93,-20,-32,-106,-50,-29,227,619,702,269,378,453,-178,-55,-76,-49,-39,-12,1583,-120,-5,-7,-399,-465,-235,152,548,--,-82,--,5711,--,--,--,-53,0,0,0,-17,0,0,0,-103,0,0,0,3,0,0,0,-573,-134,-132,0,-641,137,-465,0,3,37,
利润总额(万元),22903,9754,314,14675,12044,2625,-2547,5782,10421,5697,-1134,377,12072,4609,151,13816,10798,5229,198,12138,6998,3451,-630,12048,8647,3137,119,1425,1462,594,-31,7678,1518,775,444,1424,874,819,696,3652,1273,916,246,3122,1335,929,266,4064,1401,908,264,3530,2977,1217,276,2704,887,1154,1885,1895,1743,
净利润(万元),14788,5730,-352,6371,5101,-110,-2060,487,3953,2377,-1101,-4228,7294,2745,99,8370,6604,3207,156,7462,4233,2055,-456,7764,5926,1977,129,810,854,411,111,4733,1381,686,399,1686,709,660,553,3188,1075,795,205,2854,1143,834,221,3030,992,630,238,3009,2444,974,235,2374,796,1061,1581,1343,1175,
净利润(扣除非经常性损益后)(万元),14939,5750,-338,6385,5234,-50,-2039,451,3633,1997,--,-4313,--,2778,--,8167,--,3119,106,6264,--,1938,--,7366,--,1812,0,312,0,414,--,-3613,0,567,--,1416,0,463,0,2911,0,805,0,2686,0,867,0,2617,0,650,0,3254,2578,1106,--,3137,638,1528,0,--,--,
经营活动产生的现金流量净额(万元),6399,1331,-5583,15626,3083,-6159,-14554,19836,9757,2155,-16628,1674,-5428,-1491,-8820,19279,2832,-2398,-9233,14113,11545,-910,-6562,14453,2088,2458,-8820,-2075,-7920,-10162,-7508,1235,-4578,-7243,-5809,1802,9,-1728,-2609,1968,-5798,-6041,-7057,-2353,-5219,-4879,-5804,-5573,-12603,-12893,-9008,5195,0,-9600,--,3817,-2948,5219,0,--,--,
现金及现金等价物净增加额(万元),27014,19516,7066,-3877,-6958,7245,-3490,-25258,-20279,-4104,-18769,8961,-4719,-3905,-14957,16120,6297,-12901,-9316,6198,5023,-5015,-7681,2394,-7506,-4355,-10643,-8779,-15976,-14809,-5137,13294,118,-6194,-7997,-113,-2915,-3037,-3273,-70,-4217,-3620,-4309,-3775,-5702,-3861,-5777,-14254,-20304,-17398,-11021,-5889,0,-16660,--,29586,21766,2918,0,--,--,
总资产(万元),411578,382262,327951,317065,296263,300557,293052,291716,288033,279446,264113,271557,261350,246652,227660,233030,231881,206805,204522,215056,205841,203998,202534,205030,213366,203880,195577,197682,190030,191412,196086,196360,138571,94500,93898,98516,83241,84890,82133,79439,83471,83231,79928,76248,67687,64233,63146,62782,64970,64147,65189,70316,49300,49193,51013,56430,50502,26994,20839,19669,18817,
流动资产(万元),234689,199689,152536,142805,154349,155430,156122,153612,187819,181756,171414,176961,173851,158136,138826,142603,146164,119848,115704,124373,114278,110752,107647,108415,116724,108322,99344,100252,95402,99552,108700,118244,69682,61454,57958,62491,49721,52808,49888,47042,52353,51889,47077,43138,34519,33400,34175,33579,37339,37859,--,--,--,--,39222,0,0,17500,13079,13020,--,
总负债(万元),252657,235622,184518,173665,154967,165763,162220,158347,143800,138754,130336,136928,109086,100714,88632,92527,94314,73954,75888,86559,81698,82857,82020,83536,92605,88527,80566,82750,74486,76569,81707,82048,48178,44608,46019,51463,37518,39219,36581,34501,39020,39075,36378,32914,26090,20267,19587,19463,23796,23402,24917,30294,9408,10770,13329,18981,13936,17182,11994,12116,--,
流动负债(万元),205114,191879,174947,164094,121145,134937,130190,134316,107218,122165,117988,124580,87060,71703,58584,70479,78314,69954,58688,69359,55298,56457,56820,58336,73598,69509,53566,60750,37486,44569,53707,54048,40178,36608,38019,43463,34518,36219,33581,31501,35020,35075,35378,31914,25090,20267,19587,19463,21796,21402,--,--,--,--,7529,0,0,14382,11634,11386,--,
股东权益不含少数股东权益(万元),124729,115650,112234,112567,111824,106640,104631,106691,110156,108581,105063,106164,121697,117147,114516,114385,112584,109187,106137,105981,103874,101696,99185,99641,96860,92912,92021,91893,92315,91872,91549,91461,87841,47618,47393,46536,44840,44791,44684,44131,42018,41738,41148,40942,39232,41623,41009,40788,38750,38388,37996,37758,39893,38423,37684,37449,36467,9663,8602,7330,7044,
净资产收益率加权(%),12.46,5.02,-0.31,5.8,4.67,-0.1,-1.95,0.46,3.65,2.21,-1.04,-3.91,6.18,2.37,0.09,7.6,6.04,2.98,0.15,7.22,4.16,2.04,-0.46,8.11,--,2.14,0,0.89,0,0.45,--,7.51,0,1.45,--,3.72,0,1.48,0,7.5,0,1.92,0,7.02,0,2.02,0,7.46,0,1.64,0,7.73,6.32,2.57,--,6.82,2.53,11.62,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
