报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.03,-0.02,-0.01,0.16,0.11,-0.01,-0,0.28,0.32,0,-0,-0.12,-0.03,-0.02,-0.01,0.33,0.35,0.03,0.02,0.03,0.05,0.06,-0.16,0.82,0.52,0.3,0.04,0.01,0.01,0.01,0,0.11,0.02,0.02,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.13,--,2.22,2.23,2.24,2.25,2.27,1.94,1.94,1.92,1.93,3.82,3.6,3.76,3.46,3.24,2.98,2.95,2.95,2.95,2.95,2.94,1.05,1.04,1.03,1,0.98,0.96,0.94,0.93,0.18,0.2,0.88,0.22,0.18,0.19,0.22,0.29,-0.15,-0.09,-0.06,-0.03,2.03,2.11,2.29,2.3,2.47,3.08,2.97,2.88,3.63,3.5,3.23,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.03,--,-0.5,-0.34,-0.23,-0.57,-0.23,-0.05,0,0.29,0.37,0.65,0.14,1.96,1.51,1.33,0.25,-1.64,-0.79,-0.92,-0.76,-2.69,-2.03,-0.81,-0.06,0.06,0,--,0,0.05,0,0,0,-0.12,0,0,0,0.13,0,0,0,-0.08,0,-0.11,--,-0.44,-0.08,-0.15,0.02,0.35,--,-0.71,--,--,--,--,
主营业务收入(万元),38757,19053,2880,121745,64125,20056,7367,67666,36536,11715,5164,28530,10251,6710,717,33672,22950,20847,15659,82447,78040,67527,31822,174820,117381,68287,13274,13721,12908,11160,5800,32594,15522,10622,6090,46474,33969,24031,10847,27800,0,0,0,598,597,548,145,1569,3334,3033,2832,8115,6790,3286,2241,20345,9929,26546,12304,28686,15626,32322,14404,30346,27304,22353,
主营业务利润(万元),6969,1190,623,15273,15512,1764,1181,8574,10400,2859,1659,2744,1918,936,130,7738,7066,6460,4281,30154,28525,25978,12479,51868,32573,18350,2898,3817,3790,2926,1299,8301,2867,2307,1564,8989,6479,4707,2083,4517,0,0,0,-378,-244,-205,-52,-1133,608,699,131,-1488,-486,-676,91,5629,2898,8036,4248,10123,5187,11443,5439,8197,7932,6344,
营业利润(万元),3315,-1615,-1188,17410,12529,-500,28,2262,5807,-366,-261,-13017,-2540,-2337,-1027,36955,39511,3992,2811,24187,25312,23349,10872,44762,28036,16423,1982,333,690,634,196,5656,1135,956,430,4468,2927,2079,749,2099,-1683,-1131,-521,-5746,-2393,-2287,-1279,-1939,-3507,-1834,-983,-68541,-8235,-6014,-510,-4968,30,2112,1829,6450,2482,7485,3096,8217,7962,6390,
投资收益(万元),1372,908,657,1583,1216,975,651,504,--,--,--,135,133,133,141,36224,36138,15,15,-15,-11,-10,-8,--,--,0,--,--,--,--,--,0,--,0,0,-736,-552,-368,-184,299,341,566,0,--,0,0,0,0,0,0,-4,-289,-13,-8,0,-7,0,0,0,0,0,0,0,--,0,1,
营业外收支净额(万元),-9,-78,18,116,56,18,10,29047,28945,643,6,70,35,28,8,8,9,-2,-3,-19963,-19933,-19931,-19931,529,521,-6,4,-41,--,-44,--,--,--,--,16,4,0,--,0,-70,0,0,0,-3567,0,0,0,-343,0,0,-12,-212,-17,-11,0,-16,0,849,0,299,0,0,0,-45,-32,-13,
利润总额(万元),3306,-1692,-1170,17526,12585,-482,39,31309,34752,277,-255,-12947,-2505,-2310,-1019,36964,39520,3990,2808,4224,5378,3417,-9059,45291,28557,16417,1986,293,647,590,196,5673,1153,974,447,3735,2375,1712,565,2328,-1341,-565,-521,-9313,-3288,-3186,-2165,18,-3662,-1950,-998,-69041,-8265,-6034,-515,-2891,1220,5262,2083,7400,2469,8115,3088,8173,7930,6379,
净利润(万元),2258,-1644,-1150,13118,9197,-610,-235,22925,26882,310,-271,-9743,-2198,-1886,-992,27693,28890,2294,1646,2871,3887,2463,-6824,33888,21385,12286,1493,236,272,338,83,3535,677,544,238,2260,1387,946,305,1134,-1341,-565,-521,-8988,-3013,-2951,-1943,2115,-3062,-1950,-998,-68120,-8220,-6024,-513,-3844,1042,4372,1770,6290,2099,6873,2616,6947,6741,5422,
