报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.2,0.12,0.03,0.22,0.07,0.06,0.02,--,0.06,0.04,0.02,0.4,0.14,0.09,0.02,0.35,0.06,0.04,0.02,0.18,0.06,0.03,0.01,0.17,0.06,0.03,0.01,0.15,0.06,0.03,0.02,0.26,0.12,0.2,0.13,0.1,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.92,3.25,3.22,3.2,2.85,2.82,2.79,2.77,2.6,2.57,2.59,2.58,2.45,2.41,2.42,2.41,2.31,2.28,2.29,1.26,1.12,1,1.03,0.9,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,5.39,6.87,0.46,-1.15,3.03,3.31,3.73,-2.55,-2.27,-0.08,0.21,-2.06,-0.82,-0.97,-0.63,0.6,-0.09,-0.41,-0.41,1.06,0.32,0.85,0.82,-0.49,
主营业务收入(万元),1087934,739958,271057,1331426,852295,604006,256952,939755,515208,288410,138321,545072,353239,238375,107532,348044,258068,146704,64909,226024,101805,74273,44922,237975,151776,80092,26726,165301,96876,42629,22053,131017,81886,136265,122895,95203,
主营业务利润(万元),53705,20923,5612,61186,27294,17643,8451,33362,18324,12598,5596,32531,17171,11154,4952,22926,7517,6270,3354,12260,3382,3610,2901,9563,4671,3080,1567,6253,2650,1216,643,6367,3545,5201,3469,3170,
营业利润(万元),21959,15555,5896,18226,5858,4086,1794,15347,4222,3094,777,9560,4139,2577,710,8234,1763,1155,468,4585,1570,804,584,2565,418,568,289,3678,1453,547,409,4660,2092,3380,2146,1613,
投资收益(万元),65,59,--,1873,516,560,361,4229,1,74,123,831,754,646,-0,-559,-396,--,--,65,60,0,0,-265,-1,-1,-1,28,--,--,--,--,--,0,--,--,
营业外收支净额(万元),675,183,-90,-7,93,26,35,201,241,231,64,2250,205,163,104,2474,38,7,11,788,321,321,48,1532,1074,80,12,209,--,--,--,0,--,0,13,10,
利润总额(万元),22634,15738,5807,18219,5951,4112,1829,15549,4463,3325,841,11810,4343,2741,813,10708,1801,1162,479,5373,1891,1125,632,4097,1492,648,301,3887,1481,538,405,4660,2089,3396,2159,1623,
净利润(万元),13919,7970,2076,13747,4563,3707,1072,12504,3429,2454,599,9180,3066,2104,470,7893,1279,858,357,4061,1250,589,300,3842,1309,557,279,3265,1252,513,381,4308,1960,3394,2159,1623,
净利润(扣除非经常性损益后)(万元),13413,7832,2150,12252,4528,3694,1046,--,3251,2282,554,7435,--,1982,--,6012,--,853,--,3573,--,363,--,2501,--,485,0,3079,0,521,--,4307,1963,2719,1619,1359,
经营活动产生的现金流量净额(万元),-18327,-45703,-94374,-35959,-66681,-60420,98245,101518,7273,39560,51422,46994,121221,154395,10336,-25948,68209,74518,82809,-56540,-50302,-1706,4661,-45300,-18286,-21601,-14025,13295,-2106,-9113,-9127,17550,5374,14063,13596,-8063,
现金及现金等价物净增加额(万元),76532,-21869,15333,20903,108593,115686,19990,59368,21298,2435,43163,44155,-22782,1629,-32236,71662,24342,50991,59126,-17167,8550,12499,-1858,1759,8647,-9271,-9121,18687,17342,18164,21388,9958,2579,568,237,716,
总资产(万元),1553390,1387595,1375747,1129914,1168181,1053530,826951,769647,631242,579741,504948,486117,430015,320903,370855,385506,362881,295604,191149,200084,226331,163009,132996,143074,138872,116051,121417,122768,116301,100053,101863,77518,55129,62074,66936,55036,
流动资产(万元),813236,717202,832463,604888,688621,653738,487499,477716,401673,392301,335155,329178,277698,222760,275507,305160,289545,225836,123535,135178,163485,102709,74499,98027,94738,71173,77800,79987,80794,67454,73385,50861,31215,41812,44669,30580,
总负债(万元),1259448,1098517,1040991,796821,845511,732180,626801,570286,443275,414700,340834,322766,349759,233040,283660,298758,297529,231055,128913,138190,168162,105502,75047,85286,83533,61263,66097,67591,63385,48407,49938,55543,35536,45434,49783,40036,
流动负债(万元),841548,833222,754324,542354,597805,569193,491829,469036,381261,411746,334290,316222,317308,225439,276204,292505,292778,228522,125500,134777,164004,101344,75047,85286,83520,61263,66084,65591,59340,44397,43938,49543,33536,45434,49783,40036,
股东权益不含少数股东权益(万元),292785,287919,290049,288087,277440,276157,154894,154123,142924,141989,140693,139935,65779,73156,72452,72068,64131,63422,61838,61482,57732,57071,57515,57342,54406,53508,53674,53395,51382,50634,50910,20948,18600,16640,17153,15000,
净资产收益率加权(%),4.79,2.76,0.72,6.22,2.33,2.39,0.69,--,2.42,1.74,0.43,10.31,4.36,2.88,0.65,11.81,2.04,1.37,0.58,6.83,2.17,1,0.52,6.97,--,1.04,0,6.91,0,1.26,--,22.92,11.12,18.01,13.42,11.44,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
