报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2001-12-31,2001-06-30,2000-12-31,1999-12-31,
基本每股收益(元),0.06,0.03,0.01,0.12,-0.05,-0.08,-0.06,0.03,0.06,0.07,0.02,0.14,0.1,0.09,0.02,0.12,0.1,0.08,0.03,0.12,0.12,0.1,0.05,0.3,0.23,0.17,0.06,0.31,0.19,0.13,0.08,0.29,0.25,0.15,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.36,--,4.3,4.34,3.82,3.81,3.77,3.8,3.75,3.72,3.72,3.7,4.47,4.42,4.35,3.45,3.39,3.33,3.21,3.15,4.71,4.63,4.45,4.41,4.3,4.25,4.1,4.1,3.12,3.06,2.2,2.16,2.16,2.11,1.97,1.92,2.84,2.77,2.63,2.56,2.51,2.48,2.5,2.47,1.47,0,1.23,1.08,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.17,--,-0.19,-0.04,-0.18,-0.52,-1.07,-1.08,-0.78,0.39,-0.02,-0.21,-0.35,0.12,-0.43,-0.59,-0.53,0.5,-0.37,-0.4,-0.51,0.69,-0.45,-0.69,-0.55,0.19,0,0,0,0.36,0,0,0,0.01,0,0,0,0.69,0,0,0,0.04,0,-0.05,0.15,0.09,0,0,
主营业务收入(万元),166127,100510,46052,292071,145191,91312,40588,250149,142498,96945,38545,247808,177205,110345,44739,296683,171811,109381,43210,297244,156673,102502,40034,238928,146952,96279,38973,227979,132918,87002,38781,199974,115786,67639,16687,109655,64927,38362,14863,82411,50292,32152,12519,75560,50783,32594,11263,49494,31499,17503,6982,38193,25686,15242,33041,14169,23663,14190,
主营业务利润(万元),27221,16708,8647,48100,24802,13452,6404,40909,26029,18460,7781,42648,32027,20338,10068,47955,31444,21495,9657,49444,28410,20197,9117,45533,29170,20605,8891,46143,26099,18732,9140,35966,22314,14146,--,20698,12551,7861,3968,16749,10003,6724,3312,14675,10145,6673,2945,10066,6060,3598,1453,7062,4407,2734,5368,2288,3649,1993,
营业利润(万元),2727,445,-277,6241,-3534,-5267,-2730,2402,3298,3589,1887,8796,6407,4976,885,5359,6407,4536,1384,9148,5903,4588,1475,11000,7915,5460,1456,9324,5529,3617,1183,10175,5362,2996,920,7094,3515,2061,1528,5879,3066,2142,1464,5573,3463,2438,1095,3949,1912,817,343,2603,1559,907,2340,1037,1586,628,
投资收益(万元),788,-85,-307,1990,-518,-3,-169,4208,2440,2421,2472,6451,1854,704,17,3005,312,323,-5,949,645,-145,-40,175,-15,-21,-38,-1256,-826,-490,-204,-461,-330,-196,-506,710,596,517,-105,584,331,184,-229,664,226,4,0,250,158,158,2,141,131,131,57,0,31,-15,
营业外收支净额(万元),1657,1230,673,3156,1842,1540,105,1255,970,715,-2,-24,378,135,39,2529,504,260,54,-13,957,1136,688,1653,1188,503,1,1385,--,579,--,649,--,--,--,126,0,0,0,-44,0,0,0,214,0,0,0,-213,-15,-8,4,0,-27,-25,0,0,0,0,
利润总额(万元),4384,1675,397,9396,-1692,-3726,-2624,3657,4267,4304,1886,8772,6784,5111,924,7888,6911,4796,1439,9135,6860,5724,2163,12653,9103,5964,1458,10709,6460,4196,1323,10824,5544,3172,1088,7930,4090,2563,1434,6420,3394,2344,1249,6461,3670,2424,1093,4174,2244,1155,349,2864,1662,1013,2432,1088,1619,751,
净利润(万元),3017,1341,336,5860,-2649,-3887,-2777,1467,2999,3315,1089,6948,4882,4321,798,5398,4737,3672,1150,5422,5419,4640,1757,9829,7265,4998,1653,9149,5584,3805,1491,8419,4942,2855,806,6183,3460,2123,1135,5125,2904,1974,1019,5663,3117,2026,937,3807,2003,1066,355,2471,1408,918,2218,921,1348,749,
净利润(扣除非经常性损益后)(万元),2374,986,94,3857,-3654,-4651,-2863,-390,1296,1609,--,3885,--,3879,--,3136,--,3502,--,7547,--,3765,--,8613,--,4662,0,8299,0,3313,0,7262,0,2980,--,5792,0,2051,0,4805,0,1805,0,5379,0,2038,0,3642,0,819,0,2137,1431,943,0,871,0,0,
经营活动产生的现金流量净额(万元),-47387,-37492,-23467,18315,-49982,-42702,-36691,20962,-34848,-24562,-8347,50493,-9663,-1893,-7972,-23881,-48674,-48956,-35722,17924,-960,-9644,-13219,4659,-16310,-17485,-15598,14716,-10798,-11874,-9961,13606,-8858,-13530,-3507,3698,-6487,-6197,411,5602,-4214,-3733,-3386,131,-8268,529,-4805,9129,2010,-205,-3178,493,0,-705,1374,0,0,0,
现金及现金等价物净增加额(万元),-48889,-51424,-39360,21075,-32980,-17533,-39916,-31644,-60788,-57252,-16268,38079,-33282,-30394,-16277,-30943,-51110,-40128,-34414,4800,32592,-24162,-19994,43279,35342,-10048,-18979,-2871,-20238,-12927,-17001,11631,-4278,-8629,-8131,11068,4278,23657,-3745,5130,-1486,-1425,-2033,-3168,1165,829,-1053,2834,-1616,-3128,-931,6905,0,18066,1440,958,0,0,
总资产(万元),652326,572007,563573,582152,609053,625607,601865,634413,594359,566511,589099,594035,560852,562164,487945,486519,517786,516382,476567,485296,503080,431056,413808,422256,413195,361035,325308,334180,315235,321248,302663,309533,273849,256178,188283,182776,171065,179577,135572,138240,130227,121785,110355,110011,112755,102345,90470,76163,72294,68967,65253,64639,61021,63508,34731,0,25388,23823,
流动资产(万元),356416,304589,301057,319933,286199,291818,263985,303380,282320,263466,295329,316042,283035,293386,256237,275492,314075,315877,312438,326548,353128,283650,279677,291014,282587,235151,199030,207937,194727,201040,179420,190380,174770,161757,104506,99536,89182,108862,70844,72925,71659,65530,55075,55144,65562,56579,50655,42928,45357,42177,--,0,--,--,20134,0,16181,0,
总负债(万元),338647,347703,337160,355762,391629,408224,383349,413087,371232,339759,364490,369509,324031,323461,292698,291896,302873,301529,264945,274706,294295,227705,208391,219221,217057,228416,195104,204975,189900,197808,179790,187541,155759,138919,97143,92768,84407,95724,85515,89334,83575,76132,65097,65768,71200,61931,49580,36817,34813,32484,28684,28910,25325,29419,20942,0,13818,13374,
流动负债(万元),316555,325357,310344,320664,254837,258118,229411,264092,221397,191411,219699,224229,246550,245412,181563,185485,197748,194718,160981,172575,192011,198265,182897,195722,191329,205654,178238,187825,166511,174893,159559,167618,144790,130470,88004,83662,69300,79859,68666,72540,68430,65913,54871,55520,59451,55255,46029,35996,29373,27054,--,0,--,--,16568,0,10684,0,
股东权益不含少数股东权益(万元),302709,216971,219004,218668,209824,209587,210697,213474,215006,220324,218099,218211,215036,217173,174071,173272,171765,172977,170635,169485,169417,168556,169467,167711,165150,101671,99798,98145,94580,92802,92451,90960,87457,86549,84418,83374,80568,80409,47089,45953,43942,43012,43055,42036,39315,38224,37801,36863,35060,34122,33412,33057,33324,32834,13707,0,11489,10070,
净资产收益率加权(%),1.27,0.61,0.15,2.71,-1.25,-1.84,-1.31,0.68,1.37,1.51,0.5,3.87,2.78,2.81,0.46,3.15,2.77,2.14,0.68,3.22,3.21,2.74,1.04,8.01,--,4.98,0,9.69,0,4.11,0,9.27,0,3.3,--,9.57,0,4.52,0,11.66,0,4.6,0,14.41,0,5.36,0,10.75,0,3.17,0,10.28,0,0,17.6,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
