报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
基本每股收益(元),0.3,0.41,0.18,0.62,0.46,0.32,0.14,0.52,0.38,0.26,0.12,1.01,0.73,0.47,0.2,0.84,0.64,0.42,0.24,1.1,0.82,0.54,0.28,1.67,1.23,0.79,1.24,0.84,0.7,0.96,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,8.54,8.27,8.41,8.21,8.01,7.79,11.8,11.56,11.28,11,16.47,16.19,3.7,--,--,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.5,0.26,0.24,0.39,0.39,0.25,0.32,0.76,0.62,0.24,0.25,1.26,1.25,0.56,1.21,0,0.82,0.45,
主营业务收入(万元),114192,75302,32600,130852,95611,62818,26791,109003,81177,52786,24133,88643,64981,41635,19416,75064,55596,35975,16619,64071,47465,30892,14191,55160,40920,26775,48431,35119,40440,32690,
主营业务利润(万元),70640,46055,19966,77703,56967,37129,16014,62639,47113,31058,13920,53898,39683,25685,11977,46958,34798,22408,10140,40044,29644,19484,9101,33487,24785,16040,25303,17894,18645,13469,
营业利润(万元),25179,16798,6936,24080,19211,13335,5839,20930,16209,11168,5266,20025,15427,9885,4262,16878,12913,8333,3426,14423,10991,7141,2609,10866,8065,5386,8032,5941,5665,3640,
投资收益(万元),1407,954,390,2811,2043,1066,0,1117,37,0,0,0,0,0,--,--,--,--,--,--,--,--,--,0,--,0,3,2,--,--,
营业外收支净额(万元),211,206,849,746,112,77,50,868,7,-46,32,1256,200,55,16,638,660,680,14,892,613,509,24,608,369,-25,513,--,-479,8,
利润总额(万元),25390,17003,7785,24826,19322,13412,5890,21798,16216,11121,5298,21281,15628,9941,4278,17515,13573,9013,3440,15315,11604,7650,2633,11475,8434,5361,8545,6277,5186,3648,
净利润(万元),22021,14898,6488,22456,16876,11690,5123,18770,13743,9334,4491,18151,13210,8395,3645,15054,11462,7594,2929,13151,9810,6445,2239,10035,7359,4753,7438,5036,4227,3188,
净利润(扣除非经常性损益后)(万元),21847,14725,6156,21878,16801,11644,5090,17982,13738,9373,4464,17083,--,8348,--,14511,--,7016,--,12393,--,6012,--,9519,7045,4775,6935,0,3583,1651,
经营活动产生的现金流量净额(万元),28268,12759,2895,10060,2726,880,5500,11095,4198,2280,2152,14238,8978,4707,4295,7056,7052,4565,3899,9172,7383,2899,1984,10089,7524,3354,7286,5149,4935,1791,
现金及现金等价物净增加额(万元),-17702,-5045,30872,-9056,-9994,14632,-892,-57964,-65169,-49268,-8904,1183,-1303,-3823,3338,-15849,-15824,-14547,2447,-5526,-5055,-8434,-3063,105926,-205,-52,446,-2168,-452,667,
总资产(万元),312542,322728,234232,230637,220250,214972,201853,198099,179212,174096,169991,173712,164986,159896,161682,156973,152146,151252,151788,148219,143039,139517,139839,140360,34586,34753,31492,0,29774,29165,
流动资产(万元),109424,120964,150194,146320,140057,145553,139385,136460,134058,130354,128078,132153,126182,121685,123849,119256,115714,116860,129708,127170,123827,121163,122902,124464,18155,19268,15906,--,16682,17388,
总负债(万元),107254,121461,36932,40763,27545,29041,22577,23804,15799,15092,15830,15041,11257,10981,10318,9254,8019,10992,10194,9553,7715,7558,8085,10846,12388,15160,14253,--,16717,15293,
流动负债(万元),100995,115158,32696,36492,23244,24712,17631,18889,10665,11358,12094,10978,10222,10097,9494,8550,7295,10378,9563,9008,7249,7016,7148,10307,11967,14872,14086,--,16606,15278,
股东权益不含少数股东权益(万元),199786,195698,192611,184878,187550,180511,173564,168441,163414,159004,154161,158671,153729,148915,151364,147719,144127,140260,141594,138666,135324,131960,131754,129515,22198,19593,17240,0,11901,12890,
净资产收益率加权(%),11.39,7.82,3.43,12.81,9.53,6.7,3,11.69,8.67,5.93,2.84,11.94,8.79,5.61,2.44,10.59,8.13,5.41,2.09,9.86,7.42,4.9,1.71,49.06,--,25.81,52.96,0,28.72,26.1,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
