报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.14,0.28,0.46,0.36,0.28,0.64,0.62,0.57,
每股净资产(元),2.32,5.66,5.18,--,--,4.72,4.29,3.67,
每股经营活动产生的现金流量净额(元),0.32,0.4,1.3,--,0.63,0.79,1.48,1.02,
主营业务收入(万元),36909,23441,47690,35833,24252,48041,46467,49804,
主营业务利润(万元),8362,5281,9799,7584,5426,11434,11327,10135,
营业利润(万元),4614,2668,3876,3083,2319,5842,5753,5272,
投资收益(万元),-38,-33,-25,--,--,--,--,--,
营业外收支净额(万元),171,132,284,228,222,376,247,251,
利润总额(万元),4785,2799,4160,3310,2540,6218,6000,5523,
净利润(万元),3672,2325,3618,2880,2193,5118,4946,4566,
净利润(扣除非经常性损益后)(万元),--,2223,3670,--,2343,4814,4547,4030,
经营活动产生的现金流量净额(万元),8600,4233,10313,7062,4975,6288,11739,8140,
现金及现金等价物净增加额(万元),645,8575,10349,8746,7423,-3783,-2280,-49,
总资产(万元),82113,73936,65754,--,--,59742,54465,58550,
流动资产(万元),35757,41528,33768,--,--,24707,21895,26744,
总负债(万元),18420,13890,24559,--,--,22193,20377,29386,
流动负债(万元),18062,13508,24125,--,--,11658,18738,15678,
股东权益不含少数股东权益(万元),61469,60046,41195,--,--,37549,34088,29164,
净资产收益率加权(%),7.27,5.13,9.19,--,5.67,14.5,15.64,17.68,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
