报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),0.05,0.07,0.03,0.23,0.2,0.08,0.04,0.2,0.08,0.06,0.04,0.21,0.15,0.1,0.04,0.46,0.35,0.17,0.07,0.45,0.25,0.19,0.14,0.4,0.21,0.1,0.01,0.39,0.74,0.59,0.38,1.65,1.33,0.87,0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.67,2.66,2.63,2.57,2.52,2.39,2.96,2.89,2.74,2.61,4.03,3.82,3.71,3.71,3.52,3.49,3.78,3.68,5.09,4.9,5.03,4.56,5.15,4.86,3.68,2.98,3.59,3.33,3.16,2.97,2.82,2.81,2.75,2.65,2.65,2.59,2.56,2.52,2.47,2.45,2.48,2.47,2.44,2.41,2.41,2.52,2.62,3.65,3.93,5.33,5.02,4.85,4.48,3.42,3.04,2.73,4.34,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.2,0.09,-0.05,0.52,0.25,0.25,0.1,1.22,0.78,0.62,0.59,0.49,0.19,0.47,0.19,1.59,1.44,1.17,0.78,1.49,0.94,1.17,0.74,0.16,0,0,0,1.07,0,0,0,1.05,0,0,0,0.67,0,0,0,0.9,0,0.33,--,1.11,0.62,-0.07,0.16,0.56,--,0.18,0.15,--,--,--,--,--,--,
主营业务收入(万元),1147851,671466,282127,2457412,1724655,832337,378216,2111772,972977,403082,168845,1839955,1237424,809657,345561,1863403,917004,489464,226236,962069,709800,448164,214525,755115,502320,278066,120186,744174,589200,389998,170814,825712,610368,409049,184804,624023,415213,206524,70365,423725,311908,193460,87558,354842,233624,145264,69279,283558,200134,130108,54192,268498,188997,128134,63796,278915,142400,285078,144961,287047,133809,82715,35843,85125,43121,53908,71342,77469,56488,
主营业务利润(万元),81226,63455,28458,136432,104197,63779,28147,133415,92089,65810,34527,197999,147500,89514,46491,279333,200008,117772,44702,185446,122947,81347,36674,153633,96188,55265,18441,151389,165366,120953,49947,229015,163264,106317,--,214131,147160,77213,28649,110030,84806,53365,25607,85173,58644,38562,17382,58371,45223,28423,13460,56094,42074,28308,12645,50185,30038,61900,30968,54103,25423,10740,5079,1667,305,1029,859,335,293,
营业利润(万元),9310,20982,7378,27726,25239,18039,7129,31139,13249,9524,12286,77872,69485,43609,22893,163906,130365,74480,21315,83418,51996,35340,19955,62051,33317,13673,944,52047,94644,75287,34049,144007,118754,77199,33418,140920,98226,48130,15746,40209,32434,18614,7379,22974,13338,8063,2600,7513,5213,3455,575,6385,4285,3210,1153,2936,4454,11774,8693,12213,5472,2950,1037,1785,0,1029,859,335,293,
投资收益(万元),3742,3443,1245,5130,352,1522,1077,1955,1286,-8,-241,3110,5075,5897,114,-171,1391,2583,482,10934,2162,807,3141,5025,-82,276,-208,10184,6756,5717,1423,6513,4407,3378,592,4129,4593,3724,1258,-3729,-825,193,153,-2785,-295,-393,255,437,393,292,55,-369,49,242,163,621,206,2819,22,2338,2874,1850,544,3054,792,2995,3165,3161,3683,
营业外收支净额(万元),3426,315,458,33535,30481,1372,437,16557,443,395,-25,-9023,-17697,-12252,-5929,-26050,-24813,-17668,-9932,-9950,631,1122,385,949,208,119,91,-199,-721,--,--,-2377,--,--,--,-8433,0,0,-3765,-3466,0,0,0,-468,0,0,0,-193,-193,0,0,-197,0,113,0,210,0,-131,0,-123,0,--,0,0,442,0,0,0,--,
利润总额(万元),12736,21296,7836,61261,55720,19411,7566,47696,13691,9919,12262,68848,51788,31357,16964,137856,105553,56812,11382,73468,52627,36463,20339,63000,33525,13792,1034,51848,93923,74963,33983,141630,117838,76314,33433,136994,98738,48149,13329,33091,30869,18259,7206,19937,12810,7456,2680,8362,5857,3898,735,6365,4735,3814,1505,4628,5458,14849,9033,14429,8608,5977,1858,4927,1539,4208,4158,3608,3989,
净利润(万元),10109,16003,5821,47013,41006,15782,7261,41312,17005,12007,8815,43279,30453,20861,9038,95075,71533,35051,11028,70701,40058,30034,13840,41423,21096,10743,1176,40039,75947,60656,27854,120454,97255,63775,27615,113458,83048,40812,11231,27734,20557,12117,5578,13689,10876,6530,2610,6018,4837,3052,684,4561,3518,3015,1247,3101,4330,13025,8005,12576,7965,4346,1390,4136,1128,3368,3486,3108,3710,
净利润(扣除非经常性损益后)(万元),6418,15203,5472,25941,22171,14798,6953,30658,16644,11672,8834,47380,--,27735,--,116153,--,48329,--,67168,--,29197,--,40899,--,10405,0,39884,0,60906,0,122449,0,64552,--,120066,0,44402,0,30873,0,12601,0,14167,0,6536,0,4995,0,3167,0,3952,3168,2473,--,2402,3856,13802,7859,11331,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),3876,37089,7640,85942,30814,24469,11524,97103,20587,5534,-8048,148701,41142,18117,-10936,107220,51127,52512,16008,194263,123544,99030,60287,50160,19511,47738,19183,162978,147931,119555,56872,108681,68989,85537,48889,10912,34971,-12144,7885,46330,55192,31166,13732,45370,28742,18427,17411,28799,14541,13265,3830,38894,0,14450,--,48042,26694,-2854,6966,16006,--,1459,1223,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-7271,26077,143440,-36555,3511,-27927,-22942,6388,-6023,-7783,-2796,4249,-2781,-14384,18982,-30738,-18531,13452,6085,-16920,-20712,-18532,2475,62030,26182,7376,10967,-37049,1479,19479,-473,17888,1779,15698,35786,96417,35528,21120,14036,-12682,-10888,-15246,-30385,8167,10674,15415,15172,6330,17258,-3440,0,670,0,1827,--,13252,16790,-13619,-1282,17622,--,3725,-1073,--,--,--,--,--,--,
总资产(万元),1563138,1546198,1578571,1421579,1475400,1457131,1442734,1444967,1434129,1411153,1443563,1407318,1429232,1402525,1457834,1404240,1375695,1494695,1489650,1457088,1243841,1170170,1196918,1164701,1044428,942952,880731,791996,828125,867585,794668,793413,722155,676419,680847,719787,610959,571797,492455,475260,470333,461355,471908,494727,477089,490577,479024,481460,491936,468456,474468,463188,484993,475659,483086,466092,488547,457901,430725,426319,434084,120432,101928,95835,96751,86245,60987,74996,62256,
