报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),-0.09,-0.07,-0.04,0.24,0.2,0.11,0.06,0.34,0.19,0.1,0.04,0.51,0.39,0.24,0.12,0.53,0.35,0.16,
每股净资产(元),1.33,1.35,2.59,2.59,2.53,2.42,4.69,4.71,4.56,4.47,5.39,5.35,5.22,5.07,2.23,2.11,1.52,3.61,
每股经营活动产生的现金流量净额(元),0.06,0.12,0.2,0.05,0.27,0.18,0.29,0.17,0.15,0.14,0.1,0.16,0.12,-0.03,-0.16,0.28,0.34,0.29,
主营业务收入(万元),53014,32352,16718,83814,59298,33614,13707,50501,32506,19317,8287,36471,25689,14769,5968,24998,16576,7953,
主营业务利润(万元),10694,7295,4171,19827,13564,8006,2954,61984,7333,23528,1725,47038,7563,4966,2394,8847,6232,2859,
营业利润(万元),-6060,-4081,-1298,5039,3701,2245,577,4348,2372,1212,431,4070,2955,1970,977,4168,3092,1269,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,
营业外收支净额(万元),395,194,61,439,426,226,170,179,98,66,62,709,626,38,2,180,169,0,
利润总额(万元),-5666,-3887,-1237,5478,4127,2471,748,4527,2470,1278,492,4779,3581,2008,978,4348,3261,1269,
净利润(万元),-3647,-2687,-886,5453,4378,2468,716,3811,2094,1082,418,4248,3121,1768,832,3671,2367,1084,
净利润(扣除非经常性损益后)(万元),--,-2816,--,5079,--,2255,--,3659,--,1020,--,3645,--,1736,830,3518,2606,1074,
经营活动产生的现金流量净额(万元),2271,4816,4408,1136,6025,4129,3234,1877,1698,1558,978,1450,1080,-282,-1139,1969,2344,305,
现金及现金等价物净增加额(万元),6934,2297,2311,-12589,-4552,-5780,-4954,-6439,-9599,835,-2123,17102,20018,22280,-4137,2046,4361,-288,
总资产(万元),121052,103774,106946,112343,99633,90697,86280,84233,70537,67906,60400,63980,62892,58858,27036,29006,16184,6498,
流动资产(万元),54495,43468,47982,56224,52513,48449,46167,46454,41341,46646,41451,46309,47589,45745,15921,17953,12217,4762,
总负债(万元),60058,41319,41049,46222,35182,28843,27303,26801,19469,17849,10074,14073,14191,11511,11408,14210,5822,2753,
流动负债(万元),53161,38471,38441,43558,33157,26787,25216,26134,18723,16971,9064,12301,12278,9485,9663,12363,5112,2753,
股东权益不含少数股东权益(万元),53727,54786,58245,58349,56899,54271,52494,52787,51068,50056,50326,49907,48701,47347,15627,14796,10362,3745,
净资产收益率加权(%),-6.6,-4.6,-1.52,9.93,8.05,4.6,1.35,7.42,4.14,2.14,0.83,12.16,11.73,11.27,5.47,28.47,39.52,33.85,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
