报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.32,0.23,0.11,0.35,0.29,0.23,0.19,0.83,0.6,0.41,0.17,0.96,0.69,0.47,0.95,0.58,0.65,0.33,0.19,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,9.29,9.52,3.39,3.95,3.58,2.97,2.26,2.03,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.69,0.3,1.31,0.57,1.45,0.28,0.14,
主营业务收入(万元),84717,55135,28404,83981,54377,36077,16754,74107,51349,33684,15269,77041,54844,34999,72073,34934,59022,45875,44439,
主营业务利润(万元),24933,15562,7128,25598,18226,13123,5801,25666,17636,11656,5249,24280,17000,12005,23704,12400,18186,11616,9557,
营业利润(万元),7907,5821,2874,8341,7129,5529,2247,10678,7542,5100,2107,9908,6864,5851,8733,5765,6154,3174,1849,
投资收益(万元),27,26,--,115,104,69,20,30,16,--,--,--,--,0,--,--,0,--,--,
营业外收支净额(万元),478,462,55,1080,297,232,212,139,223,175,28,880,375,273,410,139,265,42,-38,
利润总额(万元),8384,6283,2929,9422,7426,5761,2459,10816,7766,5276,2135,10788,7239,6125,9144,5904,6419,3216,1811,
净利润(万元),6866,5092,2359,7721,6210,4923,2122,9043,6570,4501,1828,8958,6020,5119,7740,4739,5275,2703,1587,
净利润(扣除非经常性损益后)(万元),6460,4699,2312,6803,5958,4726,1942,8913,6379,4352,1805,8161,--,4888,7331,4597,5017,2645,1614,
经营活动产生的现金流量净额(万元),7488,503,-122,-5802,3657,2700,1458,14832,13826,8497,4738,8881,7547,3308,10659,4692,11805,2320,1164,
现金及现金等价物净增加额(万元),6238,5614,13560,-12644,-13183,-13756,-8403,-9824,-9834,-5226,1837,28561,33366,-1790,2649,-3687,-1609,565,6710,
总资产(万元),186948,169689,167277,151863,104269,102952,102390,101687,99019,98899,102101,100337,102681,69139,67084,61258,62392,61859,56645,
流动资产(万元),91779,94449,92331,76488,52115,51363,51788,57523,57830,63620,67438,66989,69688,35623,32495,27175,27260,30487,24985,
总负债(万元),86016,70763,69019,56250,10423,10427,9913,11681,11500,13437,13897,13983,19195,32150,33644,30719,36909,42256,38863,
流动负债(万元),56261,40559,35292,22602,8783,8752,8278,10010,9878,11775,12179,12236,17391,25262,31516,28449,30640,40667,37190,
股东权益不含少数股东权益(万元),99806,97970,97417,95058,93467,92192,92182,90058,87536,85520,88285,86440,83489,36910,32250,29259,24229,18484,16598,
净资产收益率加权(%),7.04,5.24,2.45,8.22,6.75,5.35,2.33,9.94,7.58,5.18,2.09,16.08,13.28,14.71,27.4,17.82,24.88,15.59,10.04,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
