报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.36,0.22,0.1,0.44,0.3,0.18,0.09,0.24,0.2,0.14,0.08,0.4,0.32,0.22,0.14,0.74,0.58,0.4,0.36,1.36,1.14,0.79,0.79,0.55,0.59,1.02,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.94,4.85,6.45,6.31,6.15,5.97,10.69,10.33,10.08,4.43,3.64,--,2.85,2.26,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.29,0.19,0.04,0.74,0.5,0.32,0.03,1.51,1.22,1.42,0.6,--,1,-0.01,
主营业务收入(万元),100885,69255,32984,126639,90035,59268,28353,99089,70330,44892,19798,79504,60823,43108,21767,92872,69270,47863,24816,84305,64777,45591,52953,37107,53699,43382,
主营业务利润(万元),24866,16917,7744,32643,22476,14274,6994,24413,17811,11850,6071,24668,19031,13682,6775,30764,23444,15994,8267,28816,22110,15821,18628,13014,17543,14140,
营业利润(万元),11371,7097,3202,13366,9928,5887,2980,7491,6240,4368,2578,12406,9723,7013,3587,17667,14262,9996,5012,14825,11681,8409,7790,5613,7212,7452,
投资收益(万元),992,720,393,1168,731,414,157,48,33,28,28,15,7,11,7,4,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),331,117,17,672,335,176,63,506,223,182,30,724,613,220,24,630,191,248,15,821,527,53,597,330,0,-130,
利润总额(万元),11702,7214,3219,14038,10262,6063,3043,7997,6463,4549,2608,13130,10336,7233,3611,18297,14453,10244,5027,15646,12209,8462,8387,5943,7199,7322,
净利润(万元),9941,6154,2712,12230,8660,5050,2483,6730,5440,3809,2183,11234,8797,6210,3084,15794,12333,8604,4239,13075,10095,6985,7012,4890,5228,6911,
净利润(扣除非经常性损益后)(万元),9510,5928,2607,11404,8230,4884,2410,6200,5180,3619,2139,10551,--,5997,--,15188,--,8359,--,12334,0,6893,6466,--,5189,4864,
经营活动产生的现金流量净额(万元),21279,8536,1311,12639,10686,6908,577,11810,5134,1338,1237,12496,8003,5404,886,15866,10716,6914,391,17926,14514,12572,5314,4114,8905,-69,
现金及现金等价物净增加额(万元),4410,2431,12562,-3038,-1805,-1114,-2525,-3114,4851,1596,-1451,-15038,-14588,-9676,-6306,-15754,-9228,-577,312,39800,47782,96,-419,3237,228,-240,
总资产(万元),252738,249660,258622,239874,233922,228256,223803,217796,213506,203393,189209,182210,174975,176697,176050,175341,173534,169333,164816,149635,153937,101224,93809,--,80612,74271,
流动资产(万元),118455,119553,130968,112956,108217,104612,102441,96313,103705,97085,84977,81800,87496,90935,91041,95140,102949,100647,104827,93909,99080,50354,44016,--,37071,36812,
总负债(万元),89859,90569,100591,84556,79920,77864,73101,72982,69982,61500,47274,42458,37658,41968,38033,40407,42060,41589,37872,26931,34213,61888,61458,--,55273,54160,
流动负债(万元),76835,78146,85790,72652,70671,69685,64671,67727,63934,55381,41121,37028,33951,37903,37451,39602,40995,40271,36153,25383,30974,41509,54240,--,41527,50675,
股东权益不含少数股东权益(万元),162879,159092,158031,155318,154002,150392,150702,144814,143524,141894,141935,139753,137316,134729,138018,134934,131474,127744,126943,122704,119724,39336,32351,--,25339,20111,
净资产收益率加权(%),6.24,3.89,1.73,8.16,5.75,3.39,1.69,4.74,3.84,2.69,1.55,8.24,6.45,4.53,2.26,12.29,9.69,6.81,3.4,22.46,26.99,19.49,24.31,--,23,53.88,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
