报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-03-31,2002-12-31,2001-12-31,
基本每股收益(元),0.33,0.21,0.09,0.51,0.34,0.18,0.07,--,0.39,0.18,0.1,0.72,0.3,0.39,-0.02,0.49,0.39,0.56,-0.07,0.66,0.71,0.71,0.02,0.46,0.21,0.14,0.05,0.39,0.28,0.19,0.13,0.5,0.42,0.3,0.25,--,--,--,--,0.25,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.19,--,5.4,5.48,6.19,6.21,6.09,7.52,6.92,6.99,7.09,7.04,6.49,6.46,6.21,6.13,6.15,6.1,5.99,5.96,3.73,3.62,3.55,3.42,3.53,3.27,3.21,3.11,3.09,3.06,3.03,2.94,2.95,2.92,2.82,2.77,2.8,1.75,0,1.57,1.42,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.36,--,-0.62,-0.6,-0.49,0.07,-0.88,-0.83,-0.7,0.09,-1.34,-0.93,-0.65,0.18,-0.17,-0.43,-0.44,0.16,-0.81,-0.83,-0.67,0.15,-0.86,-1.06,-0.75,0.11,0,--,0,0.43,0,0,0,0.36,0,0,0,0.38,0,0.28,0,
主营业务收入(万元),186675,122222,71614,376532,262461,54409,16452,194386,61084,30446,11182,120812,38947,27265,2546,114177,59548,40836,12874,93164,56759,36480,16773,175975,83660,56383,22467,114891,57432,36861,16712,86873,54302,27302,4946,87576,47854,22940,4043,80034,40734,18457,4086,85350,49493,22179,5518,64626,354,43308,22480,
主营业务利润(万元),11308,6837,3735,39956,26456,11071,3023,276430,11791,9688,4955,53922,5237,3547,82,16612,6944,4520,1647,10716,5716,2920,1462,20612,7905,4383,2389,8411,3688,4105,3325,8234,5971,2690,--,8123,4929,2541,992,7391,5560,2989,1027,6341,3174,1697,725,6550,305,6131,5741,
营业利润(万元),34690,21940,10323,53170,35815,18520,9366,106872,29246,19978,11018,80681,28107,42074,-5974,39409,37235,43827,-6245,43942,48976,52399,-421,17635,6145,3316,1703,11382,7362,4413,3611,12692,9921,6466,5924,3264,2021,811,264,3244,2764,1366,771,3304,1519,570,259,4087,-126,3986,3840,
投资收益(万元),42406,29621,13235,54290,40657,26522,13682,61722,45961,30300,15734,72234,53950,60610,3315,64183,62436,60365,1403,68280,66381,63273,998,7540,3703,2472,817,9715,8105,3013,1470,9378,7540,6185,5367,6161,4768,3401,732,3417,2610,1613,0,1736,708,333,350,298,80,602,527,
营业外收支净额(万元),4528,1468,-48,3644,3523,3650,148,1800,1888,1761,7,3637,3434,3393,2050,1893,1602,1127,5,1546,1373,1346,240,2681,2570,2294,251,1105,--,777,--,529,--,--,--,-777,0,--,0,40,0,0,0,-26,0,0,0,-41,0,0,0,
利润总额(万元),39218,23408,10275,56814,39338,22170,9514,108671,31134,21740,11025,84318,31541,45467,-3924,41302,38837,44954,-6240,45488,50348,53745,-182,20317,8715,5610,1955,12487,8252,5190,3637,13220,10621,7149,5990,9087,7179,4645,992,7051,5698,3290,772,5692,2875,1551,614,4903,-51,4596,4304,
净利润(万元),22849,14433,5973,35271,23749,12412,5187,49350,25041,11296,5534,35913,14892,19457,-803,20493,16287,19343,-2288,22831,24532,24655,521,15942,7251,4858,1704,11146,7343,4270,3010,11234,9524,6735,5712,7245,5992,3702,836,5622,4746,2787,659,4628,2425,1315,523,4138,-65,3931,3692,
净利润(扣除非经常性损益后)(万元),19482,12382,5740,29775,18831,10311,5065,--,14878,10212,--,33246,--,16979,--,18993,--,17986,--,21486,--,23508,--,13773,--,3033,0,9029,0,3525,--,10586,0,6059,--,7432,0,2995,0,5036,0,2353,0,4074,0,764,0,0,0,0,0,
经营活动产生的现金流量净额(万元),-75824,-63293,-43331,24821,-69784,-62911,-36449,-8306,-8651,-42739,-25134,1353,-30754,-29875,-20491,2747,-36336,-28712,-24257,3211,-46232,-32326,-22400,6301,-5832,-15004,-15097,5465,-27943,-28576,-15090,3360,-19410,-23898,-17029,2441,-9959,-6516,-2917,9674,-4297,-9911,-8678,8050,-5425,-3409,-10589,5571,0,0,0,
现金及现金等价物净增加额(万元),-77693,201862,-73525,-60313,-11305,27920,-18612,120398,116074,193696,152235,-37081,2715,109077,-65954,42165,17225,114354,-20761,5629,45738,144044,-19188,-9239,-21100,-24617,-7578,6553,114171,210362,-33888,30341,-4127,-7362,-13091,-2122,-8240,3751,-8532,-8604,-5243,-8980,-3759,16877,17594,18204,24274,3653,0,0,0,
总资产(万元),1308320,1543400,1551233,1490352,1583888,1417977,1463420,1436128,1350096,1404954,1475057,1316941,1305362,1356215,1282031,1308558,1250008,1333328,1321803,1289869,1349551,1440693,1169915,1144383,1101631,1026098,915088,851353,815369,832205,414081,354507,193334,169979,149013,157522,163347,156694,167821,164773,168479,148327,145863,146221,168587,120959,110001,76613,0,42083,30476,
流动资产(万元),578423,912618,623501,625740,721524,574408,475765,479265,473441,543402,499983,335414,387286,480521,289670,345884,334545,428159,277461,302972,222882,317570,150071,163275,184770,168546,147909,141780,254085,343650,96733,123778,91895,84694,67097,80354,86035,85244,66411,71135,81789,67154,74280,77042,107116,77344,74482,45063,0,27040,20465,
总负债(万元),645484,890838,898360,845595,952644,792797,804866,784699,757269,819049,859466,842812,870831,894088,853045,880559,825554,899596,925954,889234,945429,1038939,804948,812343,778547,705705,594313,532222,500582,519598,323321,266151,111347,90834,67543,81833,88982,84582,96136,93912,98150,79956,77153,78246,103010,56495,43900,48217,0,17571,9754,
流动负债(万元),371557,683066,666342,689582,529627,382120,360770,338618,269273,311056,345832,307800,249547,224279,198327,225883,222716,267181,273877,227376,213963,287595,675513,762669,728412,694851,581889,516405,490605,506515,310238,252983,98432,84305,61014,76047,83196,78796,88350,86126,92364,74170,71367,72460,103010,56495,43900,47854,0,16507,9754,
股东权益不含少数股东权益(万元),487023,479005,481226,474897,463417,459590,467197,462010,428689,423956,429005,290122,269101,273056,256948,257751,252953,260298,239331,241877,245269,243587,224434,223462,214756,212257,212808,211181,207264,206249,84272,81851,80127,77338,79705,73827,72574,70284,69904,69068,68442,66482,66679,66068,63758,62648,63288,25579,0,22901,20722,
净资产收益率加权(%),4.73,2.99,1.25,7.3,4.9,2.66,1.12,--,5.71,2.94,1.64,13.11,5.64,7.29,-0.31,8.07,6.59,7.69,-0.95,9.63,10.47,10.46,0.23,7.33,--,2.27,0,7.65,0,5.08,--,14.36,0,8.77,--,10.17,0,5.25,0,--,0,4.18,0,8.47,0,3,0,16.26,0,16.89,19.01,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
