报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.53,0.27,0.11,0.69,-0.17,-0.14,-0.06,--,0.03,0.04,0,0.07,0.12,0.12,0.05,0.22,0.2,0.17,0.06,0.39,0.3,0.19,0.29,0.16,--,--,0.25,--,--,0.39,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,6.34,6.44,6.37,6.32,6.29,6.27,6.36,6.3,3.31,3.2,3.01,0,--,--,2.72,--,--,2.48,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.37,-0.29,-0.17,-0.2,-0.19,-0.18,-0.22,0.49,0.64,0.59,0.74,0.39,--,--,0.34,--,--,0.71,--,--,
主营业务收入(万元),280222,160699,61560,311044,18916,11951,4439,22428,15306,9632,3977,15639,10884,7165,3177,17845,13223,9006,3932,20871,15887,10268,16211,9767,7493,2516,14507,11708,6946,11048,8221,5482,
主营业务利润(万元),43768,23477,8706,44246,2462,1332,551,3364,2854,1757,643,2761,1965,1210,417,4443,3582,2582,1177,6505,5055,3237,5152,3411,2182,933,4420,3398,2202,4300,3083,2476,
营业利润(万元),29112,14861,5866,28013,-3070,-2591,-927,-2612,-256,-44,-21,-2459,168,176,54,1048,1497,1138,645,2850,2805,1774,2234,1468,920,269,1990,2079,1501,2960,1781,1353,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,--,0,0,--,--,--,
营业外收支净额(万元),-32,-32,-32,68,681,592,34,879,751,617,20,3328,1359,1319,569,1616,913,904,113,688,-74,-54,292,36,-30,-13,-71,-84,-30,8,-45,-25,
利润总额(万元),29080,14829,5834,28081,-2389,-2000,-893,-1732,495,573,-1,869,1528,1496,623,2663,2410,2042,758,3538,2731,1720,2526,1504,975,338,1919,1995,1472,2968,1736,1478,
净利润(万元),21775,11100,4370,20614,-2393,-1895,-887,-1593,399,478,13,758,1294,1255,530,2334,2091,1777,665,3240,2383,1497,2316,1316,853,307,1978,1695,1251,2966,1549,1309,
净利润(扣除非经常性损益后)(万元),21799,11125,4394,20563,-2995,-2393,-918,--,--,-61,-15,-2044,--,110,--,842,--,946,--,2546,2376,1498,1950,1314,--,--,1955,--,--,2881,--,--,
经营活动产生的现金流量净额(万元),336,-12139,-8615,-5415,-5316,-204,-641,1991,-3147,-2022,-652,-2879,-3922,-3144,-1834,-2152,-2059,-1976,-2369,5292,5130,4728,5930,3083,6166,45,2689,4253,1744,5705,-570,1065,
现金及现金等价物净增加额(万元),-10092,-11498,-10379,252,-9175,-2524,532,-28,-1318,-775,1958,-9127,-7631,-5576,-2526,-14834,-10632,-8009,-2925,29847,-229,-368,1634,4330,5687,6632,-88,-2471,-2338,3458,-987,1223,
总资产(万元),397189,322330,268211,257022,89847,92120,95923,94992,94996,91921,88754,86395,85677,76289,77809,77129,77324,76361,76942,77358,44535,43769,48185,0,53265,53636,44799,38475,35193,32990,22201,17194,
流动资产(万元),380843,306659,253124,242534,49541,48742,51682,50226,55160,53502,51153,50151,53444,49551,51281,51438,48744,49747,52886,53341,21778,20413,24864,--,29736,29685,20585,16523,17585,18780,12064,10199,
总负债(万元),311166,246981,195466,188647,24749,26590,29341,27513,25447,22080,19378,17004,16438,7196,9663,9528,9993,9317,8875,9951,18040,18160,24073,--,30840,31757,23003,16920,14083,13173,7854,4402,
流动负债(万元),311166,246981,195466,188647,22750,25889,28231,26383,24670,21371,18201,15831,14164,4999,6701,5801,6551,6163,4984,5977,13034,14147,18447,--,25290,29157,22403,16320,13483,13173,7854,4402,
股东权益不含少数股东权益(万元),86023,75348,72745,68375,63090,63588,64596,65483,67474,67768,67302,67290,67826,68857,68146,67602,67331,67044,68067,67407,26495,25609,24112,0,22425,21879,21796,21555,21111,19818,14347,12792,
净资产收益率加权(%),27.96,25.77,6.19,38.84,-3.72,-2.94,-1.36,--,--,0.71,0.02,1.13,1.85,1.82,0.92,3.46,3.1,2.64,0.01,11.7,0,6.02,10.09,0,--,--,9.51,--,--,16.88,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
