报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.16,0.12,0.05,0.19,0.13,0.1,0.05,0.1,0.07,0.03,0.01,0.07,0.09,0.05,0,0.21,0.21,0.15,0.07,0.53,0.38,0.24,0.09,0.67,0.46,0.26,0.51,0,0.5,0.47,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.67,4.63,7.03,7.02,7.03,6.96,7.09,7.02,6.97,6.83,6.86,6.77,2.67,2.47,--,0,0,--,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.21,0.2,0.14,0.51,0.3,0.02,0.03,0.61,0.37,0.16,0.05,0.83,0.81,0.81,0.67,0,0.35,1.37,0,
主营业务收入(万元),302357,210302,99967,366156,272207,172751,79787,266486,188729,111383,46698,159183,114136,70997,32894,140890,106638,66039,30492,128153,98515,61324,30231,118392,86687,50981,138544,104613,109362,106466,0,
主营业务利润(万元),32432,23388,11015,43356,31855,21796,10598,36143,25381,15501,7250,22264,15406,8753,3664,23451,18952,12528,6498,30706,24078,15327,8215,36415,24637,14432,27573,20236,21293,18619,0,
营业利润(万元),14819,11320,5224,17368,13935,10217,4975,10741,9683,5015,2335,5097,4408,2057,8,7128,7292,5311,2525,18202,13425,8431,4673,23889,18814,10266,20224,14438,15072,13173,0,
投资收益(万元),2517,1745,966,5067,3541,1619,651,1656,942,475,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,0,30,-1251,0,
营业外收支净额(万元),975,670,368,1427,625,293,12,1290,432,296,201,487,1185,751,269,220,429,80,43,103,72,19,-5,404,219,148,299,--,--,445,0,
利润总额(万元),15794,11990,5592,18794,14560,10510,4987,12031,10115,5311,2536,5584,5592,2808,278,7348,7722,5391,2568,18305,13497,8451,4668,24293,19033,10414,20522,14800,15471,13617,0,
净利润(万元),7212,5418,2427,8583,5819,4468,2037,4662,3080,1134,317,3285,3865,2037,118,6381,6395,4443,2124,15755,11284,7137,2638,15133,10399,5771,11389,8228,10854,9506,0,
净利润(扣除非经常性损益后)(万元),6625,5030,2237,8034,5494,4295,2070,3726,2700,882,151,2883,--,1479,--,6221,--,4361,--,15660,--,5013,--,14812,10255,5665,11324,0,9569,8378,0,
经营活动产生的现金流量净额(万元),1168,1559,-8403,49738,40909,20125,12788,20025,19441,16553,3804,6573,9390,9046,4073,15355,8953,490,1013,18334,11178,4908,1385,24925,18265,18194,15098,6723,7908,13023,1099,
现金及现金等价物净增加额(万元),-25973,-12403,-11259,9809,4985,797,18646,-42724,-45875,-40687,9653,-27173,-10464,-8877,-10261,-32309,-42396,-30729,-15195,-29872,-27162,-21006,-86,153768,7810,8116,1719,-5864,10089,2380,-297,
总资产(万元),382852,393249,407999,387383,383101,413213,386579,369745,349467,351900,331914,299350,286881,274442,266288,270091,254217,247972,247777,239382,235023,227849,243090,240505,99641,86393,86228,0,78626,55675,0,
流动资产(万元),213861,222819,243856,222328,222734,213268,184493,166442,163838,179124,166446,143892,153320,142652,137807,154180,187274,190693,188433,195495,200248,199983,216645,213962,72759,59452,61356,--,55962,35848,0,
总负债(万元),113139,124907,138176,121843,121905,145385,120568,107606,97916,95662,75999,45026,32454,27223,25624,29593,28261,23845,26458,20037,25915,22804,21083,22327,26225,19301,24559,--,32257,22678,0,
流动负债(万元),95320,107061,120273,103941,103783,108600,87481,74984,55868,54984,44523,34988,21496,19805,20406,24375,28261,23845,26458,20037,25222,22804,21083,22327,26225,19301,24559,--,32257,22678,0,
股东权益不含少数股东权益(万元),223185,222875,222588,220223,217469,216115,214808,212758,203076,209260,209833,209515,210127,208291,210834,210726,210759,208884,212642,210546,209108,205045,205823,203185,60091,55463,49692,0,38303,27757,0,
净资产收益率加权(%),3.23,2.43,1.1,3.96,2.7,2.08,0.96,2.21,1.46,0.54,0.15,1.57,1.84,0.97,0.06,3.04,3.04,2.11,1,7.61,5.48,3.48,1.29,26.43,0,10.98,25.89,0,32.81,41.32,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
