报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.11,0.06,0.02,0.1,0.09,0.05,0.02,0.04,0.02,0,0,-0.17,-0.16,-0.12,-0.07,0.01,0.05,0.09,0.15,0.24,0.11,0.11,0.07,0.17,0.09,0.01,-0.07,-0.49,-0.25,-0.13,0.01,0.53,0.44,0.33,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.06,2.1,2.15,2.22,2.27,3.02,3.09,2.94,2.81,2.81,2.49,2.42,2.34,2.26,2.18,2.25,2.47,2.59,3.31,3.3,3.21,3.1,2.87,2.76,2.69,2.65,2.62,2.6,2.61,2.6,2.69,2.67,2.61,2.58,2.63,2.54,2.44,2.31,2.25,2.14,2.14,2.1,2.07,2.04,2.01,3.91,3.79,3.61,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.59,0.37,0.26,-0.2,0.22,0.54,0.58,-0.18,-0.09,-0.33,-0.01,0.22,0.1,0.16,0.49,0.86,0.77,0.45,0.05,0.15,-0.08,-0.04,0.13,0.1,0,--,0,1.3,0,0,0,0.26,0,0,0,0.49,0,0,0,0.48,0,0.3,--,0.01,0.19,0.42,0.14,0.2,0.37,--,--,
主营业务收入(万元),222963,133877,57794,284080,216002,145805,72931,326945,246287,162330,78497,341066,247124,156525,82146,396855,323155,218859,120386,356029,252659,159046,86774,242564,167279,104179,45483,204132,164549,108482,54882,262968,202050,131365,66746,206601,147520,96294,50257,144633,105490,69365,35485,139978,100249,67442,30412,107698,74027,47918,26192,80396,57122,36742,20723,73147,37415,63595,33388,58506,56429,66266,28127,
主营业务利润(万元),35138,21381,9107,43696,33211,21375,9829,37357,25155,15978,7345,16064,7223,3866,966,40985,34673,29250,20696,43873,25747,19859,11272,33708,20160,8602,-5217,-9996,-1642,3944,5538,55071,44568,31727,--,27147,16758,9454,3005,14259,10835,8490,5034,28545,21317,15953,8397,31121,21280,12625,6700,14892,9176,5340,2523,5429,4534,12845,7584,12782,11936,14161,4966,
营业利润(万元),11037,6620,2052,8794,8108,4579,1888,3929,1560,-55,175,-16500,-16025,-11603,-6886,250,5258,6619,11386,17969,7553,7504,4735,15413,7080,764,-5628,-39221,-19572,-10097,710,34054,29502,21427,7748,10984,5814,3077,576,2131,2254,1786,1543,15578,11836,9556,5521,22464,15921,9325,5431,10297,6633,3965,2035,3025,3162,11898,6361,10194,9593,11664,4073,
投资收益(万元),-111,-81,-70,-140,-106,-62,-46,-135,-143,-90,-15,-22,-39,-32,-22,194,198,200,18,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,--,0,0,0,0,0,0,0,0,0,-15,0,0,0,--,0,0,0,350,350,250,0,0,8,96,12,
营业外收支净额(万元),2499,202,278,639,359,255,90,-295,143,233,2,184,133,108,44,335,136,62,0,161,366,329,381,1110,-75,101,-2,1529,--,51,--,399,--,--,--,-51,0,--,0,-414,0,0,0,-4,0,1,0,-40,-0,-0,0,-258,-51,-51,0,-28,-35,-87,0,-261,-25,--,--,
利润总额(万元),13536,6822,2331,9433,8467,4834,1978,3634,1703,178,177,-16315,-15892,-11495,-6842,585,5394,6681,11386,18130,7919,7834,5116,16523,7005,865,-5630,-37692,-19470,-10046,735,34453,29561,21451,7748,10934,5818,3082,579,1717,2247,1768,1525,15626,11837,9558,5522,22408,15921,9325,5431,10040,6582,3914,2035,3348,3478,12060,6361,12337,11320,13856,4084,
净利润(万元),11493,5920,2012,9057,7318,4218,1685,3032,1452,152,151,-13976,-13472,-9738,-5813,618,4500,5529,9680,14645,6732,6659,4349,9962,5254,644,-4222,-28680,-14825,-7757,551,26058,21578,16144,5191,7576,4179,2345,579,817,1495,1101,1022,11197,8363,6829,4099,19310,14169,8322,5016,7431,4574,2786,1413,3395,3331,9856,4262,8887,8122,9975,3472,
净利润(扣除非经常性损益后)(万元),9374,5750,1776,8528,7013,4001,1608,3283,1330,-46,150,-14133,--,-9830,--,333,--,5477,--,14508,--,6379,--,11311,--,568,0,-29827,0,-7795,--,25791,0,14353,--,7342,0,2207,0,682,0,1137,0,10266,0,6430,0,14635,0,6376,0,7064,4625,2837,--,2475,1907,9431,4262,8653,--,--,--,
经营活动产生的现金流量净额(万元),28361,9454,7501,55888,44444,21814,7421,-23059,-21873,-13267,-4442,69528,48769,30364,21591,-16980,18227,34585,36916,-11236,-5863,-21138,-749,13209,5746,9520,28634,50683,45571,26695,2208,7207,-3697,-1989,6499,5121,-13247,-9633,15423,63763,41389,29098,8451,12825,3036,4764,195,24122,21435,16499,5929,23473,0,14587,--,269,9082,10394,3544,4999,6344,--,--,
现金及现金等价物净增加额(万元),243,26346,31684,12992,32414,12484,-8044,-5754,-3424,-3461,23377,-6384,-16594,-6627,1976,-8204,17169,6339,16630,7239,16815,24352,-1913,22125,6851,23146,32450,1303,24084,7061,-6860,-2153,-10762,7243,3984,-4517,-15499,2279,10619,7693,-3122,-6882,2558,11213,15626,14211,9531,-110,-3840,1752,-751,2487,0,3148,--,-7105,7165,-11248,-11543,27414,6897,--,--,
总资产(万元),484035,504859,482904,446853,463350,432482,412013,430746,437809,449012,470833,442103,440386,463516,475256,475672,474888,460801,493009,446374,437917,467020,419370,384846,393966,383293,372556,342791,373575,364453,362525,364139,327642,331218,322119,316141,302845,322503,329686,330112,325743,327171,325675,319518,303163,272123,243428,214607,199726,183310,168196,159520,152542,136942,132453,128163,140754,121635,108569,104530,49257,49809,28016,
