报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
基本每股收益(元),0.44,0.32,0.11,0.5,0.36,0.25,0.13,--,0.46,0.37,0.13,0.45,0.29,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,3.36,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,0.78,--,--,--,--,
主营业务收入(万元),2868787,1955015,964045,4417896,3036035,1931996,924296,5391600,4081355,2407302,1049152,4706121,4365309,3633506,
主营业务利润(万元),731629,491901,202826,843528,581298,382590,162228,983323,799513,464258,169674,679210,455136,546029,
营业利润(万元),798591,545413,186659,834312,583950,400607,159637,935626,806911,464842,152627,541262,321546,394702,
投资收益(万元),282232,197767,59971,299871,221304,157987,64830,282837,230737,147905,53314,209580,146098,117865,
营业外收支净额(万元),11152,6338,266,20563,13064,10733,-658,-5676,-1368,7439,1638,20054,10906,14033,
利润总额(万元),809743,551751,186925,854875,597013,411340,158980,929950,805543,472281,154265,561316,332452,408735,
净利润(万元),562677,390840,126857,596436,424653,300630,120529,575730,485558,293629,100101,349744,219840,248961,
净利润(扣除非经常性损益后)(万元),552869,385013,126283,578204,415411,294289,119886,--,479334,284720,98482,332527,189552,195650,
经营活动产生的现金流量净额(万元),1130731,821171,439517,1042337,960879,449516,242201,1326217,1173873,625896,258790,906798,537375,776190,
现金及现金等价物净增加额(万元),-55843,145823,191999,436203,107095,-231816,4973,260856,433190,131012,278303,119521,-90366,146147,
总资产(万元),10211364,10570290,10459067,10420359,9538816,8939806,9181880,9201770,--,8559220,--,8137798,7551741,7851176,
流动资产(万元),2162587,2447800,2528803,2470999,2023855,1780529,2019325,1906215,--,1791512,--,1680699,1661845,1643691,
总负债(万元),4023814,4509498,5193393,5307409,4967292,4558244,4720729,4861198,--,4610476,--,4190437,4062100,4156364,
流动负债(万元),1540181,1918544,1649216,1748401,2282682,1950793,2157869,2413335,--,2229005,--,1921957,2152971,1927322,
股东权益不含少数股东权益(万元),5395635,5306093,4476722,4347227,3850639,3714050,3720800,3614162,--,2703149,--,2779380,2377953,2554965,
净资产收益率加权(%),11.55,8.3,2.88,15.3,11.41,8.14,3.29,--,17.25,10.49,3.53,13.92,8.92,10.31,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
