报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.18,0.17,0.13,0.33,0.24,0.23,0.16,0.41,0.26,0.25,--,0.42,0.24,0.2,0.37,0.2,0.35,
每股净资产(元),--,--,--,--,--,3.39,--,3.16,--,--,--,--,2.63,2.53,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,-0.6,--,--,--,-0.34,--,--,--,--,--,--,--,
主营业务收入(万元),55549,43957,24894,85913,55025,43949,--,93381,59260,47658,27284,97482,48272,31420,88068,74305,63934,
主营业务利润(万元),22086,18182,11988,35755,23698,19387,--,39344,25997,21186,27284,39926,20738,14172,36091,27593,23096,
营业利润(万元),9382,9451,6854,14329,9931,9715,--,17038,10863,10485,7960,17287,9967,7953,14889,8608,12477,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,-114,9660,
营业外收支净额(万元),507,121,54,630,309,-10,--,71,374,106,--,276,61,62,209,-10,93,
利润总额(万元),9889,9572,6908,14960,10239,9704,--,17109,11238,10591,8022,17563,10028,8014,15098,8598,12570,
净利润(万元),7140,6948,5009,10994,7348,6933,4696,12404,7915,7624,5869,12723,7298,5887,11127,6081,9545,
净利润(扣除非经常性损益后)(万元),6889,6588,4952,10448,7049,6861,4761,12287,7798,7507,5807,12432,7216,5820,10880,5417,3935,
经营活动产生的现金流量净额(万元),-15960,-12649,-6271,8381,-16909,-17869,-12457,13946,-8588,-10183,-6480,15599,-13345,-8970,27296,19325,-6516,
现金及现金等价物净增加额(万元),-7688,-13754,-16243,-4661,-8172,-20445,--,-820,-17837,-20704,-16613,-2207,-16497,-10612,3016,1861,-2877,
总资产(万元),234602,225782,216991,218115,212984,201441,197540,206882,--,--,--,185603,163229,165100,171377,153165,167580,
流动资产(万元),113570,105029,97421,109732,109448,95867,--,102936,--,--,--,99389,89065,93878,101549,99283,113796,
总负债(万元),86309,77396,66183,72352,71006,97432,--,109868,--,--,--,100933,83955,87251,93419,80194,100701,
流动负债(万元),82907,73943,62680,68798,67402,67810,--,79344,--,--,--,78583,64105,69551,83219,76194,93701,
股东权益不含少数股东权益(万元),145904,145943,148405,143395,139750,101786,102039,94853,--,--,--,82777,77352,75941,76054,71238,65157,
净资产收益率加权(%),4.86,4.73,3.43,9.74,7.16,7.05,4.83,13.94,9.13,8.81,--,16.33,9.51,7.45,15.4,8.92,18.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
