报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),2.33,0.41,0.13,0.81,0.62,0.39,0.11,1.1,0.51,0.3,0.09,0.56,0.34,0.16,-0.32,-0.9,-0.31,-0.17,-0.04,-0.13,0.01,0.06,0.01,0.05,0.04,-0.04,0,-1.27,0.09,0.09,0.03,0.05,0.04,0.03,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.78,--,2.47,2.31,-0.59,-0.27,0.33,0.47,0.59,0.64,0.79,0.84,0.79,0.78,0.77,0.69,0.74,0.73,2.07,2.07,2.03,2,2.15,2.14,2.13,2.09,2.07,2.06,1.5,1.53,1.77,1.76,1.89,1.86,1.8,1.76,2.85,2.69,2.45,2.37,2.33,2.29,2.34,2.3,2.27,2.25,2.23,2.35,2.35,2.33,2.43,2.35,2.4,2.33,3.22,2.14,3.22,3.07,2.94,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.05,--,0.53,0.52,0.05,0.42,0.49,0.35,0.36,0.25,0.07,0.11,0.12,-0.62,-0.58,-0.59,-0.12,0.35,0.54,-0.29,-0.29,-0.02,0.3,-0.16,-0.1,0.44,0,0,0,0.13,0,0,0,-0.12,0,0,0,0.41,0,0,0,0.56,0,0.15,--,0.12,0,0.39,0.15,0.37,--,-0.07,-0.04,--,--,--,--,--,--,--,--,
主营业务收入(万元),357950,222400,85038,454166,336575,211751,84554,407948,292494,184325,70846,465912,368516,279336,95674,618101,465265,341978,165915,651043,473089,318225,127440,607303,446651,274080,136969,747400,613841,396226,188781,593179,417969,277871,128659,496826,348997,230629,93843,672220,549663,404803,213056,1009987,727525,467354,221963,664356,449559,271483,117139,258194,186344,124686,60855,244611,122086,250683,120215,235893,108524,236844,94630,234343,117385,249888,114567,213378,189265,105119,83733,
主营业务利润(万元),77530,46828,18080,98817,75708,46675,17402,87201,62500,36382,13469,49838,32440,12214,-18052,-31609,-8410,-1794,1334,4483,12257,12501,2499,26340,19632,7754,4505,-20214,24061,18689,9818,29222,21308,277146,7271,29377,18654,11518,2098,4265,24311,17054,7524,44893,32821,23676,15993,46255,26700,17242,8248,24310,16698,11913,5398,22298,10639,17234,8869,14160,6118,21716,10611,13523,2736,9179,4161,10886,17591,19374,10211,
营业利润(万元),61777,38506,11877,74920,57187,35226,10168,62365,46177,27866,7865,18621,7890,-4505,-24749,-69849,-23956,-13609,-3252,-12996,-1980,3561,-415,3214,3591,-2281,277,-97189,6460,6388,2239,2057,2944,2141,1512,957,597,309,-3187,-19591,6607,6190,3356,27182,20734,15537,12197,31381,12762,6631,2994,3583,4706,3895,1302,7587,3588,7088,3263,2153,893,7289,5164,13523,2738,9179,0,10886,10029,19374,10210,
投资收益(万元),30624,20243,6367,40149,27321,16943,5132,32563,23315,13712,4492,25851,18407,11002,450,1970,1782,1327,526,8256,5676,4517,3360,2901,1662,1235,619,2792,2025,975,275,2741,2212,1497,521,-313,96,81,20,71,191,168,23,80,66,43,14,13,76,71,-161,-312,-4,28,56,-21,43,187,0,306,122,116,-32,1423,483,1680,771,1066,756,74,-47,
营业外收支净额(万元),170121,256,40,645,-16,70,59,36909,160,127,78,33201,22281,20813,239,930,541,695,64,3188,3049,1064,1021,434,-574,-594,-26,632,--,559,--,--,--,81,-11,1936,0,0,0,102,0,0,0,104,0,0,0,-17,-128,0,0,150,101,-5,0,-151,0,-283,0,1813,0,0,0,0,-142,0,-24,0,--,--,--,
利润总额(万元),231897,38763,11918,75565,57171,35296,10227,99274,46337,27992,7943,51822,30171,16309,-24510,-68918,-23415,-12914,-3188,-9809,1068,4625,606,3648,3016,-2875,251,-96557,7132,6947,2303,3996,3056,2222,1501,2580,721,388,-3170,-19418,7012,6419,3354,27367,20694,15547,12107,31377,12711,6660,2831,5315,6892,3918,1345,7415,3486,11365,3366,4323,1066,9374,4978,14851,3079,12917,5056,11805,11118,18793,8961,
净利润(万元),200281,35205,10806,67468,50535,30888,8997,86390,40421,23866,6823,43671,24864,12543,-24511,-68900,-23417,-12886,-3189,-9789,1085,4642,624,3707,3093,-2825,283,-96701,6799,6680,2201,3775,2915,2149,1476,2161,386,157,-3231,-19750,5738,5313,2910,23753,18030,13584,10619,27554,10916,5659,2404,4402,6091,3455,1191,6568,3045,10123,2962,3796,953,8411,4470,13503,2819,11788,4542,10982,10323,17328,8308,
