报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.82,0.54,0.23,1.01,0.78,0.51,0.21,0.86,0.67,0.42,0.17,0.7,0.57,0.35,0.15,0.57,0.5,0.32,0.13,0.65,0.56,0.3,0.15,0.47,0.39,0.26,0.24,0.81,0.64,0.45,0.36,0.99,0.81,0.55,0.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,4.93,--,--,--,4.21,--,3.94,3.75,3.62,3.41,3.25,3.11,3.06,2.89,2.85,2.72,2.66,2.36,2.33,2.18,2.08,1.95,3.71,3.47,3.28,3.11,5.52,5.2,4.84,4.66,4.62,4.2,4.1,3.94,3.92,3.74,3.66,3.57,3.58,3.44,3.39,3.32,3.35,3.26,3.22,3.15,3.08,3,1.84,1.66,1.53,1.53,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.61,--,--,--,0.3,--,0.08,--,0.22,0.52,0.05,-0.77,-1.29,0.09,-0.33,0.66,0.26,0.32,0.27,0.53,0.29,0.23,0.34,0.91,0.7,0.27,-0.78,0.6,0.56,0.35,-0.42,0.91,0,0,0,0.69,0,0,0,0.37,0,0,0,0,0,0,0,0.11,0.09,-0.37,0.55,0,
主营业务收入(万元),907129,593973,293934,1153834,854456,558364,270489,1008147,744863,484112,237814,859163,637289,413150,202264,704225,506736,328826,161792,591804,439881,281373,139272,519460,387762,248019,124630,438547,325282,214942,106563,357379,265350,169653,84078,280704,211535,137284,68512,233388,173811,110907,55845,180101,132279,84821,43260,147204,106716,67054,34611,122382,58104,122089,109872,79441,
主营业务利润(万元),71392,44898,20366,89866,68255,44653,18048,73739,57029,33914,15336,55245,41035,25392,12956,43945,39387,25650,12882,51133,40087,25662,13006,45106,34659,22784,11248,39928,30169,20298,10661,36075,26546,16727,--,25064,19639,12968,6333,20242,15279,9960,5327,17886,13509,8778,4478,15872,11532,7522,3758,13134,6206,11393,11100,9316,
营业利润(万元),48827,32285,13608,58341,45673,29613,11932,43671,35545,21189,9526,29295,23721,14103,7735,24001,27026,17200,7883,36819,30697,18189,8826,27269,22651,15692,7636,22096,18719,12763,6357,19443,16194,10787,5438,10079,8667,5675,2694,5935,4869,3407,2151,5958,4646,3220,1996,5476,4544,3153,1658,4607,2485,3498,2594,1774,
投资收益(万元),8388,6096,1928,10046,7767,5331,2315,8909,6633,4001,1938,8584,6609,4426,1876,7296,5251,3443,1671,8234,6403,3040,1380,3406,2388,1651,674,2480,1478,1011,328,2379,1793,1258,562,1528,1195,918,704,1303,1131,937,498,18,49,35,35,39,20,20,0,15,15,0,0,0,
营业外收支净额(万元),2016,1225,423,4154,2921,2106,1012,9110,6180,4808,1413,13096,10667,7328,1441,--,3640,2456,-54,3064,3047,248,0,2255,1928,807,-17,2978,--,--,--,--,--,5,--,-80,0,0,-8,-37,0,0,0,-312,0,0,0,-105,0,0,0,0,0,0,0,0,
利润总额(万元),50843,33511,14031,62495,48594,31719,12943,52782,41725,25997,10939,42391,34389,21431,9176,34141,30666,19656,7829,39882,33744,18437,8826,29524,24579,16499,7618,25074,20098,14198,6352,19390,16115,10791,5440,11528,9855,6592,3390,7221,5949,4282,2594,5663,4379,3094,1868,5411,4465,3079,1626,4437,2356,3490,2584,1786,
净利润(万元),39133,26049,10909,48265,37485,24401,10202,41151,32124,19871,8261,33582,27339,16867,6961,27126,24035,15530,6162,31002,26606,14404,6987,22660,18855,12605,5814,19383,15237,10727,4762,13110,10714,7362,3726,8461,6781,4576,2372,5037,4283,3071,1824,3503,3066,2182,1254,3274,2991,2067,1066,2618,1447,1986,1399,1016,
