报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.2,0.13,0.05,0.23,0.16,0.11,0.05,0.23,0.18,0.11,0.1,0.55,0.46,0.31,0.13,0.44,0.33,0.24,0.12,0.49,0.43,0.42,
每股净资产(元),3.55,3.48,3.6,3.55,3.48,3.43,--,3.52,3.46,3.39,7.07,6.97,6.87,6.73,6.85,6.71,6.6,6.51,6.39,1.74,1.21,1.15,
每股经营活动产生的现金流量净额(元),0.27,0.12,0.04,0.33,0.33,0.12,-0.01,-0.04,0.01,-0.04,-0.05,-0.08,-0.06,-0.09,-0.18,-0.14,-0.27,-0.32,-0.2,1.12,0.36,0.34,
主营业务收入(万元),35259,23220,10969,51775,37822,24963,11376,50171,35628,22321,11095,42897,29880,19713,9151,38550,27271,17917,8367,33819,22070,20444,
主营业务利润(万元),10864,7157,3104,14485,10054,6734,2852,13391,9356,5642,2588,11247,7822,5168,2580,9060,6175,4227,2115,8144,6345,4626,
营业利润(万元),5035,3191,1335,5622,4199,2953,1110,5697,4415,2514,1164,5962,4811,3466,1645,5100,3735,2674,1107,4351,3244,2195,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,
营业外收支净额(万元),73,96,35,104,86,66,21,144,120,108,19,1003,954,399,22,92,21,5,0,253,232,333,
利润总额(万元),5108,3287,1370,5725,4285,3019,1131,5841,4535,2621,1182,6965,5764,3865,1667,5191,3756,2679,1107,4604,3476,2528,
净利润(万元),4236,2726,1139,4890,3456,2363,968,4975,3809,2261,1030,5919,4875,3278,1434,4388,3202,2263,946,3934,2967,2125,
净利润(扣除非经常性损益后)(万元),--,2645,--,4800,--,2307,--,4852,--,2172,--,5066,--,2939,--,4310,--,2259,--,3706,2717,1766,
经营活动产生的现金流量净额(万元),5853,2523,883,7094,7136,2591,-268,-935,276,-773,-548,-840,-601,-995,-1964,-1476,-2899,-3368,-2124,4460,2477,1761,
现金及现金等价物净增加额(万元),-960,-3793,-832,-3391,-1342,-4354,-1152,-10239,-8871,-8718,-2635,-8318,-3806,-5633,-2590,42124,41316,42641,50657,3295,1371,269,
总资产(万元),81677,80504,83113,82853,81166,77318,80858,82962,80850,76933,81367,81227,81316,76585,78187,77162,74931,74144,77239,23274,15893,13020,
流动资产(万元),58599,57628,60165,60881,59842,58270,62429,64823,63795,60998,67214,68397,70341,66327,68940,68267,67731,67537,71714,18244,13815,10924,
总负债(万元),5924,6260,6185,7063,6811,4055,4718,7790,6844,4476,5869,6759,7892,4758,5001,5469,4424,4576,8989,9376,6200,6294,
流动负债(万元),4889,5193,5085,5947,5679,2906,3553,6609,5646,3261,4637,5511,6628,3457,3322,3791,2741,2893,7306,7693,5607,6214,
股东权益不含少数股东权益(万元),75754,74244,76929,75790,74356,73263,76140,75171,74006,72457,75498,74469,73424,71827,73185,71693,70507,69568,68250,13898,9693,6726,
净资产收益率加权(%),5.57,3.57,1.49,6.48,4.58,3.1,1.28,6.68,5.13,3.08,1.37,8.13,6.72,4.57,1.98,7.82,6.27,5.42,6.58,33.32,36.14,38.38,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
