报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,
基本每股收益(元),-0.12,-0.17,-0.15,-0.55,-0.15,-0.12,-0.09,0.09,-0.33,-0.17,-0.11,-0.34,-0.33,-0.18,-0.11,0.03,-0.24,-0.14,-0.13,-0.19,-0.26,-0.42,-0.17,0.12,0.28,0.1,-0.02,0.02,0.05,0.06,0.07,0.22,0.08,0.05,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.58,2.73,2.8,2.91,2.64,2.74,2.75,2.88,2.81,2.64,2.89,3.06,3.22,3.04,2.92,2.94,2.88,3.17,3.22,3.15,2.97,2.94,2.9,2.9,2.7,2.71,2.8,2.78,2.7,2.78,3.36,3.23,3.01,2.75,3.04,2.9,2.59,2.77,2.04,1.91,2.07,1.93,1.78,1.66,1.78,2.01,1.82,1.67,1.77,1.64,1.7,1.59,3.09,2.79,2.86,2.73,3.34,3.51,2.64,1.5,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.06,0.2,0.5,0.45,0.34,0.06,-0.02,0.04,-0.15,-0.11,0.13,0.58,0.39,0.04,0.03,0.55,-0.2,-0.57,-0.4,0.37,-0.2,0.02,0.33,-0.28,0,0,0,1.03,0,0,0,0.91,0,0,0,0.69,0,0,0,1.43,0,0.49,--,0.7,0.33,0.57,0.16,0.59,--,0.06,--,--,--,--,--,--,--,--,--,0,
主营业务收入(万元),103024,65056,25869,123410,98150,52740,16314,111043,94294,56548,21061,126545,103105,70584,43282,241582,176859,114341,45499,160173,119239,70286,27753,186783,148787,87865,36535,315655,282190,194887,98495,362012,269263,146461,59555,386175,275468,160084,75030,303068,227401,151201,72735,243271,172317,110798,55483,186394,132698,80374,30664,162290,106230,66306,26889,108409,44586,88971,36959,60071,20013,39283,17807,42923,25293,42807,17909,41054,18307,61696,27622,59006,
主营业务利润(万元),-14142,-9985,-6586,-51394,-41181,-23242,-9462,-50929,-58419,-34871,-14357,-82944,-69767,-44427,-23883,-118646,-91379,-49602,-17973,-64498,-49809,-30336,-13007,-8218,1306,1394,-2879,-136675,-123240,-68670,-22549,-17405,-7868,-5291,--,-18546,-23265,-15362,-5382,-642,3158,8689,10319,49673,40315,21262,10531,49924,30131,17447,5763,53480,31656,22338,9434,26462,10963,14646,7797,16166,5402,11538,5404,5116,3509,932,254,2067,-444,16655,3022,22014,
营业利润(万元),-38244,-26198,-14626,-92907,-64767,-38538,-17060,-80441,-79481,-49689,-22510,-121114,-92596,-59668,-31600,-148931,-119055,-67678,-26392,-93039,-68869,-44232,-17988,-34029,-16125,-10496,-9029,-169969,-144994,-83343,-28864,-41126,-23906,-15435,-7230,-39288,-37297,-24024,-9921,-11937,-4986,2654,7174,40614,35707,18400,8886,46647,27536,16078,5158,47736,28387,19388,8352,23392,8591,10855,5954,7892,3627,7674,2922,5116,0,932,0,2067,0,8212,0,0,
投资收益(万元),-124,-88,-46,-173,-172,-127,-58,7926,--,--,--,--,--,--,--,2333,-6209,-3986,-1673,-4913,-2999,-3223,--,-983,27,--,--,--,--,--,--,0,0,--,0,-177,668,668,0,1065,1057,691,111,1382,618,426,0,209,0,0,0,-105,0,0,0,-102,0,0,0,916,1141,-1010,-291,3083,1847,3277,350,1004,628,1329,874,291,
营业外收支净额(万元),26564,13366,3705,51078,51716,28561,10636,89951,56477,38316,15309,97899,69347,47412,23396,151157,103409,58902,18434,83174,50488,17139,6964,47227,37668,18020,8363,176445,--,89453,--,--,--,--,--,13,0,0,-3,-244,0,0,0,494,0,0,0,3,3,0,-0,-1191,0,-56,0,-364,-365,-568,0,-3,0,-419,-1,2266,1020,3217,1985,2072,0,1189,848,285,
利润总额(万元),-11679,-12832,-10921,-41829,-13051,-9978,-6425,9511,-23004,-11374,-7200,-23215,-23249,-12255,-8204,2226,-15646,-8777,-7958,-9865,-18380,-27093,-11024,13198,21543,7524,-665,6476,8274,6111,5383,9496,3650,1521,-907,5504,-5793,-4691,-392,1011,-1333,4013,7958,43083,36886,19418,8885,54149,31229,19768,8687,51110,31556,20945,9965,27076,11381,16771,6447,12526,5382,9598,4703,10373,6376,7427,2589,5143,183,10726,4932,8946,
净利润(万元),-7277,-10255,-8845,-33051,-8920,-7525,-5218,5310,-19679,-10154,-6434,-20446,-19959,-10574,-6840,1753,-14337,-8486,-7984,-11464,-15631,-25507,-10489,7412,16788,6096,-1249,1076,2801,3026,3923,11809,4145,2563,98,6347,-4521,-3986,632,2992,-1612,2588,6757,43970,31770,17517,7976,47111,28682,17073,7182,36578,22663,14639,6931,20327,9674,14529,5480,11617,4746,8002,3954,9770,5993,7111,2395,4843,183,9984,4627,8280,
