报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.6,0.43,0.19,0.75,0.57,0.4,0.15,0.68,0.45,0.29,0.12,0.52,0.36,0.24,0.09,0.45,0.32,0.22,0.07,0.31,0.22,0.15,0.05,0.25,0.12,0.13,0,0.15,0,0.1,0.29,0.14,0.08,
每股净资产(元),5.36,--,5.31,--,4.42,4.18,4.08,--,3.72,3.56,3.51,--,3.21,3.08,3.06,2.97,2.84,2.73,2.64,2.57,2.47,2.4,2.35,2.31,2.26,0.97,0.91,0.85,0,0,0.71,--,--,
每股经营活动产生的现金流量净额(元),-0.52,--,-1.65,--,-1.48,-1.09,-1.26,--,-0.85,-0.51,-0.53,--,-0.28,-0.37,-0.42,-0.26,-1,-0.8,-0.43,-0.05,-0.82,-0.96,-1.02,0.45,0.43,0.47,0,0.14,0,0,-0.06,--,--,
主营业务收入(万元),61134173,41373389,19376730,80002875,56604737,37494094,16394607,68104799,47989233,30193394,12668484,57151584,39392642,25349201,10433594,48283664,34179765,21814053,8723074,37041753,24663314,15824164,6236660,26037964,17619538,11132757,4372211,20209680,14123994,9524592,16830581,13320597,10460868,
主营业务利润(万元),5160885,3772436,1523091,6977292,4455901,3229834,1269444,5608876,3754569,2514378,1067647,4762350,3207033,2121941,845812,3917300,2679351,1718725,730334,2964483,1889086,1276867,517459,2159235,1393277,934062,383921,1520125,1121993,820097,1475694,943132,770489,
营业利润(万元),3360877,2468484,965718,4221356,2839986,2076849,829039,3820983,2557576,1710531,668294,2938121,1961491,1304804,466094,2515764,1763399,1189919,441355,1879008,1207933,822282,285344,1270834,772624,525119,188648,670473,482378,430873,943871,477191,284347,
投资收益(万元),77127,59585,42943,232102,171275,128682,62421,537384,401562,298447,70016,299570,164593,102736,45126,199239,94954,79022,24807,155570,58297,46596,-408,21372,8224,9018,8478,32324,11617,9784,70144,108484,21369,
营业外收支净额(万元),29292,14000,16639,112254,63094,48853,16226,58877,44184,24038,15978,77973,52724,40784,16719,73453,49491,33369,5841,85031,87735,84580,8103,17580,7044,6464,5527,15677,38155,5375,21703,2412,8138,
利润总额(万元),3390169,2482485,982357,4333610,2903080,2125702,845266,3879860,2601761,1734569,684272,3016093,2014214,1345588,482813,2589217,1812890,1223288,447195,1964039,1295668,906862,293447,1288414,779668,531583,194175,686150,520533,436248,965573,479602,292484,
净利润(万元),1904355,1373284,562484,2256997,1690184,1181539,462593,2039851,1342001,878945,356892,1573524,1067873,717396,255861,1353697,960152,652869,220531,923729,655986,463418,138627,572980,366621,234611,84260,274548,247660,188733,491697,241152,139544,
