报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.2,0.14,0.05,0.3,0.18,0.13,0.04,--,0.2,0.16,0.05,0.3,0.19,0.12,0.05,0.33,0.21,0.14,0.05,0.3,0.17,0.12,0.08,0.56,0.33,0.2,0.08,0.6,0.33,0.21,0.1,0.39,0.27,0.21,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.65,--,2.51,2.29,2.91,2.86,2.74,2.66,2.62,2.57,2.44,2.39,4.68,4.6,4.37,4.25,5.03,4.96,4.71,4.58,4.49,5.44,1.71,1.65,1.55,1.71,1.61,1.56,1.5,1.45,1.45,1.43,1.39,1.41,1.43,1.42,1.41,1.4,1.34,1.57,1.58,1.6,1.49,1.48,1.45,1.47,1.49,1.48,1.49,2.21,2.13,2.06,1.92,3.25,1.54,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.29,--,-0.46,-0.3,-0.27,0.53,-0.69,-0.62,-0.29,0.01,-0.53,-0.31,-0.26,1.41,-1,-0.62,-0.1,1.44,-0.56,-0.15,0.2,-0.55,0,-0.64,-0.34,0.63,0,0,0,0.42,0,0,0,0.13,0,0,0,0.6,0,0,0,0,0,0.11,--,0.07,0.14,0.41,0.29,-0.14,0.19,0.09,--,--,--,--,--,
主营业务收入(万元),287230,200483,84843,466410,298811,220643,87575,480353,298603,207644,78559,426089,270181,177667,67014,361126,219939,148879,54068,303119,166934,113941,42203,240677,143511,87558,32107,199431,124546,81491,45085,101217,63331,45605,24136,89443,40116,25719,14191,44118,36754,22684,7946,34321,20098,11585,6549,41461,24814,12380,976,34619,13222,9034,2649,28074,11846,29392,15649,16474,6982,15722,7509,19021,12127,17583,12433,
主营业务利润(万元),42379,28920,11188,68216,40204,26920,10244,56390,40740,27636,11191,56344,36203,23450,9176,49381,30326,22053,8816,42383,25432,17172,6573,35244,22617,13816,5130,30049,18618,12535,6195,11563,6895,4819,--,11751,7513,5094,2944,6547,4818,3029,972,8675,6367,4297,1996,8508,5103,2746,450,7399,2067,806,437,2611,1531,2582,2614,1518,692,1542,991,1299,926,1507,1053,
营业利润(万元),25102,17373,5342,41026,25009,17957,6189,31191,25768,17000,5957,29346,21915,14345,4786,25749,17535,12897,4138,23876,14863,10279,3360,21567,14108,8445,2910,20642,12615,8126,3875,10798,7207,5496,1751,7686,4483,3114,1973,2283,1417,298,-487,1742,1763,1089,818,4532,2263,884,-436,4546,516,-108,-158,889,551,1763,2762,1702,653,1297,742,1983,1656,2006,1320,
投资收益(万元),105,105,82,-30,10,--,--,921,921,921,--,-2,-2,-2,--,-119,-6,-6,--,--,--,--,0,--,--,--,--,-110,-80,-54,-26,2653,2638,2692,-42,-941,-729,-541,-258,-1181,-695,-352,-109,-687,-454,-289,-150,-484,-337,-202,31,168,277,391,-169,921,589,846,413,850,268,1691,552,989,50,159,0,
营业外收支净额(万元),2962,2034,1382,5601,1418,861,329,7200,1281,865,305,5563,832,507,132,2534,289,107,34,939,367,255,258,475,462,460,10,-125,--,--,--,--,--,--,--,-55,0,0,0,-41,0,0,0,-23,0,0,0,-62,0,0,0,-447,-0,-1,0,-135,0,-24,0,15,0,0,0,0,0,0,0,
利润总额(万元),28064,19407,6724,46627,26426,18818,6519,38391,27049,17865,6262,34908,22747,14851,4919,28283,17823,13004,4172,24815,15230,10534,3618,22042,14570,8904,2920,20517,12526,8034,3878,10822,7250,5505,1751,6818,3823,2622,1717,1177,809,15,-539,1141,1416,895,752,3986,1906,662,-425,4267,930,420,-328,1675,1153,2586,3172,2897,1144,3115,1418,3678,1926,2150,1411,
净利润(万元),23987,16769,6080,35635,21416,15952,5146,30580,21828,14659,4316,27053,17364,11388,3691,23256,14984,9886,3246,20956,11743,8334,2867,19589,11560,7143,2265,17558,9841,6074,3000,8780,6094,4758,1478,5515,3210,1988,1207,644,955,381,-434,336,793,463,335,2343,1090,320,-455,2508,422,219,-378,1031,808,1719,1975,2202,867,2932,1263,2769,1307,1493,946,
