报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.22,0.3,0.13,0.47,0.41,0.28,0.12,--,0.41,0.28,0.1,0.47,0.37,0.27,0.42,0.35,0.3,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.14,2.03,1.76,1.41,1.05,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.12,-0.06,0.22,0.12,0.32,
主营业务收入(万元),56910,42942,16794,60767,50154,38347,17339,76362,60596,41671,16363,74155,55016,36576,59562,44258,39869,
主营业务利润(万元),22969,17802,7352,27107,22878,16913,7301,31288,24271,16940,6567,30365,22618,15915,27075,20898,17557,
营业利润(万元),15258,12690,5257,17356,16164,11818,5175,21270,16997,11635,4421,16908,13085,9452,16555,14353,11556,
投资收益(万元),1896,929,370,2776,1840,1079,518,1920,641,146,85,366,5,58,320,684,649,
营业外收支净额(万元),1186,627,195,3567,2220,769,148,2813,1690,1147,69,3632,1979,1353,837,433,249,
利润总额(万元),16444,13316,5452,20923,18385,12587,5323,24083,18687,12782,4490,20540,15065,10806,17392,14786,11805,
净利润(万元),14669,11845,5023,18732,16273,11213,4945,20728,16394,11254,4143,17534,13248,9584,15052,12721,10621,
净利润(扣除非经常性损益后)(万元),12867,10523,4424,16822,14856,10192,4376,--,--,10909,4065,17133,--,9597,14791,12353,10023,
经营活动产生的现金流量净额(万元),6631,4082,3421,9228,5448,2294,-858,22834,15459,10551,2251,-1589,-4624,-2333,8088,4466,11523,
现金及现金等价物净增加额(万元),-535,5708,1692,-484,-388,5913,-1442,-58404,-51077,-53794,-8733,39449,38091,-5847,6650,2557,6703,
总资产(万元),201494,203736,202992,204204,196302,190863,191613,191386,182625,176542,176087,174990,168546,120407,113283,82841,61813,
流动资产(万元),165165,168538,171918,172889,167805,163718,166222,166521,161021,155218,155580,154648,149270,101327,94004,68484,47904,
总负债(万元),27264,27549,33663,39941,37311,36996,39273,44051,39696,38824,41540,44658,42563,47344,49908,32189,23942,
流动负债(万元),24238,24412,30478,36721,33996,33645,35977,40753,36352,35999,39338,42471,40198,45018,47657,31038,22786,
股东权益不含少数股东权益(万元),171528,173469,166594,161517,158992,153867,152340,147335,142929,137719,134546,130332,125982,73064,63374,50652,37871,
净资产收益率加权(%),8.74,7.07,3.06,12.16,10.61,7.37,3.3,--,--,8.31,3.13,20.74,18.93,14.06,27.07,28.75,28.97,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
