报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.32,0.31,0.87,0.61,0.4,0.86,0.85,0.78,
每股净资产(元),--,--,4.54,--,4.07,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,0.65,--,0.16,0.46,0.58,0.78,
主营业务收入(万元),37533,24412,51457,36365,23400,42145,36707,33928,
主营业务利润(万元),8085,6380,12546,9308,6081,11126,10514,9817,
营业利润(万元),3169,2909,6885,5106,3484,6266,6072,6052,
投资收益(万元),--,--,--,--,--,--,--,--,
营业外收支净额(万元),37,34,344,107,82,426,884,255,
利润总额(万元),3206,2943,7229,5213,3565,6692,6956,6307,
净利润(万元),2201,1971,5239,3631,2403,5179,5098,4702,
净利润(扣除非经常性损益后)(万元),2173,1945,4981,3544,2339,4860,4435,4511,
经营活动产生的现金流量净额(万元),652,1696,3891,-78,988,2732,3473,4665,
现金及现金等价物净增加额(万元),3806,22936,367,-2861,-1343,236,-2863,3611,
总资产(万元),63001,69826,46720,--,39743,36506,29346,26048,
流动资产(万元),42526,49755,27494,--,24490,23427,20623,18907,
总负债(万元),8191,15246,19464,--,15323,13781,11799,13601,
流动负债(万元),7831,14840,18969,--,14742,13116,10975,12628,
股东权益不含少数股东权益(万元),54810,54580,27256,--,24420,22725,17546,12448,
净资产收益率加权(%),5.55,6.07,21.16,15.14,10.24,25.72,34,46.57,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
