报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.42,0.27,0.08,0.5,0.35,0.27,0.13,0.41,0.35,0.19,0.07,0.18,0.29,0.24,0.15,0.69,--,--,--,0.92,--,--,--,0.52,--,--,--,0.46,--,0.45,0.99,0.34,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.1,--,4.91,--,4.94,4.96,5.06,4.74,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.01,--,-0.06,-0.04,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),1895381,1144967,539531,2237593,1564419,1076640,475041,1882420,1243177,809777,397582,1287401,863787,547557,241877,1098009,763878,511616,270881,874234,620560,413266,204596,705657,459725,275025,116516,693119,3254395,2147181,4240668,2974304,2078094,1918656,
主营业务利润(万元),177952,107484,46776,263251,160055,106360,35705,204208,115372,61911,21281,68375,40920,25554,11565,46804,38404,39118,22983,78294,49750,33725,14437,48461,34447,23472,11696,46606,539072,403643,721376,500763,343000,389248,
营业利润(万元),225590,131764,19161,269588,206863,163065,83155,299947,216606,115688,45537,95706,159196,136566,84219,318399,241538,170529,147152,504022,447676,319129,188653,368024,269267,152055,77793,287641,377199,268647,499787,306016,305875,274286,
投资收益(万元),322691,202976,60655,420980,300183,217078,116841,399535,303581,185399,97819,264392,270837,215672,119031,465055,327836,204316,154173,577903,465429,324038,199920,438983,307058,169017,84640,333309,58457,41466,84038,36834,93136,16297,
营业外收支净额(万元),49634,48530,31281,35771,20278,17513,1754,-35375,4034,3625,634,4278,14679,1674,1685,87330,6189,-6878,-2667,48067,11830,5932,2791,-44229,-2614,-4856,-7888,6164,5266,1756,4052,-3309,-1229,-40088,
利润总额(万元),275224,180293,50442,305359,227141,180578,84909,264572,220641,119314,46171,99984,173875,138240,85903,405730,247727,163651,144485,552089,459506,325061,191444,323795,266653,147199,69905,293804,382465,270402,503839,302707,304646,250536,
净利润(万元),270170,175010,52987,318589,227225,172515,84921,266892,224243,121827,47825,113358,183820,148137,90196,427162,260275,171423,144029,429412,332016,229601,134918,202996,153932,73644,35552,159690,208634,156963,347706,118497,151999,73228,
净利润(扣除非经常性损益后)(万元),218976,127748,21652,277761,212715,161193,83388,308597,220999,118306,--,113064,--,149341,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),192761,16145,-36796,110478,31323,8773,5317,97839,33382,-3550,-5682,95608,-37614,-25956,-32717,-28716,-103937,32381,31741,-62754,-53233,-32997,-27217,-4630,8315,8600,6411,-12866,301720,209957,469615,516195,363780,221877,
现金及现金等价物净增加额(万元),-244279,-129040,-160758,-105768,6248,-251364,21268,387394,415974,498408,270737,-196856,-163886,-159570,-230506,159554,85776,176583,-65206,118120,131664,-30374,-49449,701786,551345,712377,-43994,187533,157818,157191,272833,216974,79587,188066,
总资产(万元),6231607,6403074,6234852,6231836,6079782,5626779,5955817,5778990,5578537,5521578,5414795,4938173,4951541,4826349,5178312,4433702,4188442,4218678,3983496,3825019,3718427,3560295,3457998,3262240,3193369,3139684,2399816,2330856,3021160,2862633,2669111,2122255,1648786,1482635,
流动资产(万元),2352358,2736438,2530681,2697420,2727199,2437752,2667913,2651383,2442207,2541407,2421122,2027438,2067278,2254316,2097903,2189323,2157686,2263981,1881282,1960266,1913176,1879857,1715536,1746705,1653197,1596561,900893,967239,1921599,1827452,1679318,1261743,967385,1051559,
总负债(万元),2449746,2670970,2574669,2620313,2564169,2114844,2469886,2372708,2213933,2215891,2168162,1737012,1681669,1544036,1821065,1420220,1339188,1452690,1259701,1245614,1176359,1122434,1130534,1122800,1110705,1090189,433489,453781,1101132,1021300,1014836,904265,609722,631048,
流动负债(万元),1606885,1865234,1770940,2024543,1999776,1554310,1905466,1808290,1669859,1654293,935904,886752,841731,722549,996286,597171,498676,622692,437245,422361,355693,295526,294865,290465,278716,274533,275157,302552,956081,876926,870929,853612,524912,619347,
股东权益不含少数股东权益(万元),3695328,3655474,3584914,3531927,3437283,3433933,3410600,3325781,3282043,3217926,3157022,3108985,3176788,3188566,3258312,2915877,2745745,2659646,2700176,2556147,2516382,1531901,1438074,1301204,1243480,1242918,1199453,1136315,1178547,1134887,977809,637203,542489,379563,
净资产收益率加权(%),7.42,4.84,1.49,9.27,6.65,5.06,2.52,8.28,6.98,3.85,1.53,3.68,5.88,4.75,3.05,15.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
