报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.56,0.32,0.15,0.62,0.47,0.25,0.13,0.78,--,0.35,0.18,0.6,0.41,--,--,
每股净资产(元),3.44,3.2,--,3.18,3.03,2.81,4.53,2.8,--,2.37,--,2.02,1.42,1.04,0.88,
每股经营活动产生的现金流量净额(元),0.49,0.36,0.17,0.52,0.35,0.2,0.09,0.65,--,0.32,0.09,0.46,0.21,0.17,0.1,
主营业务收入(万元),20224,11778,5909,23951,18111,10529,5192,19361,--,8765,4305,14752,10318,5933,3741,
主营业务利润(万元),19132,11106,5624,22847,17250,10028,4967,18321,--,8273,4060,13752,9490,5332,3280,
营业利润(万元),10417,5792,2877,11241,8258,4116,1495,8169,--,3570,1830,6036,4117,1864,978,
投资收益(万元),56,56,54,125,60,--,--,--,--,--,--,--,--,29,124,
营业外收支净额(万元),316,276,4,647,467,443,69,142,--,60,40,304,276,205,3,
利润总额(万元),10733,6067,2882,11888,8724,4559,1564,8311,--,3630,1870,6340,4393,2069,981,
净利润(万元),9127,5133,2417,9955,7510,3934,1335,7056,5608,3153,1611,5377,3726,1841,1051,
净利润(扣除非经常性损益后)(万元),--,4851,--,9300,--,3558,--,6936,5515,3102,--,5118,3492,1666,1049,
经营活动产生的现金流量净额(万元),7898,5831,2697,8370,5589,3248,944,5830,3910,2874,851,4117,1915,1454,1263,
现金及现金等价物净增加额(万元),-2940,5943,3489,17214,15121,16207,20852,3928,--,2174,521,2205,1457,-1606,1060,
总资产(万元),57775,53475,50532,53131,50833,46696,47586,26395,25097,22352,--,19111,14719,11052,12138,
流动资产(万元),46761,43619,41547,44692,43207,39174,40474,19508,--,16264,--,13485,9499,5795,7547,
总负债(万元),2140,1834,1608,1775,1923,1362,1821,1204,1353,1063,--,973,1958,2008,949,
流动负债(万元),1745,1439,1453,1620,1636,1362,1821,1204,--,930,--,796,1692,1654,507,
股东权益不含少数股东权益(万元),55636,51641,48924,51355,48909,45334,45765,25191,23743,21288,--,18136,12758,9042,11186,
净资产收益率加权(%),17.32,9.97,4.6,21.63,16.8,9.22,3.76,32.57,--,16,8.51,34.81,34.17,15.2,9.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
