报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.02,0.02,0.01,0.06,0.02,0.03,0.01,0.05,0.08,0.04,0.01,0.26,0.22,0.09,0,0.52,0.34,0.55,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,3.92,3.88,3.76,1.88,1.88,1.69,1.36,1.49,2.25,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.64,-0.37,-0.02,0.32,0.39,0.35,0.24,-0.17,
主营业务收入(万元),104040,63875,19036,49878,29915,17913,8257,38548,33418,17384,6756,42457,33006,13450,3516,49343,33884,48573,33932,25885,
主营业务利润(万元),7492,5605,1526,7283,4302,2382,1026,7611,6477,2792,1111,11284,8377,3661,973,16850,11470,13849,9802,5370,
营业利润(万元),1615,1434,348,1375,646,630,169,1023,1724,765,36,5295,4327,1522,22,8896,5798,8590,5030,2128,
投资收益(万元),187,167,114,442,338,141,102,309,47,46,21,35,46,19,16,294,200,--,--,6,
营业外收支净额(万元),-6,3,10,11,-27,14,-1,181,160,151,147,237,-2,-9,13,292,176,1024,151,13,
利润总额(万元),1609,1437,359,1386,620,644,167,1204,1884,916,182,5531,4325,1512,35,9187,5974,9614,5181,2141,
净利润(万元),1153,1013,228,1177,470,509,130,1013,1656,777,147,4499,3667,1280,29,7839,5057,8252,4526,1846,
净利润(扣除非经常性损益后)(万元),1131,992,215,1165,507,523,128,792,1473,659,21,4275,--,1287,12,7414,--,7268,4376,--,
经营活动产生的现金流量净额(万元),-19138,-21382,-10055,1819,2265,3254,-2513,2140,-911,-1473,-295,-12393,-12725,-7376,-228,4748,5811,5242,2246,-740,
现金及现金等价物净增加额(万元),-15556,-15975,-275,6089,-5108,-7429,1559,-9533,-2330,-3642,-1057,23151,26060,37257,-582,-1452,-441,2038,7,-267,
总资产(万元),117126,119847,123433,109109,106040,102275,96809,100342,97137,97809,92697,91850,95434,96484,54096,50582,46195,38618,37320,31820,
流动资产(万元),89777,92146,95592,80932,80619,77166,71528,74859,72129,72954,68044,67185,73864,75462,35895,33213,30083,28743,31739,25586,
总负债(万元),35075,37947,41955,27908,27289,23525,17976,21682,17876,19471,14028,13373,17821,21379,25861,22377,20772,18251,23472,22272,
流动负债(万元),35075,37947,41954,27908,27289,23528,17976,21679,17871,19474,14028,13372,17821,21379,25859,22375,20760,18237,23472,22272,
股东权益不含少数股东权益(万元),80291,80106,79774,79501,78751,78750,78833,78660,79261,78339,78668,78478,77614,75104,28235,28205,25423,20366,13847,9548,
净资产收益率加权(%),1.44,1.27,0.29,1.49,0.6,0.65,0.16,1.29,2.09,0.98,0.19,8.43,8.11,4.44,0.1,32.28,22.09,46.94,38.69,21.29,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
