报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),-0,-0.03,-0.02,0.08,0.02,-0.04,-0.05,0.11,0.04,0.02,-0.03,0.09,0.08,0.09,-0.03,0.51,0.26,0.19,0.5,0.33,0.29,0.29,0.33,0.19,
每股净资产(元),2.62,2.6,2.69,2.7,2.64,2.58,3.99,4.03,3.96,3.95,3.9,3.92,3.91,3.92,5.81,5.85,5.63,2.27,2.31,1.52,1.74,1.46,1.5,0.8,
每股经营活动产生的现金流量净额(元),-0.04,-0.11,-0.1,0.05,-0.12,-0.09,-0.1,0.4,0.05,-0.09,-0.25,-0.18,-0.41,-0.19,-0.34,0.02,-0.28,-0.07,0.36,0.21,0.23,0.15,0.19,0.14,
主营业务收入(万元),9554,6013,1643,14993,10069,3227,1189,14529,9462,7438,3481,17149,12065,9276,2026,19938,12675,7879,17477,12220,8312,10615,9309,6952,
主营业务利润(万元),3654,1691,630,7514,4477,1226,478,6116,4103,3157,968,6065,4091,3219,315,8019,5025,3304,7580,5593,4092,4387,3842,2811,
营业利润(万元),-937,-1334,-947,841,93,-1094,-726,358,-130,269,-521,713,698,1041,-633,3693,1772,1346,3901,2148,2185,1527,1872,1232,
投资收益(万元),442,229,17,-31,-21,5,19,0,-0,-0,-0,-2,-2,-1,-1,-19,-12,-10,60,-88,-78,-61,-129,--,
营业外收支净额(万元),530,470,414,999,258,192,28,1143,899,245,158,884,794,613,306,1095,781,360,414,526,190,683,--,194,
利润总额(万元),-407,-864,-533,1839,351,-902,-699,1502,769,514,-363,1598,1492,1654,-327,4788,2553,1706,4316,2674,2375,2209,2465,1425,
净利润(万元),-113,-623,-435,1888,388,-886,-705,1669,601,373,-387,1431,1246,1390,-327,4219,2000,1415,3720,2339,2033,2036,2278,1354,
净利润(扣除非经常性损益后)(万元),--,-706,--,1301,--,-942,--,1159,--,185,--,978,--,1194,--,3453,--,1291,3317,2047,1891,1537,1730,1361,
经营活动产生的现金流量净额(万元),-851,-2462,-2257,1129,-2690,-2075,-1575,6058,832,-1412,-3859,-2710,-6205,-2976,-3474,222,-2874,-551,2751,1581,1638,1119,1305,1006,
现金及现金等价物净增加额(万元),-15673,-22566,-8323,-1757,-4424,-4737,-1821,3942,-425,-2004,-4272,-6085,-5910,-4865,-3593,37129,34907,-2486,2631,-2955,-3267,1557,2258,2220,
总资产(万元),65135,63241,65795,67161,65266,61301,62605,64230,62621,62879,61900,63644,64800,66132,62555,64247,62073,20224,22267,14957,16214,17442,14327,8213,
流动资产(万元),54978,53470,56087,57860,57170,53021,55186,56897,55614,56358,55477,57479,61590,62956,60129,61793,59930,18139,20357,12959,12674,15400,12047,7964,
总负债(万元),3557,2128,2520,3353,2858,1836,1611,2531,1991,2476,2256,3612,4953,6141,3262,4626,4671,2940,4727,3402,4043,6335,3797,2600,
流动负债(万元),2187,1800,2172,3053,2615,1469,1452,2364,1828,2042,1806,3136,4553,6139,3258,4619,4583,2829,4712,3379,3730,6288,3797,2600,
股东权益不含少数股东权益(万元),60107,59598,61622,62057,60558,59284,60994,61699,60630,60403,59644,60031,59847,59991,59293,59621,57402,17284,17541,11555,12171,11106,10530,5613,
净资产收益率加权(%),-0.19,-1.02,-0.7,3.06,0.64,-1.46,-1.15,2.74,1,0.62,--,2.39,2.07,2.3,-0.55,14.99,11.6,8.26,24.29,21.23,16.95,19.67,28.06,31.41,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
