报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
基本每股收益(元),0.04,0.01,-0.07,-0.25,-0.1,-0.03,-0.03,0.05,-0.22,-0.18,-0.06,-0.3,-0.06,0.04,0.03,0.31,0.22,0.11,0.03,0.04,-0.24,-0.14,0.04,-0.49,-0.44,-0.15,0.05,1.24,1.65,1.35,1.08,0.42,0.76,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.26,5.36,5.35,5.32,5.24,5.12,5.05,5.02,4.76,4.86,6.54,6.47,6.55,6.81,7.31,7.25,7.48,6.52,5.14,2.81,2.39,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.45,-0.43,-0.26,0.73,0.44,0.14,-0.28,0.99,0.27,0.04,0.12,1.92,1.08,0.66,1.2,0.4,0.81,1.52,2.14,1.85,0.74,
主营业务收入(万元),330561,213505,90914,423958,331402,222916,106037,424296,300199,182035,90062,398107,299876,201562,95744,412227,296947,187483,83161,327651,234123,166623,103848,235069,167882,116427,64368,296391,231012,148753,227246,149820,111486,
主营业务利润(万元),37608,23039,7086,23877,20764,14365,7539,25518,14002,8854,6098,18785,18964,14465,6803,38359,29012,17369,7578,20688,9070,7557,6831,6750,6257,6832,6214,50873,50998,38890,41197,23033,26445,
营业利润(万元),2209,331,-4748,-19711,-10906,-5793,-1648,-8384,-9400,-6760,-2225,-11235,-2747,893,726,9427,7496,3566,1089,-1913,-6543,-3784,1051,-14844,-10392,-4601,-84,24442,30526,24990,18660,9580,14214,
投资收益(万元),3165,3070,-227,156,231,232,218,99,33,62,114,1435,1479,1479,1555,879,177,164,128,88,97,45,32,138,91,43,--,59,44,36,-3,300,165,
营业外收支净额(万元),408,226,-51,3561,3912,3711,348,9559,676,229,51,51,594,245,75,509,218,88,27,3176,295,190,155,1872,1532,1500,1481,564,546,-19,-254,-141,-63,
利润总额(万元),2617,557,-4799,-16150,-6994,-2082,-1300,1175,-8724,-6532,-2174,-11184,-2153,1138,800,9936,7714,3654,1115,1263,-6248,-3593,1207,-12972,-8861,-3101,1397,25005,31072,24971,18406,9439,14151,
净利润(万元),1882,367,-3692,-12387,-4907,-1298,-841,1319,-6228,-4680,-1631,-7942,-1590,1084,662,8013,5799,2824,879,1038,-6349,-3615,851,-9942,-8881,-3112,1040,20213,24838,20323,16259,6340,11337,
净利润(扣除非经常性损益后)(万元),-807,-2207,-3677,-15170,-7958,-4158,-1136,-6023,-6870,-4942,-1668,-9185,--,-95,--,7411,--,2662,--,-1544,--,-3766,0,-11376,--,-4233,0,19592,0,20335,16447,6247,11272,
经营活动产生的现金流量净额(万元),34536,18893,8896,22342,10467,13485,9071,37401,23676,9943,205,-1145,-11890,-11201,-6702,18990,11380,3747,-7422,25898,7167,1042,2462,38629,21766,13241,24124,7948,16320,22835,32066,27840,11179,
现金及现金等价物净增加额(万元),19448,6788,12345,-1703,11300,-4547,-1015,-13709,-7937,-7645,-14631,19743,18169,12917,6719,-10025,-1753,-6969,-9890,-3243,-7972,-4816,-3647,-3016,-1497,4483,5081,10592,42239,-1478,6252,1666,-6654,
总资产(万元),673316,704259,702909,629247,609523,554592,548523,514479,477695,437441,413905,407590,401394,394302,383759,376327,365492,361871,350097,335674,333422,326479,326385,328416,327661,331769,326587,318701,330707,282108,262402,250568,174249,
流动资产(万元),198870,211203,195652,173037,196270,169505,186277,171011,152032,142807,137637,146501,174961,167664,155211,145148,154096,146944,133467,114382,110465,103213,106283,105170,111468,115923,109710,101852,115401,67730,55163,53309,48116,
总负债(万元),376047,486588,492369,442074,423856,368303,361236,326926,295560,299195,276763,273256,263678,253910,243766,237002,228364,227725,217898,204353,208863,199330,194706,198164,195654,194650,179235,172668,180209,184152,185184,208348,138359,
流动负债(万元),285077,389893,397385,379735,349079,330551,339223,310108,277868,280460,263199,265752,257460,251129,240897,232583,223718,223080,213112,198567,196781,187203,182477,180434,172449,163939,152512,133445,130459,124422,127454,131162,74359,
股东权益不含少数股东权益(万元),297136,217536,210382,187034,185522,186150,187131,187397,181996,138106,136988,134180,137569,140243,139821,139159,136945,133970,132025,131146,124429,127007,131534,130108,131796,136895,147121,145814,150434,97900,77161,42174,35835,
净资产收益率加权(%),0.91,0.18,-1.86,-6.62,-2.63,-0.69,-0.45,0.84,-4.27,-3.44,-1.2,-5.88,-1.15,0.78,0.47,5.93,4.33,2.13,0.67,0.79,-4.99,-2.81,0.65,-7.17,--,-2.2,0,15.5,0,23.22,27.42,16.25,35.59,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
