报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.14,0.19,0.03,0.54,0.23,0.16,0.05,--,0.35,0.16,-0.06,1.24,0.03,0,0,0,0.02,0.01,0,0.13,0.15,0.01,-0,-0.15,-0.12,-0.1,-0.02,-0.11,-0.07,-0.02,0.02,0.9,-0.08,-0.09,-0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.81,--,2.7,--,1.29,--,2.17,--,--,--,1.23,1.3,-0.35,-0.38,-0.38,-0.38,-0.37,-0.38,-0.39,-0.39,-0.37,-0.51,-0.52,-0.52,-0.23,-0.22,-0.14,-0.12,-0.05,-0,0.04,0.02,-0.96,-1.02,-1.02,-0.97,1.2,1.29,1.38,1.47,3.25,3.46,3.57,3.58,3.57,3.46,1.46,1.84,1.83,1.7,
每股经营活动产生的现金流量净额(元),-0.09,--,-0.24,--,0.06,--,-0.34,--,0.66,0.39,0.08,0.77,0.03,0.02,0.02,-0.01,0.04,0.05,0.09,0.09,0.01,0.03,0.01,-0.07,-0.09,0,-0.01,-0.08,-0.09,-0.09,-0.08,0.76,0,0,--,-0,0,0,0,0.14,0,0,0,-0.42,0,0,0,1.7,0.79,0,
主营业务收入(万元),93579,71516,19889,85158,47990,32240,8765,58162,28505,14847,8,57398,4100,2819,1536,4904,3584,2222,799,6460,4308,2986,1263,2170,621,97,0,1948,1922,1512,1197,1650,560,24,22,2886,1631,1495,1219,3950,3125,1851,1227,15024,9798,4931,2659,29948,38402,36259,
主营业务利润(万元),26612,23160,3978,49112,27677,17976,2334,41812,19160,9508,-12,39360,1016,677,360,1189,840,489,141,790,502,290,111,317,152,63,-0,308,287,423,463,88,-134,20,22,-836,32,26,31,-242,260,-47,188,4600,3555,1623,997,7538,9094,7589,
营业利润(万元),11075,14364,2925,32839,19217,13073,2498,30553,13443,6181,-1716,31084,163,103,102,240,306,192,20,1469,1531,81,-12,-1326,-622,-474,-201,-1148,-656,-199,215,-1577,-1943,-897,-355,-6318,-1304,-880,-372,-5781,-2538,-1028,-268,1557,1639,414,106,3645,3699,3645,
投资收益(万元),-432,-423,-253,-1073,-18,-14,-14,--,--,--,--,--,--,--,--,--,--,--,--,1309,1309,--,--,--,0,--,--,--,--,--,--,--,0,0,0,-7799,-1121,-756,-380,-8299,-672,-328,0,0,0,0,0,0,0,0,
营业外收支净额(万元),3181,2464,140,-16,-5,59,-1,697,-1,-5,-1,905,265,-0,-0,26,10,19,-0,-22,-26,--,--,-115,-512,-510,-1,--,--,--,--,--,--,--,-117,-8031,0,0,0,-5085,0,0,0,393,0,0,0,14,0,0,
利润总额(万元),14255,16827,3065,32823,19212,13132,2497,31250,13442,6175,-1717,31989,428,103,102,267,316,211,20,1447,1505,81,-12,-1441,-1135,-984,-202,-1151,-658,-200,215,9064,-807,-895,-472,-22148,-2423,-1631,-745,-19165,-3163,-1307,-284,1951,1666,440,111,3659,4001,3654,
净利润(万元),9699,12511,1951,22887,13303,9047,1413,22807,9804,4482,-1689,23790,297,28,43,42,156,118,14,1328,1492,73,-16,-1451,-1146,-986,-202,-1114,-658,-201,215,9005,-754,-846,-459,-22103,-2412,-1625,-745,-19096,-3141,-1286,-284,1562,1416,391,95,3095,3418,3106,
净利润(扣除非经常性损益后)(万元),8362,11191,1846,22899,13307,9019,1414,--,9805,4486,--,23111,--,-202,--,-404,--,-132,--,-373,--,73,--,-1336,--,-475,--,-1112,0,-199,--,-2045,0,-891,--,-18073,0,-1630,0,-18178,0,-1454,0,1105,0,225,0,0,0,0,
经营活动产生的现金流量净额(万元),-6148,7155,-17282,7312,3359,1741,-9499,38895,18644,11042,2305,14767,286,245,160,-117,412,467,920,892,89,253,67,-738,-893,25,-84,-780,-861,-908,-758,7616,9,9,-0,-36,-36,-19,5,1225,3791,6639,3519,-3778,-8641,-8325,-5277,11170,0,0,
现金及现金等价物净增加额(万元),-1985,27241,13228,10695,-7850,-14063,-8203,-3597,-7588,-10989,-7826,11308,-514,-555,-640,566,1094,1150,920,162,-41,123,-63,11,-94,25,-85,-780,-861,-908,-758,922,-1,-1,-0,-74,-75,-57,-25,-10437,-9604,-6642,-1283,-5475,374,1226,-7391,8295,0,0,
总资产(万元),299843,304535,296969,149189,146501,139223,145386,145817,81810,71253,42584,50628,9321,9469,9154,9601,10026,9850,8367,7689,8196,7997,7917,8042,11180,11478,11125,10557,10897,11119,11414,10753,10636,12069,12121,12315,35319,35759,37684,36551,52051,55300,63469,63456,60217,53795,33866,33273,28411,26876,
流动资产(万元),97521,114393,111765,35115,36245,30379,38035,37908,57841,49253,21423,30406,7696,7420,7087,7499,7859,7647,6387,5679,6157,5931,5817,5913,6672,6872,3168,2544,2755,2875,3063,2296,2071,1988,1956,1988,8200,11336,12776,11159,13686,16462,23603,28064,40576,34830,24921,26396,22195,20949,
总负债(万元),94655,101797,104231,66901,73431,70689,83944,86116,35610,30405,7737,13740,11536,11984,11656,12181,12520,12421,11990,11327,11765,12986,12993,13103,13392,13529,12392,11622,11209,10973,10853,10407,20117,21640,21268,20990,24274,23924,24961,23084,22604,23973,31139,30856,29931,22472,24306,21177,16410,18293,
流动负债(万元),71670,79191,78701,53830,73058,70689,83944,86116,35610,30405,7737,13740,11536,11984,11656,12181,12520,12421,11990,11327,11765,12986,12993,13103,13392,13529,12392,11622,11209,10973,10853,10407,19314,21236,20864,20990,24274,23924,24961,23084,22604,23973,31139,30856,27870,22472,24306,21177,16410,18293,
股东权益不含少数股东权益(万元),200076,202738,192738,82288,73069,68534,61442,59701,46201,40848,34847,36888,-3518,-3787,-3772,-3815,-3700,-3738,-3842,-3857,-3693,-5112,-5201,-5185,-2336,-2176,-1392,-1190,-473,-16,399,185,-9575,-9667,-9280,-8821,10864,11651,12532,13277,29447,31327,32329,32464,32348,31323,9560,12096,12001,8584,
净资产收益率加权(%),6.87,8.78,1.42,32.24,20.04,14.11,2.33,--,23.71,11.58,-4.72,91.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,208.55,--,0,--,0,0,-13.04,0,-82.31,0,-4.02,0,6.12,0,1.57,0,27.39,33.2,44.18,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
