报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.07,0.06,0.02,0.33,0.17,0.1,0.06,0.46,0.21,0.19,0.08,0.58,0.23,0.14,0.09,0.5,0.43,0.21,
每股净资产(元),3.31,3.31,3.31,3.28,3.12,3.06,4.55,4.48,4.23,6.33,6.21,6.13,5.85,5.76,2.46,2.38,1.88,1.54,
每股经营活动产生的现金流量净额(元),-0.89,-0.55,-0.3,-0.4,-0.16,-0.15,-0.64,-0.21,-0.44,-0.48,-0.25,-0.16,-0.46,-0.4,-0.53,0.28,0.07,-0.04,
主营业务收入(万元),35213,21373,11558,52450,28544,15158,6310,38192,20613,12857,5679,29078,13652,8476,4446,21864,14773,8442,
主营业务利润(万元),10819,6065,2900,19281,11305,6579,2928,16303,8883,4978,1799,10877,6076,3750,2021,8705,6796,3356,
营业利润(万元),1302,1692,575,9085,4752,2807,1217,8769,3660,2279,992,5867,2234,1339,812,4769,3828,1281,
投资收益(万元),574,352,180,361,109,96,-45,-62,-34,-13,--,--,--,--,--,--,--,24,
营业外收支净额(万元),757,228,73,891,348,215,14,887,696,355,98,1077,860,520,88,157,325,546,
利润总额(万元),2059,1921,648,9976,5100,3021,1230,9656,4356,2634,1089,6943,3093,1858,899,4926,4153,1827,
净利润(万元),1847,1652,578,8543,4337,2574,1059,8043,3674,2234,922,5931,2629,1586,765,4332,3692,1642,
净利润(扣除非经常性损益后)(万元),--,1459,--,7787,--,2391,--,7289,--,1932,--,5016,--,1144,690,4193,3403,1136,
经营活动产生的现金流量净额(万元),-23305,-14264,-7879,-10396,-4105,-3865,-11070,-3602,-7733,-5526,-2844,-1904,-5365,-4668,-4587,2441,642,-291,
现金及现金等价物净增加额(万元),-9822,-12490,-2708,-12510,-14320,-7079,-8098,-13425,-12641,-8393,-5665,37503,34961,39607,-3514,4488,468,320,
总资产(万元),148901,131918,129117,124936,109654,106303,105857,104457,90068,88635,85921,87918,72375,75197,31127,31823,21513,15500,
流动资产(万元),115792,103994,102074,97828,75082,83749,86298,85555,74255,75405,74651,81062,67630,70818,26641,27201,17470,12024,
总负债(万元),59706,42898,40102,36499,25411,25367,25609,25223,15193,14061,12660,15583,4472,8392,9698,11158,5180,3465,
流动负债(万元),57739,40406,37541,35164,23781,23595,24299,24010,13929,13289,11504,14829,3282,8205,9511,10682,5143,3424,
股东权益不含少数股东权益(万元),86468,86272,86285,85707,81500,79737,79093,78034,73665,73384,72073,71150,67902,66805,21429,20665,16333,12035,
净资产收益率加权(%),2.15,1.92,0.67,10.43,5.44,3.26,1.35,10.78,5.07,3.09,1.29,12.92,5.94,3.63,3.7,23.42,25.46,14.64,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
