报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,
基本每股收益(元),0.76,0.56,0.18,1.24,0.74,0.55,0.17,1.16,0.61,0.48,0.15,0.95,0.54,0.45,0.13,0.85,0.52,0.44,0.15,0.95,0.58,0.46,0.11,0.59,0.41,0.31,0.14,1.38,0.79,0.54,0.14,2.17,1.17,0.76,--,0.93,0.57,0.8,0.54,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.76,3.69,3.67,3.54,3.21,3.13,4.05,3.89,3.54,3.41,3.33,3.22,3.04,2.94,5.97,5.82,5.22,4.98,4.58,9.38,8.53,4.61,3.34,--,--,--,1.78,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.44,0.17,0.09,0.89,0.35,0.18,0.15,0.91,0.35,0.35,0.13,0.65,0.27,0.21,0.23,1.5,0.59,0.56,0.27,1.88,1.1,0.62,1.3,--,0.58,1.2,0.63,
主营业务收入(万元),136049,90593,41339,218607,149854,103555,47333,109459,52779,37479,14672,78999,48273,36063,14236,72087,45976,36047,13565,61025,39915,28603,10310,40662,31352,21813,8005,44273,30877,21417,7933,27948,18084,11315,19311,13215,8908,14841,10908,
主营业务利润(万元),54912,37441,17090,78304,51022,35450,14464,58085,34332,24748,10406,51270,31990,23910,9640,45559,30946,24460,9015,40848,26132,18780,7156,27590,21088,14867,5472,27128,18151,12033,4509,16514,10843,6702,10893,7466,4696,7728,5281,
营业利润(万元),22987,15907,4922,38595,23131,16846,5030,29785,17423,13518,4009,29758,15811,13335,3760,26471,15754,12991,3136,20688,12258,9563,2174,12245,8783,6764,1373,14414,8440,5826,1329,8537,4007,2469,4942,3373,2072,2747,1514,
投资收益(万元),1638,1276,681,1999,1416,1123,569,3466,2642,1558,667,2471,1445,1031,445,377,76,--,--,2,5,2,2,46,--,--,--,2,--,0,--,309,--,0,0,--,--,--,--,
营业外收支净额(万元),4057,3057,1374,5836,3611,2581,1313,10006,2662,2189,655,4219,2590,2160,600,4090,2160,2128,681,3799,2389,1746,641,2229,1440,942,503,2619,--,--,--,--,--,790,0,862,528,916,648,
利润总额(万元),27044,18964,6296,44431,26742,19426,6343,39791,20085,15707,4664,33977,18401,15495,4360,30561,17914,15119,3817,24487,14647,11310,2815,14474,10223,7706,1876,17033,10059,6875,1767,10722,5275,3259,6184,4235,2601,3664,2163,
净利润(万元),23549,17340,5508,38205,22978,16943,5240,35963,18798,14696,4610,29478,16760,14023,3992,26411,16029,13600,3404,21390,13074,10382,2501,13166,9202,6981,1611,15449,8800,6084,1573,10126,5112,3269,5739,3924,2407,3532,2105,
净利润(扣除非经常性损益后)(万元),22520,16502,5005,36186,22097,16254,4903,28083,17037,13624,4109,27560,--,13066,--,25519,--,13468,--,21150,--,10377,--,13149,0,6977,0,15446,0,6083,--,9205,0,3185,5666,--,2349,--,--,
经营活动产生的现金流量净额(万元),14518,3953,-714,48446,30626,14255,9106,39319,10309,4742,3022,31747,13701,5377,2659,27521,10847,5436,3305,20327,7948,7841,2805,14585,6129,4618,2611,16813,6569,6241,3075,10531,6147,2620,5463,1817,2432,5030,2627,
现金及现金等价物净增加额(万元),-9048,-46644,-5972,29199,-9903,-9473,13378,-28746,-2946,-19831,3537,25013,4637,-18360,2327,-5358,-15554,-1062,2486,7890,-2455,309,2519,3392,-3168,-1348,2462,380,-4917,-4985,2221,30984,30966,548,215,1725,--,2305,2776,
总资产(万元),267684,256707,243391,247370,228351,251044,242961,238465,166095,156309,157293,152529,139000,134864,134140,130235,117812,113577,108383,107004,97170,89321,88733,86901,81093,78458,78831,78212,72718,68728,65213,63421,62891,32047,22672,--,--,16299,11816,
流动资产(万元),139084,139183,137830,140696,131352,153114,145115,155824,122678,112133,113509,108744,97138,96344,95422,91266,82581,79291,73760,72095,63896,60789,59824,57562,53181,53417,53368,52337,51909,56052,52246,50223,52384,21175,17438,--,--,12581,10202,
总负债(万元),56145,51122,46440,55952,52366,49303,49944,52889,22089,16130,19874,19641,19376,17065,17383,17693,15591,13967,14086,16425,14614,9938,11529,12379,10730,10580,9218,10398,11613,10758,11961,9053,13159,12665,7878,--,--,5540,4330,
流动负债(万元),49710,44690,40008,49520,45154,42090,42731,45777,21737,15778,19520,19287,19093,16782,17101,17461,15400,13789,13908,16246,14412,9801,11392,12242,10592,10462,9101,10281,11523,10640,11844,8966,13080,12587,7878,--,--,5540,4330,
股东权益不含少数股东权益(万元),208123,202339,193734,188428,173159,174011,165908,160855,142813,138915,133337,128665,116081,114182,113374,109359,99198,96732,90710,87248,79192,76330,74531,72033,68062,65852,66809,65197,58497,55790,51327,52542,47747,17486,14039,--,--,10526,7414,
净资产收益率加权(%),11.84,8.85,2.88,21.88,13.71,10.08,3.21,24.87,13.8,10.94,3.52,25.08,14.67,12.38,3.58,27.01,17.22,14.72,3.83,27.05,17.29,13.85,3.41,19.52,0,11.96,0,25.95,0,11.23,--,35.48,0,--,43.11,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
