报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.12,0.02,0,0.31,0.22,0.05,0.01,0.56,0.43,0.08,0.01,0.44,0.36,0.07,0.01,0.88,0.67,0.11,0.02,1.7,1.5,0.91,0.85,0.56,0.43,
每股净资产(元),1.63,1.53,3.08,3.07,2.99,2.8,5.72,5.71,5.57,5.22,5.3,5.29,5.21,4.91,9.89,9.88,9.67,9.12,20.12,20.1,4.12,2.77,0,2.11,1.55,
每股经营活动产生的现金流量净额(元),0.13,0.04,-0.01,-0.04,-0.14,-0.2,-0.37,0.8,0.39,0.08,0.01,0.28,0.21,-0.1,-0.23,-0.75,-0.86,-1.17,-1.59,1.35,1.05,1.17,0,0.42,0.27,
主营业务收入(万元),51523,10299,1539,56091,45821,8944,1480,57235,43196,7675,1234,41053,32743,6354,1111,37747,30838,5951,923,25318,22500,12666,11316,9760,4696,
主营业务利润(万元),17495,3617,591,21053,17547,3921,371,18930,15259,3090,371,14600,11881,2361,349,14041,12091,2402,296,9313,8181,4667,3850,2903,1706,
营业利润(万元),9033,1679,-27,12159,8721,1654,43,10488,8068,1457,-25,8052,6791,982,-59,7487,6887,772,-97,4678,4281,2024,1788,991,627,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-4,-9,-9,-0,-9,-3,20,23,8,-6,
营业外收支净额(万元),658,390,169,706,492,259,116,909,583,369,167,877,537,345,194,1197,693,522,199,696,507,404,302,342,399,
利润总额(万元),9691,2069,141,12866,9213,1913,159,11397,8651,1826,142,8929,7328,1328,135,8684,7580,1294,102,5374,4788,2428,2090,1332,1026,
净利润(万元),8552,1696,129,11217,8098,1613,121,10176,7693,1400,108,8006,6482,1181,98,7920,6063,1033,76,5167,4553,2368,2083,1333,1023,
净利润(扣除非经常性损益后)(万元),--,1306,--,10554,--,1354,--,9306,--,1030,--,7185,--,835,--,6770,--,512,--,4471,4047,1904,0,1012,440,
经营活动产生的现金流量净额(万元),9101,3045,-532,-1575,-5197,-7107,-6611,14464,6966,1440,141,4975,3814,-1728,-2047,-6759,-7726,-10593,-6523,5534,3182,3562,2110,1008,647,
现金及现金等价物净增加额(万元),-21522,-19340,-18587,-6621,-11109,-12361,-8450,5223,-760,-4016,-626,-5859,-5053,-5146,-2460,-17351,-15046,-16791,-10052,71913,787,4698,4350,-1684,1011,
总资产(万元),177666,151740,127188,127467,133653,115986,111057,117278,124092,114008,102846,103123,110117,98050,97274,99727,104542,93040,88690,92517,24199,15157,0,7979,6424,
流动资产(万元),124893,100647,101441,101827,107588,89800,85178,91626,100225,90850,83174,84161,94952,86694,85873,88294,94365,83587,80465,84539,16609,10467,--,6940,5408,
总负债(万元),54004,36534,11761,14408,25950,14930,7883,14224,23521,19863,7277,7662,16180,9558,8061,10612,17284,10811,6189,10091,11679,6735,--,2917,2696,
流动负债(万元),50127,34543,9975,12466,24108,13593,6491,12753,22542,18820,6212,6561,14741,8002,6422,8924,15716,9122,4334,5571,7894,5940,--,2323,2326,
股东权益不含少数股东权益(万元),117747,110713,110950,110821,107703,101056,103175,103055,100572,94145,95569,95461,93937,88492,89213,89116,87259,82229,82502,82426,12519,8422,0,5062,3728,
净资产收益率加权(%),7.47,1.54,0.12,10.55,7.68,1.57,0.12,10.3,7.84,1.46,0.11,8.7,6.9,1.32,0.11,9.26,7.15,1.25,0.09,48.63,44.02,37.17,0,30.34,31.75,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
