报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.12,0.14,0.03,0.8,0.4,0.32,-0.02,0.6,0.42,0.31,0.01,1.41,0.77,0.52,-0.04,1.1,0.4,1.09,0.8,0.2,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,11.78,11.53,11.05,4.98,4.28,3.73,1.79,1.06,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-1.21,-0.68,0.1,-0.1,-0.29,0.35,0.61,0.33,
主营业务收入(万元),54290,43015,18786,111602,62821,34786,885,97565,68878,42171,6920,119315,68071,39221,69,75206,37055,57620,31637,16467,
主营业务利润(万元),21591,17576,6779,36291,20855,12158,420,31365,22729,12212,1669,32676,16287,10315,16,23430,11766,17548,9748,3118,
营业利润(万元),7250,8583,317,18881,8516,5468,-2623,17530,12232,8880,367,19489,9847,6136,-1351,13204,5134,10826,7157,1800,
投资收益(万元),--,--,--,22,22,17,205,505,--,--,--,--,--,--,--,-0,-0,--,--,--,
营业外收支净额(万元),2628,2633,483,6007,3920,3925,1974,1172,993,800,-199,1249,1203,1043,1040,146,-14,-55,-198,-50,
利润总额(万元),9879,11216,800,24888,12436,9393,-650,18701,13225,9679,169,20738,11050,7179,-311,13350,5120,10771,6959,1750,
净利润(万元),8374,9543,763,21275,10649,8528,-606,15955,11295,8238,135,17620,9361,6081,-371,11025,4041,9132,5904,1485,
净利润(扣除非经常性损益后)(万元),6178,7340,398,16169,7318,5192,-2283,14959,10451,7588,335,16560,--,5196,--,12411,5559,9167,6049,1511,
经营活动产生的现金流量净额(万元),-28915,-275,-14852,-5813,-8636,-10403,-10274,-10880,-15538,-6505,-8630,-19026,-16193,-9086,1296,-998,-2872,3525,4865,2291,
现金及现金等价物净增加额(万元),28128,51742,-6783,310,-251,4192,-13929,9225,26881,39462,-9087,16304,70685,82704,96628,-9221,-8171,12492,3845,730,
总资产(万元),462441,459986,365613,301799,281496,270341,254942,257527,237765,237653,227470,230029,260597,209487,211051,107364,99364,96806,74553,37049,
流动资产(万元),283911,301209,213348,216494,225727,221051,208619,212870,201580,203099,192841,195447,236318,186715,191253,87551,85669,83827,67845,33303,
总负债(万元),174160,170347,159690,102377,92726,83585,74396,76284,61116,64447,58354,61002,103383,55673,63689,57532,56516,59506,60257,29657,
流动负债(万元),128845,128032,118469,102377,92726,83585,74396,76284,60948,64447,58354,61002,103383,55673,63689,57532,56516,59506,60257,29657,
股东权益不含少数股东权益(万元),266155,267315,183440,195823,185184,183063,176782,177383,172728,169671,165529,165394,157065,153814,147361,49832,42848,37301,14296,7392,
净资产收益率加权(%),3.81,4.79,0.42,11.43,5.83,4.66,-0.34,9.35,6.6,4.86,0.08,13.34,7.82,5.97,-0.75,25.09,10.02,48.41,57.08,22.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
