报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.04,0.01,-0.07,0.01,0.05,0.03,-0.03,0.01,0.04,0.04,0.04,0.15,0.1,0.11,0.11,0.81,0.56,0.21,0.14,0.56,0.69,0.06,0.03,0.15,0.09,0.01,-0.02,-0.19,0.03,-0.07,-0.09,0.19,0.08,-0.18,-0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.67,3.67,7.34,5.58,5.32,4.96,4.88,4.91,2.71,2.08,2.04,2.01,1.95,1.86,1.84,1.86,2.08,1.98,4.01,4.1,3.99,3.73,3.75,3.91,3.91,6.04,6.21,6.19,6.3,6,7.1,7.28,7.27,6.95,3.2,2.28,1.32,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.2,-0.09,0.05,-0.06,-0.29,-0.58,-0.06,0.74,0.43,-0.61,-0.17,0.24,0.1,-0.08,0.01,0.7,0.02,0.25,0.08,0.24,0.01,0.16,0.4,0.16,0,0,0,0.55,0,0,0,0.25,0,0,1.31,0,0,
主营业务收入(万元),335113,205386,81424,415473,313939,193491,76563,312989,227013,135331,70528,275764,194549,122447,57678,306548,205849,123697,49075,259529,192687,107364,44232,192183,125270,69081,28687,252253,193984,102234,49321,193550,133684,64010,28556,177383,132038,80952,39553,206988,152549,79556,35351,159563,100352,42951,109532,57396,42601,
主营业务利润(万元),59422,36237,9809,86568,73823,45187,15145,63019,51669,34591,17948,64717,45638,30408,12018,69722,40739,23408,6798,52923,43062,30044,9631,40351,23487,13039,5037,34145,25620,13863,6692,31652,22164,9722,--,21075,13429,6099,3411,23779,16839,6700,3152,25677,18559,9875,23862,16442,10841,
营业利润(万元),-9429,-12220,-13118,-26794,-481,-878,-6614,-19977,-1780,1009,3991,-2433,-2238,-520,-2697,14574,4544,-57,-3783,533,4127,2868,1550,7390,2697,218,-941,-6951,1168,-2562,-1844,3922,2111,-3016,-2611,-3576,-3386,-4842,-1954,-2379,-1537,-4673,-1391,4079,5131,1437,8476,7405,5031,
投资收益(万元),1506,265,-436,-11277,589,1787,806,4625,3181,1398,138,-63,-43,-36,-5,-71,-83,64,-94,-46,-34,-22,-2,175,144,56,2,-195,-12,1,-14,-56,-49,-20,-12,-23,-104,-88,-34,-127,-95,-95,-24,-119,-25,-9,-53,-118,-38,
营业外收支净额(万元),18392,14358,3366,32381,10786,6222,3020,23181,8746,5747,1075,22444,16375,15440,10274,30615,29703,13312,13286,26058,26786,138,77,1883,416,277,233,100,--,--,--,625,--,84,--,-2,0,0,0,341,0,0,0,-407,0,0,28,0,0,
利润总额(万元),8964,2138,-9752,5587,10305,5344,-3594,3205,6967,6756,5066,20011,14137,14920,7577,45189,34247,13254,9503,26592,30913,3006,1627,9273,3113,495,-708,-6851,1263,-2476,-1794,4548,2136,-2932,-2588,765,843,-1386,270,996,547,-2709,-1690,4885,5135,1467,8451,7285,4633,
净利润(万元),6125,1489,-9329,1395,7045,3870,-3566,883,5027,5050,4329,16197,11543,12431,6142,39231,27106,10231,6541,19572,22389,2050,907,4899,3013,202,-680,-6240,956,-2196,-1523,3096,1307,-2917,-2583,616,815,-1429,258,613,319,-2793,-1760,4603,4576,1317,6842,7185,4618,
