报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),-0.33,-0.25,-0.12,0.04,0.01,0.02,0.01,-0.26,-0.28,-0.17,-0.08,0.35,0.29,0.24,0.54,0.53,0.44,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.09,--,4.1,3.4,3.16,2.65,2.12,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.51,--,-2.8,-0.65,0.23,0.51,0.24,
主营业务收入(万元),728780,222079,43453,527881,363257,206791,73705,450127,317070,197750,83309,777175,524441,278987,544069,457094,372071,
主营业务利润(万元),-31,-207,-532,9212,6990,4370,1944,7278,3783,2238,162,24853,18103,12509,25902,23124,20412,
营业利润(万元),-6787,-5322,-2476,803,695,450,284,-5381,-5682,-3506,-1722,7563,5758,4564,10370,9421,8005,
投资收益(万元),1366,-638,208,19,30,131,42,-447,-1302,-25,0,-113,-113,-115,262,376,-108,
营业外收支净额(万元),117,70,54,229,166,138,11,502,407,389,345,672,548,499,661,1058,374,
利润总额(万元),-6670,-5252,-2422,1032,860,588,295,-4879,-5276,-3117,-1377,8235,6306,5064,11031,10479,8378,
净利润(万元),-6608,-5067,-2369,740,265,490,278,-5193,-5632,-3371,-1643,5834,4522,3642,8153,8021,6584,
净利润(扣除非经常性损益后)(万元),-7943,-5231,-2469,697,371,577,271,-5013,-5015,-3509,--,5674,--,3622,7629,7159,6477,
经营活动产生的现金流量净额(万元),-18240,25322,-2697,23428,965,16326,2464,26104,15822,8575,-10358,-54916,-56508,-9800,3418,7627,3657,
现金及现金等价物净增加额(万元),-13786,-5189,-1838,9920,-11016,2149,-3607,-7111,-13581,-11748,-5490,-20917,-8351,-8082,16057,3112,18957,
总资产(万元),264561,232678,190827,170634,186566,145090,120787,121742,138407,148976,176474,168188,167668,122122,106253,95052,71878,
流动资产(万元),214575,209331,171917,151444,167089,125317,100776,101397,117722,127890,155891,147159,146740,100908,84425,72386,59699,
总负债(万元),185919,152823,109476,89754,106019,64652,40609,43297,60365,68678,93449,83511,84396,70203,58045,55128,39996,
流动负债(万元),185919,152721,109460,89754,106019,64652,40609,43297,57781,66178,90949,81011,79396,65203,53045,48828,39996,
股东权益不含少数股东权益(万元),72154,73304,76380,78727,78307,78537,78320,77992,77596,79852,82578,84220,82854,51579,47938,39785,31764,
净资产收益率加权(%),-8.76,-6.65,-3.06,0.94,0.34,0.63,0.36,-6.32,-6.9,-4.08,-1.97,9.57,8.44,7.32,18.59,22.43,23.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
