报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,
基本每股收益(元),0.32,0.34,0.12,0.87,0.64,0.23,0.2,1.41,0.92,0.31,0.16,1.67,1.3,0.86,0.2,1.18,0.9,0.53,0.18,0.98,0.8,0.55,0.21,1.11,0.74,0.4,0.1,0.64,0.42,0.2,0.06,0.48,0.4,0.2,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,11.97,--,11.55,11.15,10.61,10.41,10.51,10.13,9.85,8.5,8.32,8.08,7.98,7.77,7.41,7.07,6.97,6.87,6.65,6.46,6.52,6.46,6.34,6.15,6.12,6.02,5.45,5.3,5.15,5.22,5.11,4.98,4.86,4.93,4.83,4.72,4.76,4.73,4.62,2.22,2.1,2.06,0,1.8,1.5,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.55,--,2.3,-0.23,-2.3,0.94,-2.5,-1.73,-0.98,0.6,-0.06,-0.49,-0.9,1.41,0.29,-0.2,-0.52,1.3,-0.48,-0.95,-0.3,0.97,-0.23,-0.4,-0.12,0.8,0,0,0,0.03,0,0,0,0.54,0,0,0,0.3,0,0,-0.21,1.1,0,0,0,
主营业务收入(万元),972211,541586,193751,1041955,706244,402778,159610,858653,607330,358742,151113,780428,560737,352252,164214,668864,459249,291535,113414,208506,145515,95355,45813,188709,131239,75587,29065,143766,103094,57150,23460,110031,82426,53896,24759,106336,63785,39634,14078,68947,49176,31961,13281,60799,40794,24905,10759,55906,37469,24816,10448,63216,26810,80276,40119,
主营业务利润(万元),186835,105038,46204,197027,138982,80495,34749,170285,124739,77500,33363,150735,114194,72092,33132,124431,81373,48946,20319,60019,43116,28757,12855,51605,34240,19731,7310,28932,20487,11591,4662,23941,18170,10947,--,20369,13623,8580,3218,15744,11492,6978,2595,12625,8591,4530,1722,10476,6985,4699,1637,14387,6178,25109,12316,
营业利润(万元),52930,18219,7351,36786,23105,10255,2918,30411,20420,10104,4128,32901,25840,18962,3732,28170,21362,11613,3889,21668,17749,12817,5325,24840,16461,9064,2683,14123,9762,4554,1359,12602,10032,5266,1398,9600,6922,4101,966,7964,5704,3256,538,6623,4451,2082,554,5808,3636,2353,559,7555,2883,11267,6744,
投资收益(万元),3300,74,35,986,1278,536,178,1160,274,114,-170,9142,9537,9069,-118,-742,-173,-327,-64,374,8,72,-64,-96,-32,32,-64,1909,606,-128,-64,-255,-192,-128,0,-256,-192,-128,-64,-253,-192,-128,0,-128,-63,0,0,0,0,0,0,-4,-4,0,0,
营业外收支净额(万元),4376,4163,823,8979,8352,3057,2998,9931,7094,2143,1670,13534,8450,3641,1277,7180,4653,3788,1871,1654,727,274,-95,1011,569,382,75,376,--,58,--,--,--,--,--,-9,0,0,-7,-40,0,0,0,-23,0,0,0,6,0,4,0,0,0,0,0,
利润总额(万元),57306,22382,8174,45765,31457,13313,5916,40342,27513,12248,5798,46434,34290,22603,5009,35350,26016,15401,5760,23322,18476,13091,5230,25851,17031,9446,2757,14499,9991,4612,1372,13011,10154,5302,1387,9465,6789,4039,908,7751,5547,3200,624,6517,4418,2104,581,5865,3714,2408,611,7553,2877,11185,6738,
净利润(万元),40237,14063,5017,34416,24926,8648,4242,29104,19095,6306,3349,34502,26859,17881,4047,24347,18711,10940,3810,16274,13305,9200,3406,18388,12360,6688,1717,10649,6991,3288,1043,7965,6559,3353,834,5821,4335,2560,646,4877,3473,1990,414,4036,2738,1403,405,3656,2351,1492,405,5066,1923,7033,4435,
