报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.12,0.08,0.05,0.2,0.13,0.05,0.03,0.4,0.21,0.15,0.07,0.25,0.15,0.1,0.08,0.36,0.23,0.17,0.16,0.7,0.47,0.38,0.18,0.71,0.43,0.3,0.16,3.24,6.68,13.69,
每股净资产(元),1.74,1.68,2.94,2.58,1.77,1.7,3.37,3.34,3.12,3.24,3.21,3.14,2.96,2.91,4.46,4.38,4.25,4.19,8.3,8.14,7.84,7.74,2.78,2.6,--,2.19,0,10.03,7.57,29.31,
每股经营活动产生的现金流量净额(元),-0.06,-0.12,-0.15,0.3,0.31,0.35,0.9,-0.42,-0.87,-0.59,-0.52,0.03,-0.25,-0.18,-0.16,-0.49,-0.58,-0.53,-0.36,-0.19,-0.26,-0.04,0.1,0.01,--,-0.58,-0.16,2.01,1.5,-7.5,
主营业务收入(万元),137173,91033,42535,155984,108066,64155,27798,175524,128133,80094,36599,123782,89084,55205,27954,101142,69401,43166,21193,55570,38051,24811,11762,42274,31095,10264,10023,33249,23160,5055,
主营业务利润(万元),25458,16227,7338,19056,12844,6970,2896,18300,12682,8303,3415,12089,9136,5375,3003,8911,5408,3540,1920,6755,4516,3127,1702,6173,3844,2824,1449,4980,3552,2693,
营业利润(万元),9880,6324,2551,8302,5358,2012,658,8838,5801,3917,1481,5511,3869,1943,1126,4710,2499,1735,979,3517,2206,1554,862,3434,1821,1352,713,2823,1927,1390,
投资收益(万元),-30,-23,--,13,-1,-1,-0,-182,-10,-11,0,-21,-33,-10,-3,-39,-36,--,--,--,--,0,0,-5,11,-10,0,0,0,--,
营业外收支净额(万元),575,561,-85,1055,260,171,5,1159,442,411,310,617,14,--,-1,444,423,429,-2,365,362,362,0,9,4,9,0,0,0,--,
利润总额(万元),10455,6885,2466,9358,5619,2183,663,9997,6243,4328,1791,6128,3883,1941,1125,5154,2923,2163,977,3883,2568,1917,862,3443,1825,1361,713,2820,1923,1390,
净利润(万元),8079,5272,1856,7050,4420,1833,512,6348,3582,2344,1081,3815,2321,1505,862,3751,2379,1786,815,3342,2148,1626,711,2561,1529,990,529,2108,2005,1369,
净利润(扣除非经常性损益后)(万元),--,4856,--,5695,--,1704,--,5337,--,2038,--,3270,--,1506,--,3375,--,1422,--,3273,0,1320,711,2558,--,990,529,2049,252,6,
经营活动产生的现金流量净额(万元),-4094,-8273,-5825,11230,10672,12356,15689,-7250,-14899,-9130,-8086,529,-3839,-2844,-1642,-5048,-5973,-5500,-1855,-994,-1357,-206,395,15,-687,-2235,-523,1309,972,-750,
现金及现金等价物净增加额(万元),-1368,-5989,70,-760,-4583,-2871,7297,5147,-4510,-177,944,-5100,-7406,-6096,-1751,-11226,-12490,-11290,-6609,24354,26171,27368,-122,371,-63,-477,-518,-139,501,-117,
总资产(万元),181954,174717,171242,171033,91443,87065,89842,100122,96420,91456,79109,65975,62515,57224,59417,56298,47847,47514,46332,45249,43155,42697,14759,14610,--,15279,0,12866,8744,5736,
流动资产(万元),99878,94607,92627,92917,72065,67987,70798,81266,78636,77299,65013,51852,49233,44017,46196,43105,37453,37685,37126,43113,41158,40715,12814,12666,--,13400,--,11040,8558,5669,
总负债(万元),61486,58726,58177,74544,29310,27573,30754,41479,42312,38428,27686,15897,14758,10930,12230,10051,3827,4097,3381,3124,2550,2608,3983,4539,--,6791,--,6349,3826,2805,
流动负债(万元),36397,34042,33833,50194,25748,23999,27184,37908,42102,38258,27430,15641,14755,10926,12230,10051,3827,4097,3381,3124,2550,2608,3983,4539,--,6791,--,5642,3826,2805,
股东权益不含少数股东权益(万元),119211,115174,112219,96133,61763,59175,58726,58214,53598,50365,49879,48798,45989,45173,46212,45350,43978,43385,42932,42109,40596,40074,10771,10060,--,8489,0,6517,4918,2922,
净资产收益率加权(%),7.29,4.88,1.91,11.53,7.37,3.11,1.02,12.3,7.14,4.71,2.19,8.15,5.03,3.26,1.88,8.59,5.53,4.17,1.92,10.76,0,7.84,0,30.9,--,14.89,0,36.28,51.1,86.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
