报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.28,0.2,0.21,1.22,-0.01,-0.03,-0.04,-0.39,-0.2,-0.1,-0.05,0.04,0.1,0.09,0.04,0.4,0.2,0.11,0.05,0.38,0.18,0.11,0.1,0.87,0.44,0.28,0.9,0.8,0.89,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.55,4.53,4.61,4.61,4.41,4.32,4.46,4.41,4.21,4.14,8.56,8.46,8.09,3.54,3.25,2.55,2.33,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.53,-0.55,-0.4,0.52,-0.48,-0.48,-0.46,0.44,-0.11,-0.21,-0.2,0.44,-0.48,-0.48,0.72,0.74,1.01,
主营业务收入(万元),47006,27355,12269,32250,23044,13968,3972,21581,10638,5854,2748,25482,14023,9027,4489,36923,23153,15458,5251,25009,15705,9863,3951,17838,9073,5563,13875,14161,13792,
主营业务利润(万元),29788,19613,8409,25732,4625,2793,889,4003,1832,1325,608,8275,5136,3611,1847,10624,6620,4174,2088,7689,4534,2840,1290,6573,3923,2408,6680,5500,4991,
营业利润(万元),23599,16746,7055,19365,-608,-919,-747,-2991,-2369,-1197,-597,809,1177,1005,476,4767,2314,1380,673,4177,1891,1331,611,4214,2195,1285,3922,3119,3112,
投资收益(万元),-179,220,--,--,206,151,--,-122,150,150,--,--,--,--,--,--,-58,-27,-12,648,--,--,--,--,--,0,--,58,-216,
营业外收支净额(万元),165,10,--,5,215,184,163,-1153,273,185,112,389,327,249,143,316,177,58,43,462,509,122,64,213,45,27,79,--,208,
利润总额(万元),23764,16756,7055,19370,-394,-735,-584,-4144,-2096,-1012,-485,1198,1504,1254,619,5083,2491,1438,716,4640,2400,1453,674,4427,2241,1312,4000,3455,3320,
净利润(万元),20020,14004,5976,16538,-89,-294,-430,-4140,-2101,-1038,-485,443,1113,981,473,4280,2131,1177,483,4086,1971,1209,545,3880,1908,1138,3612,3217,2420,
净利润(扣除非经常性损益后)(万元),19622,13701,5976,16533,-336,-458,-550,-2927,-2287,-1143,-544,2133,--,761,--,4127,--,1021,--,3284,--,1165,--,3717,--,1119,3586,3065,2420,
经营活动产生的现金流量净额(万元),-20175,44,-7921,9894,-6270,-5606,-4605,-1484,-6254,-5913,-3818,1589,-5693,-5918,-4304,5529,-5186,-5174,-4911,4671,-1146,-2235,-1072,2352,-2553,-1906,2867,2970,3035,
现金及现金等价物净增加额(万元),-44820,-30025,-13609,56807,-10204,-11638,-13081,5036,-570,-6020,-2704,-1782,-11572,-9501,-3138,-270,-7888,-7490,-7224,-1003,-8512,-6390,-1930,23853,24657,-2895,-508,1873,3884,
总资产(万元),140371,115168,101124,96122,44700,44522,42800,49820,50227,51036,53733,55971,53400,54591,56597,56677,55807,55926,53522,55649,48803,47894,49936,49421,46170,15331,16073,15324,13509,
流动资产(万元),103224,89035,99081,94756,28485,26632,24695,31570,29837,30461,35039,38127,33886,34936,39344,39565,38835,39017,38604,40872,33305,35508,38793,38841,39841,9772,11417,11677,12051,
总负债(万元),38267,20520,16290,11737,6530,6558,4972,7282,5671,5395,6256,8008,4767,6091,7320,6873,8219,9196,5312,7996,3444,3276,3828,3846,2542,1185,3064,5127,6529,
流动负债(万元),32875,15696,12366,8518,5877,5900,4288,6612,4763,4446,5268,7024,3869,5249,6456,6199,7810,8689,4799,7545,3243,3071,3624,3716,2542,1185,3064,5127,6529,
股东权益不含少数股东权益(万元),100112,92719,84834,84385,38170,37964,37828,42539,44556,45641,47478,47963,48633,48501,49277,49331,47182,46227,47674,47191,45085,44323,45799,45254,43281,14146,13009,10197,6980,
净资产收益率加权(%),21.93,15.81,6.84,55.26,-0.21,-0.73,-1.07,-9.17,-4.48,-2.19,-1.02,0.92,2.26,1.97,0.95,8.93,4.53,2.5,1.02,8.91,4.26,2.64,1.2,15.9,--,0,31.86,37.46,52,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
