报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.02,0.02,0,0.06,0.03,0.04,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.74,0.57,0.44,0.25,0.8,0.46,0.35,
每股净资产(元),3.72,3.71,5.33,5.33,5.29,5.3,--,5.28,5.26,5.26,5.26,5.24,5.23,5.23,10.57,10.52,10.35,10.22,2.86,2.61,1.81,1.34,
每股经营活动产生的现金流量净额(元),-0.07,-0.07,-0.04,0.01,-0.02,-0.01,-0.04,0.02,-0.01,0.02,-0.05,-0.13,-0.06,-0.01,-0.12,0.92,0.61,0.55,0.18,1.04,0.5,0.41,
主营业务收入(万元),20044,12404,4255,17276,11598,8508,4248,15802,10975,7581,3746,13115,9135,6578,3135,16019,12113,8737,4442,14264,8915,7006,
主营业务利润(万元),8880,5730,2226,9571,6878,5149,2678,9040,6446,4451,2396,7875,5904,4347,2349,11576,8953,6214,3178,10500,6003,4767,
营业利润(万元),55,209,-126,24,-47,228,137,235,28,48,189,-351,-292,207,379,5137,4320,3158,1621,4703,2494,1948,
投资收益(万元),-78,-60,-39,-3,1,-12,-23,7,-8,-2,4,14,-20,-0,-13,-4,32,39,17,20,44,21,
营业外收支净额(万元),532,375,175,1173,956,695,319,841,530,365,171,769,535,153,109,1325,467,364,181,1176,875,506,
利润总额(万元),587,584,49,1197,909,923,456,1075,559,413,360,419,243,359,488,6461,4787,3522,1802,5879,3370,2454,
净利润(万元),519,484,69,1031,439,630,315,688,307,244,288,487,332,369,421,5395,4052,2963,1505,4803,2782,2090,
净利润(扣除非经常性损益后)(万元),--,314,--,417,--,303,--,178,--,68,--,75,--,242,--,5036,--,2791,1403,4454,2289,2006,
经营活动产生的现金流量净额(万元),-1704,-1744,-592,139,-307,-182,-590,251,-218,378,-745,-2070,-983,-220,-931,7338,4916,4367,1085,6233,2994,2439,
现金及现金等价物净增加额(万元),-15915,-13428,-1215,-2535,-2751,-1999,-1079,-6963,-7037,-5950,-6219,-1427,-3859,-1845,-2231,63242,62569,62470,-1832,3611,1473,-376,
总资产(万元),100899,100781,91117,91907,91522,92374,92515,92320,91199,91009,91274,96397,91377,91679,93434,93523,90285,89214,25136,25567,20046,14170,
流动资产(万元),67217,66903,70750,71537,71313,71850,72307,71803,70585,71049,71830,77013,73393,74084,76106,76541,73932,73692,10145,10455,5302,6401,
总负债(万元),8119,8027,3951,4785,4815,5439,5502,5679,5348,5250,5696,11142,6440,6667,7856,8490,6622,6648,7150,9204,8771,6041,
流动负债(万元),8051,7951,3842,4642,4736,5212,4941,5223,5089,4881,5250,10588,5852,6398,7499,8046,6092,6218,6664,8662,8524,4041,
股东权益不含少数股东权益(万元),91060,90890,85322,85253,84661,84852,84683,84542,84161,84098,84128,83841,83685,83722,84574,84153,82810,81720,17153,15648,10845,8069,
净资产收益率加权(%),0.59,0.57,0.08,1.21,0.52,0.74,0.37,0.82,0.36,0.29,0.34,0.58,0.4,0.44,0.5,8.93,7.68,7.76,--,36.26,29.41,29.76,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
