报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
基本每股收益(元),0.1,0.07,0.02,-0.01,0.08,0.06,0,--,0.02,0.01,0.01,0.01,0.02,0.05,0.05,0.07,0.23,0.16,0.1,0.28,0.22,0.15,0.08,0.31,0.21,0.12,0.07,0.29,0.18,0.1,0.12,0.71,0.4,0.22,0.6,0.25,0.29,0.38,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.2,4.23,4.23,4.18,4.34,4.27,4.27,4.17,4.11,4.04,4.03,3.96,3.86,3.77,3.77,3.69,3.58,3.5,7.03,6.93,4.84,4.66,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.5,0.42,0.02,0.43,-0.13,-0.19,-0.05,-0.35,-0.11,-0.18,0.03,0.19,0.27,0.22,0.04,-0.03,0.32,0.34,0.24,0.16,0,0.26,1.26,--,1.03,1.57,
主营业务收入(万元),39519,28327,10955,57805,40588,28164,12910,58778,42209,27589,13035,80804,59031,41551,20897,64056,45382,29500,14128,51042,38924,25966,11708,49390,33113,22027,10761,48935,37212,26236,12470,49425,32172,19689,44439,29901,36547,42181,
主营业务利润(万元),7077,4852,2201,11921,8732,5738,2413,10845,8006,5485,2446,10377,7981,5921,3467,13604,11328,7719,3774,14391,10009,6970,3094,13861,9213,6394,2801,12658,9509,6163,3151,13117,9257,5749,13448,9066,9974,10575,
营业利润(万元),1041,1025,352,-438,1022,747,5,178,111,51,96,217,422,899,963,984,4086,2840,1997,5439,3287,2460,1415,5392,3393,2299,1291,4997,3523,1827,1248,6170,3627,1910,5570,2840,2970,3907,
投资收益(万元),329,329,318,25,--,--,--,10,--,--,--,4,4,4,--,1,--,--,--,7,3,3,--,6,--,0,0,8,--,0,0,3,3,-3,5,-93,-61,-27,
营业外收支净额(万元),954,466,42,257,622,283,66,262,189,159,22,94,75,45,24,386,148,67,42,115,870,399,-2,524,634,-49,49,725,--,150,--,--,--,21,139,104,72,124,
利润总额(万元),1996,1491,394,-181,1645,1030,71,440,299,209,118,311,498,944,986,1369,4233,2907,2039,5554,4157,2859,1413,5916,4027,2250,1340,5723,3673,1977,1248,6787,3660,1931,5709,2944,3042,4031,
净利润(万元),1569,1182,379,-179,1337,905,60,239,241,191,99,203,392,782,838,1121,3631,2498,1535,4491,3546,2443,1201,4920,3405,1888,1139,4648,2822,1553,936,4394,2412,1305,3590,1507,1720,2315,
净利润(扣除非经常性损益后)(万元),802,818,344,-406,855,684,5,--,81,56,80,-607,--,744,--,794,--,2441,--,4394,--,2103,--,4528,--,1929,0,4025,0,1441,--,3935,2379,--,3486,1403,--,--,
经营活动产生的现金流量净额(万元),16989,16754,-1778,6904,-212,-49,375,845,91,219,225,6696,8029,6740,269,6850,-2126,-2978,-880,-5571,-1693,-2954,416,3109,4386,3580,697,-446,5152,5457,1921,1248,-1520,1577,7589,--,6176,9397,
现金及现金等价物净增加额(万元),-570,7879,-4708,2103,-2036,1811,823,-2840,-8845,-5428,-6686,1081,-3238,-5497,-5023,-1538,-4892,-5989,-5423,-10295,-15131,-10362,-12921,19654,3985,5665,353,-19479,-15721,-17834,-7622,19540,-3921,2123,-1929,--,1840,-7483,
总资产(万元),193358,191512,191305,186642,193940,191611,185173,176292,176616,179637,174642,179669,179304,172376,183615,181850,195082,182777,169183,175569,169957,157193,152436,157968,142622,131377,113197,105306,101466,91815,90081,89598,61183,65468,64122,--,62788,58564,
流动资产(万元),124931,122008,131356,125664,132439,129132,121811,111705,112230,114014,107758,109519,112244,103628,114037,110976,123165,110128,98287,108835,102102,88214,76619,89426,62504,56724,62631,54603,63599,53718,60730,59500,31103,34799,32723,--,30798,26224,
总负债(万元),124942,123413,123881,119583,125452,123408,117819,108995,109303,112381,107456,112575,112043,104716,115895,114974,125710,114505,100910,108837,104160,92492,87961,94665,80863,71116,52954,46249,44215,35797,33820,34139,32124,37516,37187,--,39142,36339,
流动负债(万元),120607,119663,119645,115311,121652,119081,112964,104111,103116,106079,99129,104224,97695,90006,101910,100697,105858,102179,87677,94655,87467,74951,69731,75533,80829,71079,52929,46232,44177,35748,33751,34024,31024,36416,33197,--,30282,28739,
股东权益不含少数股东权益(万元),68417,68099,67424,67059,68488,68203,67354,67296,67314,67256,67186,67095,67261,67659,67720,66876,69372,68272,68273,66732,65797,64701,64475,63303,61759,60261,60243,59057,57251,56017,56260,55460,29059,27952,26935,--,23646,22225,
净资产收益率加权(%),2.32,1.74,0.56,-0.27,1.97,1.34,0.09,--,0.36,0.28,0.15,0.3,0.58,1.16,1.24,1.68,5.34,3.7,2.27,6.9,5.49,3.82,1.88,8.04,--,3.19,0,8.11,0,2.77,--,14.24,8.3,4.73,14.2,5.6,7.5,10.6,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
