报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.38,0.23,0.5,0.42,0.25,0.48,0.44,0.6,
每股净资产(元),--,--,3.61,--,--,3.27,2.8,2.35,
每股经营活动产生的现金流量净额(元),--,--,0.89,--,--,0.57,0.58,0.54,
主营业务收入(万元),34151,21498,47501,35728,21745,45738,44595,43511,
主营业务利润(万元),8983,5542,11949,9196,5601,11530,10561,10590,
营业利润(万元),4395,2179,5469,4926,2775,4513,4310,6035,
投资收益(万元),173,100,151,200,206,--,6,-45,
营业外收支净额(万元),846,577,406,331,211,1104,1034,371,
利润总额(万元),5241,2756,5874,5257,2986,5617,5344,6407,
净利润(万元),4413,2393,4981,4203,2531,4764,4433,5293,
净利润(扣除非经常性损益后)(万元),3647,1869,4488,3762,2183,3851,3561,--,
经营活动产生的现金流量净额(万元),-2607,-3349,8920,8205,4994,5732,5811,5362,
现金及现金等价物净增加额(万元),17106,17096,2593,2749,3773,858,530,3222,
总资产(万元),68222,66655,45056,--,--,41949,40450,30449,
流动资产(万元),48978,47124,25537,--,--,23169,20829,21269,
总负债(万元),6916,7376,8920,--,--,8921,12183,6615,
流动负债(万元),2967,3385,5241,--,--,6856,10450,5921,
股东权益不含少数股东权益(万元),61306,59279,36136,--,--,32742,27981,23548,
净资产收益率加权(%),9.19,5.99,14.62,12.05,7.46,15.73,17.23,31.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
