报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
基本每股收益(元),0.52,0.36,0.18,0.69,0.46,0.3,0.23,0.86,0.57,0.37,0.18,0.71,0.48,0.32,0.21,0.75,0.52,0.51,0.27,0.83,0.56,0.35,0.34,1,0.66,0.38,0.2,0.66,0.49,0.35,0.15,0.6,0.49,0.3,0.11,0.6,0.4,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.85,3.66,4.71,4.47,4.24,6.09,3.67,3.6,3.33,3.12,5.96,5.62,5.27,5,5.12,4.93,4.76,4.61,2.7,2.56,0,--,0,3.82,2.97,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.6,0.45,0.23,0.51,0.39,0.25,0.35,0.76,0.8,0.65,0.54,1.4,1.29,0.58,0.39,0.16,0.09,0.03,0.02,0.94,0,0.18,0.03,1.81,1.2,
主营业务收入(万元),297703,192232,89745,399027,290239,177972,84762,336835,241852,145376,60028,295536,217657,148193,65941,256805,184739,123342,56804,197345,134734,93004,42923,134059,94933,55994,23974,108494,82359,49684,22579,98698,80843,46308,22332,90889,75642,
主营业务利润(万元),106018,71526,31944,132619,93475,58572,26196,109463,74930,46559,21516,92634,64070,41585,20769,68850,47256,30285,14754,51025,36201,24084,11782,39722,27628,16655,7871,27337,17654,10924,5014,20787,16288,9667,5501,18463,13344,
营业利润(万元),50928,35891,17132,66342,44151,29044,14225,52628,34561,21768,10529,43598,29729,19476,10097,34240,23111,14983,7912,24838,17487,11259,5944,16870,10884,6184,3279,8687,6109,3342,1449,8078,6574,3708,1686,8670,5168,
投资收益(万元),463,406,212,312,426,201,181,141,84,28,39,234,288,210,103,173,65,168,81,248,188,116,56,51,10,-6,--,0,0,--,--,-98,-98,-98,--,157,-104,
营业外收支净额(万元),1,-119,142,-695,106,42,14,160,-72,-137,10,482,64,-69,57,363,304,204,69,-28,187,110,-18,-175,207,173,139,1107,--,--,--,46,--,--,--,-287,48,
利润总额(万元),50929,35772,17275,65647,44257,29086,14239,52788,34489,21631,10539,44080,29793,19407,10154,34604,23414,15188,7981,24810,17674,11369,5926,16695,11091,6357,3417,9794,7016,4222,1860,8124,6790,3922,1661,8383,5216,
净利润(万元),43271,30224,15064,55105,36818,24105,11996,44956,29591,19397,9431,36567,24987,16335,8438,29433,20091,12947,6711,20298,13695,8658,4391,12956,8526,4869,2537,7474,5277,3386,1495,5825,4751,2949,1089,5772,3874,
净利润(扣除非经常性损益后)(万元),43307,30346,14949,55688,36743,24070,11985,44850,29649,19507,9420,36162,--,16394,--,29113,--,12772,--,20321,--,8565,--,13040,--,4722,0,6537,0,2739,1029,5778,0,2793,1089,5427,3819,
经营活动产生的现金流量净额(万元),60750,39016,14252,63371,54505,27919,15713,46513,35707,26047,14933,50170,30736,23415,9078,20231,15374,6748,8509,18619,19710,15952,6977,18080,16620,7521,4977,2126,1178,363,179,9106,2051,1752,253,9721,6445,
现金及现金等价物净增加额(万元),-7517,-899,-1569,15978,9744,310,15639,-23729,-25161,-10560,6481,10631,11881,25601,35449,32539,39007,46857,-1678,2026,2884,8668,8054,-5016,-1911,1160,4471,8525,16029,31483,-1248,-1062,245,-886,776,2594,-974,
总资产(万元),594404,600223,590659,579712,536989,504835,496009,460284,421790,409637,401582,384917,359348,334718,326917,276230,263243,251998,180400,170533,154792,151924,146144,127434,130151,125787,119267,110613,118034,124966,79617,79101,0,--,0,61874,48037,
流动资产(万元),204420,217341,214864,214419,197421,182880,190365,173124,157417,161153,169012,164226,162691,174035,178514,140486,145391,146421,84186,78553,70481,72188,70684,53747,59145,57636,56610,49623,58693,70265,26736,26999,--,--,--,24361,19811,
总负债(万元),189841,199862,206681,230978,221375,202399,199811,189695,167024,165835,163238,171507,158459,145791,135855,94656,90774,87161,90298,82235,73096,75266,69233,54914,62060,61004,52938,46827,56449,65302,53307,54294,--,--,--,41341,32058,
流动负债(万元),117817,127823,134827,159326,149602,131110,128504,118370,96373,95166,92521,100769,95122,82434,72477,93324,89349,85735,88779,80716,71389,73559,67526,53207,60165,59094,51029,44918,54367,63220,51225,52212,--,--,--,37871,28589,
股东权益不含少数股东权益(万元),400389,396286,380124,345091,312143,299142,293146,267722,251975,241203,235912,210968,198485,188927,186969,177583,168286,161141,90101,88298,81695,76658,76911,72520,68091,64625,66167,63630,61434,59542,26192,24697,0,--,0,20100,14866,
净资产收益率加权(%),11.31,8.02,4.12,17.98,12.56,8.41,4.38,18.46,12.64,8.52,4.37,18.9,13.3,8.83,4.64,20.71,15.33,11.36,7.32,25.48,17.82,11.49,5.88,19.19,--,7.52,0,16.92,0,10.7,--,26.12,0,--,0,33.22,29.65,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
