报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),-0.05,-0.03,-0.04,0.05,-0.05,-0.03,-0.01,-0.04,-0.04,-0.02,-0.01,0,0,0,0,0,0,0,0,0.05,0.05,0.04,0.02,0.07,0.05,0.03,0.01,0.02,0.01,0.01,0,-0.08,-0,0.01,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.76,0.73,0.71,0.69,0.67,0.65,0.65,0.63,0.63,0.63,0.63,0.71,0.72,0.71,0.66,0.65,0.66,0.65,0.65,0.75,0.75,0.75,0.75,0.74,0.74,0.74,0.74,0.73,0.73,0.72,0.72,0.98,0.99,1.03,1.05,1.29,1.88,2.02,2.01,1.99,1.92,1.72,3.03,2.78,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.41,0.18,0.13,-0.14,-0.18,-0.15,-0.06,0.5,0.31,0.35,0.18,-0.02,-0.35,-0.14,-0.01,0.38,0.4,0.15,0.06,0.03,0.01,0.01,-0.01,0.08,0,0,0,0.05,0,-0.02,0,-0.04,0,-0,0,-0.01,0,-0.21,0,0.1,0,0.11,--,-0.57,-0.03,-0.08,-0.04,0.14,0,0.26,--,--,--,--,--,--,
主营业务收入(万元),15118,11013,4655,27364,21157,15705,5387,26223,19741,14829,6841,33108,22026,15234,6424,40966,33244,24965,8676,46416,33282,24453,9529,40896,28666,16458,6254,28685,23448,14645,5386,18061,13524,9716,4614,14866,10688,7899,3655,13058,9858,6734,2703,11966,8084,5370,2549,8132,5874,4014,1833,6262,4240,2962,1162,5113,2614,7973,3793,9977,5371,11843,4754,11305,5616,11280,10708,7619,
主营业务利润(万元),670,623,143,1753,1499,1126,406,3189,2080,1604,745,4061,2803,2006,1020,4018,2861,1965,946,5400,3644,2679,1279,5347,3731,2206,860,2898,1850,1195,611,1293,1607,1185,--,2052,1728,1260,583,1472,1741,1195,505,1888,1555,1053,548,1531,1227,753,340,469,270,233,101,-795,58,1988,900,2711,1535,4079,916,2345,1187,2031,2088,1716,
营业利润(万元),-816,-525,-544,639,-727,-474,-154,-91,-668,-270,-154,40,8,20,15,-10,59,43,29,952,772,670,279,848,549,360,89,-157,-332,-166,-37,-1419,-330,-125,-99,34,-90,3,-0,-1636,-116,-83,-79,-442,-142,-123,2,-299,-21,-8,-150,-5425,-1543,-959,-350,-4444,-893,336,96,1513,840,2588,405,2602,0,2235,2218,1829,
投资收益(万元),1779,1026,301,4178,1492,880,355,933,82,82,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0,23,23,23,14,59,43,29,14,465,15,3,-4,-34,-19,-8,-2,-10,-5,-10,-5,102,50,111,45,31,0,0,0,0,
营业外收支净额(万元),48,42,-8,40,5,6,1,3,1,1,-3,52,31,17,11,101,-10,1,0,88,10,16,13,138,96,10,1,397,455,--,--,--,--,237,--,-2,0,0,0,7,0,0,0,385,0,0,0,9,0,0,10,0,383,-23,0,-112,5,-89,0,13,0,--,0,0,259,0,0,0,
利润总额(万元),-768,-483,-552,679,-722,-467,-153,-89,-667,-269,-158,91,39,37,26,91,49,44,30,1041,782,686,292,986,646,370,90,240,123,84,37,-1168,-39,112,55,119,11,102,15,-1428,26,23,17,64,32,22,19,317,26,14,-143,-5081,-1179,-990,-353,-4566,-892,238,72,1629,889,2696,457,2896,1621,2235,2216,1840,
净利润(万元),-768,-483,-552,688,-713,-461,-150,-616,-665,-269,-155,39,18,20,28,50,32,30,33,808,775,675,293,1045,690,414,90,282,126,79,37,-1269,-18,133,55,119,11,102,15,-1428,26,23,17,64,32,22,19,317,26,14,-143,-5081,-1179,-990,-351,-4434,-889,161,63,1375,755,2362,394,2519,1382,1577,1482,1230,
净利润(扣除非经常性损益后)(万元),-816,-445,-544,-1976,-210,42,-151,-618,-666,-270,-152,0,--,7,--,-26,--,29,--,741,--,663,--,941,--,406,0,-16,0,-98,--,-1268,0,-104,--,20,0,3,0,-1637,0,-83,0,-741,0,-123,0,-513,0,-12,0,-2637,-1562,-967,--,-4640,-1077,259,0,1375,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-7206,-4097,-3827,1891,2001,-2007,-2464,1563,-1199,-1415,400,4827,6138,2776,1903,-2146,-2739,-2323,-837,7619,4703,5363,2757,-233,-5289,-2144,-123,5776,6048,2202,883,470,90,114,-111,1168,942,791,-128,758,109,-345,-1855,-643,-2231,-56,-792,-123,-2077,-3155,-3396,1491,0,1649,--,-8539,-392,-821,-410,1530,-53,2830,--,--,--,--,--,--,
