报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.09,0.08,0.04,0.19,0.13,0.12,0.06,0.19,0.12,0.15,0.1,0.2,0.13,0.12,0.08,0.31,0.22,0.17,0.15,0.46,0.41,0.34,0.27,0.63,0.51,0.33,0.13,0.43,0.47,0.36,0.06,0.56,0.54,0.36,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,7.85,--,7.68,7.67,7.71,7.63,7.53,7.48,7.55,7.41,7.35,7.28,6.37,6.23,5.95,5.76,5.56,5.56,5.6,5.49,5.32,5.26,5.25,5.06,4.93,4.61,4.52,4.43,4.61,4.54,4.43,4.37,4.47,4.41,4.34,4.25,4.21,4.26,4.16,4.07,3.99,3.94,3.99,3.92,3.86,3.82,3.83,1.77,1.52,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.57,--,0.33,0.19,0.08,-0.46,-0.75,-0.72,-0.72,-0.01,-0.29,0.05,-0.14,0.39,0.19,0.56,-0.25,0.71,0.39,-0.48,-0.49,-0.06,-0.22,-0.15,-0.28,0.56,0,--,0,0.59,0,0,0,0.15,0,0,0,0.29,0,0,0,0.5,0,0.11,--,0.02,-0.24,0,--,--,--,
主营业务收入(万元),130678,87622,41200,217848,168889,112112,52766,218611,165929,111430,52866,231955,180604,123037,59588,243289,188175,128263,63563,220737,170354,116331,60387,195881,150514,101019,49569,210711,170411,114474,51862,164034,122094,84384,38990,132561,99842,66822,31093,116933,88363,58592,31012,93964,68410,45656,23490,63709,43714,27230,13520,50646,38065,25446,11846,45044,23401,40870,37198,33177,31405,
主营业务利润(万元),22320,14580,5553,32384,25601,17656,7712,30484,23020,15273,7252,26313,19136,13588,6611,25427,20386,14177,7955,27444,22100,17791,10202,28919,23267,15044,6610,26100,24551,17375,6958,20417,16088,11388,--,20113,15550,11050,5149,15645,11645,7682,4099,14972,11659,7958,5038,13261,9773,6432,3244,11927,9254,6079,2915,10332,5304,9731,8306,7899,7045,
营业利润(万元),2988,2432,84,8397,5145,4217,2016,5516,3464,2945,2014,4323,2564,2284,1523,5758,4247,3170,2819,8990,7537,6098,4422,10298,8326,5495,2027,7204,8071,6176,1055,8818,9422,6039,1595,6353,4305,2634,1466,4729,3453,2324,1279,5564,4094,2598,1442,5242,3344,2104,1035,5191,3007,1962,897,4287,1826,3704,3215,3628,3422,
投资收益(万元),891,692,351,1327,844,423,9,14,--,--,--,78,15,15,--,50,--,--,--,400,400,--,--,52,5,5,--,-2426,-2426,-2387,-2058,4793,5160,3725,0,478,373,368,5,-5,-283,-292,1,-307,-140,-91,1,-70,166,90,48,-806,113,49,47,-218,94,246,313,321,286,
营业外收支净额(万元),2752,2119,1899,454,377,302,20,378,152,71,10,-15,-73,-2,10,332,52,56,21,-285,68,-96,-31,46,33,21,29,-64,--,-26,--,--,--,--,--,-190,0,--,0,-63,0,0,0,371,379,-44,0,-98,0,0,0,-52,-21,-10,0,-101,0,0,-36,-36,-74,
利润总额(万元),5740,4551,1983,8850,5521,4519,2036,5894,3616,3016,2024,4308,2491,2281,1534,6090,4299,3226,2839,8705,7605,6002,4390,10344,8360,5516,2057,7139,8034,6150,1114,9098,9730,6351,1590,6646,4631,2993,1461,4724,3183,2056,1243,5627,4336,2463,1434,5074,3456,2155,1049,4334,3099,2002,934,3968,1899,3796,3604,4127,3696,
净利润(万元),3969,3110,1472,5929,3366,2972,1296,3988,2374,2018,1345,2782,1729,1659,1125,4243,3070,2375,2001,5984,5251,4177,3219,7592,6151,3991,1576,5205,5633,4321,697,6756,6487,4281,976,4000,2805,1760,926,2926,1640,933,687,3266,2424,1319,792,3580,2396,1512,608,2842,1982,1211,492,2563,1434,2318,2092,2545,2242,
