报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.4,0.12,0.1,0.67,0,0.03,-0.02,0.11,0.02,-0.04,-0.02,-0.33,-0.13,-0.12,-0.1,0.16,0.02,-0.06,0.03,0.28,0.2,0.09,0.03,0.19,0.14,0.06,0.01,0.42,0.16,0.09,0.06,0.2,0.09,0.06,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,3.31,--,--,--,3.2,--,3.4,3.41,3.44,3.54,3.4,3.31,3.4,3.35,3.27,3.16,2.94,2.89,2.85,2.74,2.65,2.61,2.35,2.28,2.25,2.19,2.07,2.04,1.99,1.93,1.9,1.89,1.88,1.83,1.94,1.98,2.04,2.11,2.15,2.14,4.38,4.25,4.19,2.12,2,1.82,1.77,1.08,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.02,--,-0.23,-0.14,-0.23,-0.24,-0.21,-0.12,0.09,0.39,0.07,0.17,-0.05,-0.04,-0.16,-0.1,-0.06,0.39,0.05,-0.07,-0.04,0.2,-0.32,-0.2,-0.23,0.41,0,0,0,-0.14,0,0,0,0.01,0,0,0,0.07,0,0,-0.12,0.18,0,0,
主营业务收入(万元),169890,47345,25050,315681,11073,9075,4732,23283,14075,9579,3678,24782,17049,9704,3220,25743,18201,9292,5359,28066,18206,10061,4300,23467,17270,10367,3861,27997,15831,9341,4337,19448,13551,8952,4147,18161,12720,7211,2817,11644,7099,4351,1631,20822,15426,12880,7028,13334,9535,6508,3055,14429,10178,5412,
主营业务利润(万元),144639,37695,19987,285480,7191,5132,2204,9736,6788,3958,1558,9850,6671,4324,1578,11990,8876,4780,3339,13873,9626,5303,2269,11762,8786,5392,2101,13941,8080,5165,2639,11060,8006,5237,--,9734,6627,4162,1553,4472,2996,1724,602,9385,7723,6157,3499,8057,5979,4009,1941,8005,6226,3651,
营业利润(万元),104745,6503,3465,211211,-7126,-134,-622,391,-458,-930,-753,-5038,-2754,-2047,-1676,-1528,-19,-1308,227,2593,1993,421,-250,763,47,-401,-465,3752,823,432,470,1586,742,643,338,523,344,245,223,-4312,-2801,-2023,-1112,557,1431,1879,1143,1473,1214,1200,630,2197,1885,1295,
投资收益(万元),6423,5366,891,-4118,150,227,172,2015,38,15,-10,25,-27,3,7,-52,-45,-28,-31,55,-13,-20,-39,-547,--,--,--,27,27,27,12,53,0,0,0,-191,-133,-66,0,196,179,179,179,-184,-166,-177,-49,61,0,0,0,0,-42,-0,
营业外收支净额(万元),35129,34990,31432,8365,7853,451,340,1111,762,448,415,972,710,206,-4,3296,249,245,258,1850,1076,957,596,2107,1584,1015,514,--,--,--,--,--,--,324,--,-77,0,0,0,-185,0,0,0,-12,0,0,0,4,0,0,0,0,0,0,
利润总额(万元),139873,41493,34897,219577,727,317,-282,1503,304,-482,-338,-4066,-2044,-1841,-1679,1768,231,-1064,484,4443,3069,1378,346,2870,1630,614,49,6088,2251,1278,990,2972,1415,967,525,1503,1144,925,688,-3994,-2367,-1750,-933,1344,2019,1777,1095,2454,2131,1691,1002,3119,2424,1801,
净利润(万元),116486,34239,30569,181239,304,449,-282,1480,305,-482,-338,-4502,-1861,-1720,-1427,2149,236,-855,453,3929,2772,1309,384,2634,1952,861,128,5673,2117,1173,874,2693,1203,822,447,1503,1144,925,688,-3895,-2367,-1750,-933,1222,1764,1522,931,2330,1949,1511,887,2801,2307,1644,
净利润(扣除非经常性损益后)(万元),112753,30643,28536,179486,-1409,185,-608,-868,157,-502,--,-4604,--,-1690,--,318,--,-826,--,3836,--,1274,--,2635,--,875,0,5401,0,1177,0,2264,0,855,--,1580,0,792,0,-4101,0,-1929,0,1235,0,1693,0,2264,0,1513,0,0,0,0,
经营活动产生的现金流量净额(万元),-178114,-71262,-28203,87981,129955,-197,-1463,9534,2469,784,-324,2243,-3134,-1908,-3138,-3293,-2875,-1609,1250,5341,985,2324,-663,-476,-2241,-1338,-831,5340,706,-948,-589,2678,-4436,-2776,-3147,5609,-534,281,-350,-1970,-3386,-2598,-38,171,-3745,-1974,-5819,495,-1039,115,-590,912,563,0,
现金及现金等价物净增加额(万元),-36359,-82057,-18401,78560,350530,385,-6457,5611,-7702,-7195,-7913,4680,-235,1099,-2142,-6832,-3376,-1990,937,7834,3221,4829,-696,-2107,-2437,-1579,-913,2839,-1614,-3202,-741,1819,-5281,-3370,-3596,-2032,-7036,-3816,-429,2928,-643,1200,4833,-7380,-10946,-9048,-6331,15786,15477,-51,-647,691,1573,0,
总资产(万元),1600027,1308538,1332085,1421550,1138934,58992,58437,59988,58633,58592,58873,59952,65721,68411,68344,66752,68851,72071,74430,70373,67490,70531,66016,62129,61150,61685,61029,58178,50959,50396,50560,49460,43464,42635,42097,42414,38280,38673,33367,33751,31054,30859,32545,34502,34226,35086,36277,42762,33703,14813,13987,14175,9968,6991,
流动资产(万元),1304094,1014011,1036838,1126487,856631,49664,49487,51164,48765,48949,49400,51259,55309,57937,57553,56053,57897,60694,63226,59201,55996,58919,54388,50677,50102,50475,50032,47066,39919,39136,39659,38275,32228,31162,30616,31045,27668,32784,30131,30435,27262,26962,28632,30470,30300,31280,32690,39500,31094,12704,11897,12049,7627,4118,
总负债(万元),406119,200105,227185,348762,255201,11418,12562,13830,13650,14395,14532,15273,18517,21066,20706,17682,21658,26102,27363,23919,22119,26798,25912,22585,22001,23881,24239,21872,18808,19190,19788,19561,15244,14797,14870,15985,12268,12880,7717,8778,4558,3745,4615,5639,4811,5913,6328,13744,5101,4141,3939,5014,3609,3112,
流动负债(万元),252344,137744,164831,288193,193431,7048,8178,9330,10323,11366,11503,12244,15347,18004,18963,16404,18191,22617,24430,20990,19499,24206,23323,19996,19508,21392,21750,19383,16140,16591,15929,15615,11471,10965,11193,12241,8826,12138,7161,8101,4088,3306,4185,5209,4425,5558,5998,13414,5101,4141,3939,5014,3609,3112,
