报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.27,0.17,0.2,0.88,0.63,0.36,0.36,1.47,--,0.7,0.3,1.21,0.92,0.79,0.7,
每股净资产(元),2.71,2.61,6.59,6.39,6.14,5.87,11.68,6.72,--,5.95,--,5.48,4.44,3.52,2.29,
每股经营活动产生的现金流量净额(元),0.04,-0.2,-0.39,1.37,0.55,0.33,0.29,2.21,--,0.93,0.14,1.64,1.16,0.85,0.89,
主营业务收入(万元),41399,26219,12003,43454,31580,20056,10230,30815,--,14098,6495,24223,17219,13365,10709,
主营业务利润(万元),14158,8941,4354,18052,12867,7886,3910,13365,--,6268,2893,11090,8297,6906,5266,
营业利润(万元),8670,5421,2619,11243,8099,4611,2199,7871,--,3745,1595,6541,4843,3655,2669,
投资收益(万元),62,62,--,--,--,--,--,--,--,--,--,--,--,3,220,
营业外收支净额(万元),-9,-20,5,6,11,10,5,26,--,15,5,7,110,163,-1,
利润总额(万元),8661,5401,2623,11249,8109,4621,2204,7897,--,3760,1599,6548,4953,3819,2668,
净利润(万元),7457,4663,2208,9518,6785,3878,1853,6726,4835,3203,1368,5538,4207,3232,2233,
净利润(扣除非经常性损益后)(万元),--,4655,--,9514,--,3870,--,6704,--,3190,--,5532,4114,3090,2047,
经营活动产生的现金流量净额(万元),1140,-5473,-4287,14916,6052,3648,1599,10144,6779,4268,648,7523,5293,3480,2849,
现金及现金等价物净增加额(万元),-16465,-12946,-5318,19994,16864,20270,23814,1300,--,-618,-1603,-4617,-1555,841,6627,
总资产(万元),103779,88507,89725,86274,75601,73643,75764,45181,40222,37063,--,30984,23558,19132,11427,
流动资产(万元),29565,31486,32671,29608,39257,38756,42287,12844,11869,12188,--,9811,10718,9870,8501,
总负债(万元),29790,17311,17710,16467,8526,9477,11985,14336,11268,9790,--,5888,3240,3021,2041,
流动负债(万元),19972,17000,17393,16144,8197,9141,11644,13988,10914,9429,--,5516,2843,2608,2041,
股东权益不含少数股东权益(万元),73940,71147,71966,69758,67025,64118,63730,30797,28905,27273,--,25096,20318,16111,9386,
净资产收益率加权(%),10.35,6.52,3.12,15.12,11.14,6.68,3.53,24.29,--,12.23,5.3,24.67,23.1,29.38,53.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
